X,Y,Z,time_us
5,5,5,196
8,5,5,299
5,8,5,269
5,5,8,252
11,5,5,681
5,11,5,540
5,5,11,554
11,11,5,968
11,5,11,1049
5,11,11,969
11,11,11,2018
14,11,11,2537
11,14,11,2480
11,11,14,2532
17,12,12,3580
12,17,12,3448
12,12,17,3587
20,12,12,4191
12,20,12,3985
12,12,20,4189
20,19,12,6293
19,20,12,6259
20,12,19,6588
12,19,20,6275
20,19,19,9881
19,20,19,9861
19,19,20,9887
23,12,12,4815
12,23,12,4540
12,12,23,4812
23,19,12,7213
19,23,12,7135
23,12,19,7563
12,19,23,7208
23,19,19,11362
19,23,19,11228
19,19,23,11345
27,12,12,5648
12,27,12,5249
12,12,27,5628
27,19,12,8467
19,27,12,8244
27,12,19,8862
12,19,27,8451
27,19,19,13311
19,27,19,12961
19,19,27,13313
27,26,12,11260
26,27,12,11260
27,12,26,12103
12,26,27,11258
27,26,19,17744
26,27,19,17746
27,19,26,18206
19,26,27,17748
27,26,26,24262
26,27,26,24250
26,26,27,24237
31,13,13,7506
13,31,13,6994
13,13,31,7498
31,21,13,11527
21,31,13,11258
31,13,21,12052
13,21,31,11494
31,21,21,18544
21,31,21,18096
21,21,31,18533
31,29,13,15546
29,31,13,15485
31,13,29,16623
13,29,31,15498
31,29,21,25009
29,31,21,24966
31,21,29,25550
21,29,31,25000
31,29,29,34476
29,31,29,34386
29,29,31,34444
35,21,21,20920
21,35,21,20215
21,21,35,20885
35,29,21,28233
29,35,21,27895
35,21,29,28816
21,29,35,28208
35,29,29,38891
29,35,29,38479
29,29,35,38884
39,21,21,23295
21,39,21,22473
21,21,39,23258
39,29,21,31418
29,39,21,31004
39,21,29,32127
21,29,39,31400
39,29,29,43358
29,39,29,42715
29,29,39,43313
39,37,21,39537
37,39,21,39515
39,21,37,40947
21,37,39,39512
39,37,29,54573
37,39,29,54461
39,29,37,55242
29,37,39,54518
39,37,37,69517
37,39,37,69400
37,37,39,69470
43,21,21,25689
21,43,21,24591
21,21,43,25662
43,29,21,34650
29,43,21,33899
43,21,29,35407
21,29,43,34620
43,29,29,47772
29,43,29,46793
29,29,43,47722
43,37,21,43566
37,43,21,43221
43,21,37,45120
21,37,43,43570
43,37,29,60157
37,43,29,59669
43,29,37,60927
29,37,43,60101
43,37,37,76642
37,43,37,76084
37,37,43,76594
47,23,23,33448
23,47,23,32129
23,23,47,33425
47,32,23,45246
32,47,23,44709
47,23,32,46530
23,32,47,45240
47,32,32,62988
32,47,32,62110
32,32,47,62875
47,41,23,57350
41,47,23,57201
47,23,41,59508
23,41,47,57302
47,41,32,79792
41,47,32,79546
47,32,41,80627
32,41,47,79669
47,41,41,102153
41,47,41,101819
41,41,47,102055
51,23,23,36306
23,51,23,34732
23,23,51,36279
51,32,23,49111
32,51,23,48221
51,23,32,50450
23,32,51,49134
51,32,32,68327
32,51,32,67052
32,32,51,68300
51,41,23,62208
41,51,23,61728
51,23,41,64564
23,41,51,62227
51,41,32,86484
41,51,32,85868
51,32,41,87468
32,41,51,86421
51,41,41,110824
41,51,41,109965
41,41,51,110718
51,50,23,75309
50,51,23,75223
51,23,50,78714
23,50,51,75287
51,50,32,104768
50,51,32,104712
51,32,50,106610
32,50,51,104682
51,50,41,134125
50,51,41,134081
51,41,50,135085
41,50,51,134013
51,50,50,163480
50,51,50,163439
50,50,51,163458
56,23,23,39844
23,56,23,37925
23,23,56,39864
56,32,23,53901
32,56,23,52732
56,23,32,55380
23,32,56,53947
56,32,32,75001
32,56,32,73225
32,32,56,75010
56,41,23,68334
41,56,23,67495
56,23,41,70846
23,41,56,68348
56,41,32,94963
41,56,32,93844
56,32,41,96070
32,41,56,95000
56,41,41,121592
41,56,41,120195
41,41,56,121636
56,50,23,82617
50,56,23,82273
56,23,50,86413
23,50,56,82670
56,50,32,115050
50,56,32,114426
56,32,50,117075
32,50,56,114879
56,50,41,147296
50,56,41,146478
56,41,50,148335
41,50,56,147209
56,50,50,179533
50,56,50,178547
50,50,56,179497
61,32,32,81723
32,61,32,79770
32,32,61,81696
61,41,32,103500
41,61,32,102189
61,32,41,104596
32,41,61,103387
61,41,41,132533
41,61,41,130770
41,41,61,132391
61,50,32,125231
50,61,32,124605
61,32,50,127455
32,50,61,125218
61,50,41,160380
50,61,41,159573
61,41,50,161594
41,50,61,160270
61,50,50,195445
50,61,50,194564
50,50,61,195504
61,59,32,146938
59,61,32,146928
61,32,59,150274
32,59,61,146911
61,59,41,188292
59,61,41,188249
61,41,59,190391
41,59,61,188155
61,59,50,229557
59,61,50,229529
61,50,59,230571
50,59,61,229466
61,59,59,270798
59,61,59,270806
59,59,61,270736
66,35,35,105317
35,66,35,102800
35,35,66,105347
66,45,35,134017
45,66,35,132111
66,35,45,135435
35,45,66,134047
66,45,45,172348
45,66,45,169781
45,45,66,172250
66,55,35,162758
55,66,35,161494
66,35,55,165451
35,55,66,162653
66,55,45,209243
55,66,45,207773
66,45,55,210619
45,55,66,209141
66,55,55,255462
55,66,55,253655
55,55,66,255641
66,65,35,190856
65,66,35,190720
66,35,65,195605
35,65,66,190837
66,65,45,245132
65,66,45,245232
66,45,65,248839
45,65,66,245234
66,65,55,299563
65,66,55,299600
66,55,65,302035
55,65,66,299926
66,65,65,353977
65,66,65,354077
65,65,66,353954
71,35,35,113343
35,71,35,110432
35,35,71,113293
71,45,35,144164
45,71,35,142062
71,35,45,145654
35,45,71,144173
71,45,45,185389
45,71,45,182593
45,45,71,185335
71,55,35,174974
55,71,35,173603
71,35,55,177931
35,55,71,174997
71,55,45,224943
55,71,45,223144
71,45,55,226447
45,55,71,224959
71,55,55,274678
55,71,55,272629
55,55,71,274923
71,65,35,205101
65,71,35,205146
71,35,65,210390
35,65,71,205083
71,65,45,263685
65,71,45,263592
71,45,65,267627
45,65,71,263802
71,65,55,322346
65,71,55,322158
71,55,65,324853
55,65,71,322475
71,65,65,380993
65,71,65,380536
65,65,71,380810
76,35,35,121236
35,76,35,117968
35,35,76,121314
76,45,35,154400
45,76,35,151692
76,35,45,155989
35,45,76,154393
76,45,45,198466
45,76,45,194980
45,45,76,198400
76,55,35,187286
55,76,35,185241
76,35,55,190512
35,55,76,187350
76,55,45,240791
55,76,45,238160
76,45,55,242408
45,55,76,240682
76,55,55,294158
55,76,55,291057
55,55,76,294163
76,65,35,219713
65,76,35,218746
76,35,65,225189
35,65,76,219738
76,65,45,282356
65,76,45,281385
76,45,65,286573
45,65,76,282371
76,65,55,344973
65,76,55,343859
76,55,65,347590
55,65,76,345386
76,65,65,407585
65,76,65,406408
65,65,76,407635
76,75,35,252611
75,76,35,252588
76,35,75,259558
35,75,76,252656
76,75,45,324777
75,76,45,324683
76,45,75,330447
45,75,76,324765
76,75,55,396585
75,76,55,396789
76,55,75,401033
55,75,76,396722
76,75,65,468898
75,76,65,468757
76,65,75,470051
65,75,76,468774
76,75,75,540773
75,76,75,540977
75,75,76,540943
81,35,35,129342
35,81,35,125448
35,35,81,129297
81,45,35,164599
45,81,35,161308
81,35,45,166276
35,45,81,164424
81,45,45,211598
45,81,45,207359
45,45,81,211340
81,55,35,199607
55,81,35,196883
81,35,55,203057
35,55,81,199726
81,55,45,256667
55,81,45,253149
81,45,55,258523
45,55,81,256590
81,55,55,313498
55,81,55,309308
55,55,81,313744
81,65,35,234028
65,81,35,232609
81,35,65,239957
35,65,81,234114
81,65,45,300912
65,81,45,299209
81,45,65,305515
45,65,81,300869
81,65,55,367456
65,81,55,365454
81,55,65,370498
55,65,81,367931
81,65,65,434442
65,81,65,432139
65,65,81,434460
81,75,35,269253
75,81,35,268442
81,35,75,276729
35,75,81,269313
81,75,45,345920
75,81,45,345148
81,45,75,352382
45,75,81,346201
81,75,55,422809
75,81,55,421604
81,55,75,427259
55,75,81,422716
81,75,65,499596
75,81,65,498461
81,65,75,501154
65,75,81,499590
81,75,75,576288
75,81,75,574712
75,75,81,576409
87,38,38,163257
38,87,38,158808
38,38,87,163211
87,49,38,207737
49,87,38,204753
87,38,49,210536
38,49,87,207689
87,49,49,267827
49,87,49,263748
49,49,87,267711
87,60,38,252821
60,87,38,250662
87,38,60,257693
38,60,87,252835
87,60,49,325749
60,87,49,322853
87,49,60,327837
49,60,87,325918
87,60,60,399125
60,87,60,395327
60,60,87,399143
87,71,38,298040
71,87,38,296547
87,38,71,304853
38,71,87,297983
87,71,49,384311
71,87,49,382163
87,49,71,387795
49,71,87,384289
87,71,60,470382
71,87,60,467720
87,60,71,472042
60,71,87,470251
87,71,71,556243
71,87,71,553255
71,71,87,556380
87,82,38,342396
82,87,38,342213
87,38,82,352252
38,82,87,342277
87,82,49,441207
82,87,49,441235
87,49,82,447618
49,82,87,441063
87,82,60,540206
82,87,60,540358
87,60,82,545171
60,82,87,540117
87,82,71,639122
82,87,71,638902
87,71,82,642361
71,82,87,638982
87,82,82,737989
82,87,82,737736
82,82,87,737937
93,38,38,174729
38,93,38,169450
38,38,93,174584
93,49,38,222078
