X,Y,time_us
5,5,1762
7,5,2096
5,7,3290
9,5,2664
5,9,4661
9,8,5843
8,9,7290
11,5,3489
5,11,5761
11,8,7077
8,11,9511
11,11,11170
13,5,3947
5,13,7079
13,8,8356
8,13,12197
13,11,13647
11,13,17058
15,5,4592
5,15,8523
15,8,9679
8,15,14842
15,11,16114
11,15,21118
15,14,23477
14,15,27636
17,8,10999
8,17,17786
17,11,18547
11,17,25310
17,14,27352
14,17,33473
17,17,36663
19,8,12255
8,19,20773
19,11,20949
11,19,29838
19,14,31323
14,19,39807
19,17,42601
17,19,50212
21,8,13608
8,21,24140
21,11,23395
11,21,34626
21,14,35197
14,21,46336
21,17,48325
17,21,59160
21,20,62288
20,21,71756
23,8,14937
8,23,27507
23,11,25850
11,23,39564
23,14,39124
14,23,53163
23,17,54039
17,23,68042
23,20,70220
20,23,82795
23,23,86826
25,8,16162
8,25,31152
25,11,28332
11,25,44772
25,14,43051
14,25,60240
25,17,59807
17,25,77546
25,20,78140
20,25,94629
25,23,97379
23,25,112760
28,9,22491
9,28,42259
28,13,42954
13,28,65131
28,17,68406
17,28,92194
28,21,97528
21,28,120171
28,25,129133
25,28,150468
31,13,48112
13,31,75840
31,17,77060
17,31,107668
31,21,110576
21,31,140711
31,25,147529
25,31,177016
31,29,186663
29,31,213937
34,13,53139
13,34,87274
34,17,85631
17,34,124078
34,21,123747
21,34,162325
34,25,165923
25,34,204948
34,29,211458
29,34,248300
34,33,258677
33,34,293648
37,13,58267
13,37,99424
37,17,94269
17,37,141362
37,21,136762
21,37,184943
37,25,184400
25,37,234034
37,29,236210
29,37,284046
37,33,290651
33,37,337385
37,37,346448
40,13,63263
13,40,111991
40,17,102814
17,40,159045
40,21,149789
21,40,208120
40,25,202847
25,40,263661
40,29,260915
29,40,320383
40,33,322548
33,40,381230
40,37,386671
37,40,442993
43,13,68393
13,43,125157
43,17,111511
17,43,177672
43,21,162900
21,43,232460
43,25,221381
25,43,294705
43,29,285755
29,43,358319
43,33,354642
33,43,427409
43,37,426962
37,43,497381
43,41,501473
41,43,570170
46,17,120097
17,46,197278
46,21,175927
21,46,258020
46,25,239793
25,46,327219
46,29,310375
29,46,397958
46,33,386619
33,46,475465
46,37,467260
37,46,553831
46,41,550743
41,46,636212
46,45,636075
45,46,719589
49,17,128726
17,49,217757
49,21,189062
21,49,284404
49,25,258373
25,49,360813
49,29,335254
29,49,438951
49,33,418700
33,49,524835
49,37,507471
37,49,611967
49,41,599982
41,49,703933
49,45,695466
45,49,797154
49,49,1130267
52,17,137403
17,52,238675
52,21,202067
21,52,311501
52,25,276738
25,52,395085
52,29,360024
29,52,480646
52,33,450788
33,52,574799
52,37,547494
37,52,670211
52,41,649242
41,52,772215
52,45,754556
45,52,875264
52,49,1216773
49,52,1232806
55,17,146035
17,55,260405
55,21,215185
21,55,339622
55,25,295143
25,55,430582
55,29,384829
29,55,523791
55,33,482603
33,55,627071
55,37,587548
37,55,731287
55,41,698375
41,55,843337
55,45,813945
45,55,956492
55,49,1300073
49,55,1333792
55,53,1491349
53,55,1498089
59,20,212758
20,59,355558
59,25,319679
25,59,479916
59,30,443846
30,59,611282
59,35,581943
35,59,756127
59,40,732955
40,59,907639
59,45,892775
45,59,1067680
59,50,1466553
50,59,1525149
59,55,1721139
55,59,1745401
63,20,228714
20,63,394044
63,25,344426
25,63,531296
63,30,479179
30,63,676275
63,35,630042
35,63,836498
63,40,795162
40,63,1004560
63,45,971614
45,63,1182453
63,50,1581620
50,63,1674900
63,55,1858888
55,63,1913833
63,60,2155371
60,63,2171630
67,25,369174
25,67,584615
67,30,514394
30,67,743285
67,35,677862
35,67,919621
67,40,857891
40,67,1104775
67,45,1050973
45,67,1300654
67,50,1696278
50,67,1828214
67,55,1995171
55,67,2086666
67,60,2316039
60,67,2366160
