X,Y,time_us
5,5,1209
7,5,1292
5,7,2275
9,5,1623
5,9,2996
9,8,3412
8,9,4451
11,5,2119
5,11,3604
11,8,3993
8,11,5578
11,11,6238
13,5,2276
5,13,4217
13,8,4707
8,13,7007
13,11,7593
11,13,9754
15,5,2707
5,15,5048
15,8,5401
8,15,8448
15,11,8866
11,15,11904
15,14,12852
14,15,15519
17,8,6107
8,17,10010
17,11,10165
11,17,14237
17,14,14889
14,17,18658
17,17,19851
19,8,6704
8,19,11640
19,11,11445
11,19,16621
19,14,16967
14,19,22003
19,17,22961
17,19,27520
21,8,7459
8,21,13377
21,11,12761
11,21,19160
21,14,19028
14,21,25497
21,17,26014
17,21,32225
21,20,33488
20,21,38967
23,8,8188
8,23,15194
23,11,14031
11,23,21776
23,14,21089
14,23,29128
23,17,29053
17,23,36965
23,20,37634
20,23,44920
23,23,46499
25,8,8757
8,25,17190
25,11,15283
11,25,24582
25,14,23114
14,25,32858
25,17,32025
17,25,41984
25,20,41762
20,25,51167
25,23,52043
23,25,60887
28,9,12150
9,28,23134
28,13,23019
13,28,35322
28,17,36576
17,28,49725
28,21,52098
21,28,64728
28,25,68885
25,28,80753
31,13,25747
13,31,41176
31,17,41154
17,31,57995
31,21,59060
21,31,75653
31,25,78656
25,31,94923
31,29,99490
29,31,114625
34,13,28417
13,34,47206
34,17,45648
17,34,66704
34,21,65853
21,34,87144
34,25,88345
25,34,109555
34,29,112381
29,34,132771
34,33,137376
33,34,156706
37,13,31131
13,37,53680
37,17,50243
17,37,75807
37,21,72784
21,37,98991
37,25,98070
25,37,124922
37,29,125548
29,37,151611
37,33,154359
33,37,179669
37,37,183841
40,13,33653
13,40,60389
40,17,54746
17,40,85197
40,21,79635
21,40,111337
40,25,107781
25,40,140668
40,29,138479
29,40,170872
40,33,171124
33,40,203037
40,37,204941
37,40,235946
43,13,36447
13,43,67400
43,17,59315
17,43,95133
43,21,86563
21,43,124324
43,25,117543
25,43,157142
43,29,151668
29,43,191002
43,33,188134
33,43,227430
43,37,226329
37,43,264773
43,41,265727
41,43,302988
46,17,63900
17,46,105521
46,21,93549
21,46,137738
46,25,127352
25,46,174228
46,29,164797
29,46,211961
46,33,205120
33,46,252683
46,37,247630
37,46,294375
46,41,291912
41,46,337861
46,45,336955
45,46,382123
49,17,68400
17,49,116196
49,21,100390
21,49,151769
49,25,137060
25,49,192010
49,29,177740
29,49,233553
49,33,221831
33,49,278656
49,37,268752
37,49,324942
49,41,317664
41,49,373582
49,45,367896
45,49,423071
49,49,596522
52,17,73092
17,52,127484
52,21,107273
21,52,166203
52,25,146818
25,52,210077
52,29,190981
29,52,255678
52,33,238889
33,52,305086
52,37,290124
37,52,356000
52,41,343910
41,52,409723
52,45,399530
45,52,464436
52,49,642542
49,52,650415
55,17,77701
17,55,138969
55,21,114204
21,55,181158
55,25,156632
25,55,228855
55,29,204054
29,55,278547
55,33,255922
33,55,332764
55,37,311421
37,55,388290
55,41,369986
41,55,447296
55,45,431118
45,55,507486
55,49,686133
49,55,704067
55,53,786204
53,55,790533
59,20,112865
20,59,189600
59,25,169553
25,59,254986
59,30,235154
30,59,324808
59,35,308388
35,59,401143
59,40,388034
40,59,481120
59,45,472474
45,59,566118
59,50,773035
50,59,804604
59,55,906358
55,59,920092
63,20,121274
20,63,210107
63,25,182627
25,63,282287
63,30,253836
30,63,359201
63,35,333875
35,63,443521
63,40,421064
40,63,532379
63,45,514499
45,63,626843
63,50,833329
50,63,883435
63,55,978855
55,63,1008825
63,60,1132983
60,63,1143011
67,25,195603
25,67,310522
67,30,272390
30,67,394899
67,35,358978
35,67,487417
67,40,453942
40,67,585074
67,45,556045
45,67,689386
67,50,892515
50,67,964375
67,55,1049241
55,67,1100046
67,60,1216111
60,67,1244530
67,65,1399304
