X,Y,time_us
5,5,432
7,5,363
5,7,367
9,5,471
5,9,425
9,9,1013
11,5,559
5,11,512
11,9,1295
9,11,1315
13,5,689
5,13,617
13,9,1600
9,13,1559
13,13,2691
15,5,801
5,15,767
15,9,1868
9,15,1876
15,13,3299
13,15,3257
17,9,2189
9,17,2081
17,13,3871
13,17,3794
17,17,5771
19,9,2481
9,19,2348
19,13,4444
13,19,4337
19,17,6702
17,19,6658
21,9,2761
9,21,2620
21,13,5031
13,21,4879
21,17,7677
17,21,7596
21,21,10508
23,9,3057
9,23,2876
23,13,5606
13,23,5418
23,17,8652
17,23,8520
23,21,11983
21,23,11916
25,9,3332
9,25,3131
25,13,6190
13,25,5985
25,17,9634
17,25,9449
25,21,13476
21,25,13340
25,25,17452
28,10,4510
10,28,4265
28,15,9021
15,28,8730
28,20,14475
20,28,14258
28,25,20518
25,28,20483
31,10,5049
10,31,4760
31,15,10146
15,31,9831
31,20,16466
20,31,16204
31,25,23658
25,31,23472
31,30,31272
30,31,31230
34,15,11301
15,34,10900
34,20,18476
20,34,18122
34,25,26751
25,34,26462
34,30,35695
30,34,35533
37,15,12441
15,37,11984
37,20,20497
20,37,20060
37,25,29815
25,37,29419
37,30,40139
30,37,39802
37,35,50875
35,37,50771
40,15,13598
15,40,13087
40,20,22464
20,40,21969
40,25,32925
25,40,32406
40,30,44562
30,40,44099
40,35,56833
35,40,56620
40,40,69532
43,15,14746
15,43,14169
43,20,24495
20,43,23888
43,25,35972
25,43,35428
43,30,48867
30,43,48396
43,35,62803
35,43,62436
43,40,77304
40,43,77124
46,15,15870
15,46,15268
46,20,26522
20,46,25809
46,25,39115
25,46,38385
46,30,53332
30,46,52754
46,35,68730
35,46,68274
46,40,85095
40,46,84791
46,45,101741
45,46,101720
49,15,17001
15,49,16346
49,20,28509
20,49,27721
49,25,42184
25,49,41359
49,30,57775
30,49,57006
49,35,74743
35,49,74102
49,40,92843
40,49,92378
49,45,111587
45,49,111319
52,20,30523
20,52,29631
52,25,45269
25,52,44374
52,30,62141
30,52,61258
52,35,80742
35,52,79912
52,40,100559
40,52,99921
52,45,121245
45,52,120939
52,50,142642
50,52,142557
55,20,32480
20,55,31561
55,25,48310
25,55,47377
55,30,66550
30,55,65525
55,35,86655
35,55,85749
55,40,108348
40,55,107535
55,45,131169
45,55,130590
55,50,154713
50,55,154335
55,55,178660
59,23,45167
23,59,44092
59,29,68262
29,59,67163
59,35,94613
35,59,93535
59,41,123777
41,59,122675
59,47,154774
47,59,154012
59,53,187185
53,59,186795
59,59,220011
63,23,48735
23,63,47481
63,29,73799
29,63,72492
63,35,102581
35,63,101306
63,41,134542
41,63,133395
63,47,168902
47,63,167983
63,53,205133
53,63,204359
63,59,242296
59,63,242029
67,23,52248
23,67,50881
67,29,79276
29,67,77768
67,35,110549
35,67,109062
67,41,145474
41,67,143997
67,47,183200
47,67,181866
67,53,223140
53,67,222241
67,59,264729
59,67,264003
67,65,306948
65,67,306918
71,23,55694
23,71,54265
71,29,84768
29,71,83184
71,35,118473
35,71,116868
71,41,156277
41,71,154592
71,47,197302
47,71,195839
71,53,241151
53,71,239814
71,59,286949
59,71,286020
71,65,334016
65,71,333582
71,71,381685
75,23,59236
23,75,57633
75,29,90268
29,75,88526
75,35,126444
35,75,124661
75,41,167224
41,75,165289
75,47,211525
47,75,209798
75,53,258997
53,75,257614
75,59,309190
59,75,307883
75,65,361092
65,75,360251
75,71,413871
71,75,413498
79,29,95806
29,79,93822
79,35,134482
35,79,132415
79,41,178031
41,79,175953
79,47,225839
47,79,223778
79,53,277206
53,79,275403
79,59,331396
59,79,329796
79,65,387999
65,79,386863
79,71,445902
71,79,445167
79,77,505000
77,79,504739
83,29,101272
29,83,99233
83,35,142375
35,83,140176
83,41,188876
41,83,186614
83,47,240072
47,83,237719
83,53,295192
53,83,293111
83,59,353832
59,83,351791
83,65,414895
65,83,413466
83,71,478124
71,83,476902
83,77,542686
77,83,541781
83,83,607753
87,29,106789
29,87,104566
87,35,150361
35,87,147893
87,41,199686
41,87,197271
87,47,254273
47,87,251735
87,53,313191
53,87,310771
87,59,376152
59,87,374000
87,65,441906
65,87,440049
87,71,510307
71,87,508837
87,77,580559
77,87,579560
87,83,651668
83,87,650700
91,29,112371
29,91,109904
91,35,158182
35,91,155595
91,41,210494
41,91,207870
91,47,268359
47,91,265785
91,53,331188
53,91,328664
91,59,398203
59,91,395655
91,65,468756
65,91,466712
91,71,542483
71,91,540496
91,77,618046
77,91,616608
91,83,695278
83,91,694404
91,89,773349
89,91,773321
95,29,117851
29,95,115194
95,35,166153
35,95,163517
95,41,221445
41,95,218624
95,47,282695
47,95,279580
95,53,349133
53,95,346483
95,59,420393
59,95,417729
95,65,495908
65,95,493286
95,71,574513
71,95,572358
95,77,655926
77,95,654022
95,83,739203
83,95,737929
95,89,823927
89,95,823226
95,95,908952
100,33,158269
33,100,155270
100,40,224749
40,100,221476
100,47,300322
47,100,297125
100,54,384188
54,100,380868
100,61,475077
61,100,472078
100,68,571973
68,100,568714
100,75,673323
75,100,670915
100,82,778489
82,100,776591
100,89,886717
89,100,885152
100,96,996445
96,100,995916
105,33,166964
33,105,163856
105,40,237673
40,105,234258
105,47,318336
47,105,314701
105,54,407573
54,105,403925
105,61,504763
61,105,501342
105,68,608632
68,105,605115
105,75,718178
75,105,715055
105,82,832083
82,105,829646
105,89,949961
89,105,947695
105,96,1069597
96,105,1068222
105,103,1190679
103,105,1190681
110,33,175892
33,110,172626
110,40,250680
40,110,246831
110,47,335848
47,110,332075
110,54,431089
54,110,427121
110,61,534402
61,110,530285
110,68,645433
68,110,641979
110,75,762972
75,110,759452
110,82,885400
82,110,882693
110,89,1012697
89,110,1009891
110,96,1142399
96,110,1141092
110,103,1274656
103,110,1273714
110,110,1407725
115,40,263461
40,115,259448
115,47,353673
47,115,349552
115,54,454319
54,115,449915
115,61,564173
61,115,560009
115,68,682341
68,115,678265
115,75,807625
75,115,803637
115,82,938963
82,115,935504
115,89,1075348
89,115,1072494
115,96,1215683
96,115,1213256
115,103,1358805
103,115,1357371
115,110,1503681
110,115,1503095
120,40,276413
40,120,272065
120,47,371743
47,120,366963
120,54,477838
54,120,472957
120,61,594192
61,120,589028
120,68,719305
68,120,714689
120,75,852448
75,120,847917
120,82,992338
82,120,988286
120,89,1138115
89,120,1134650
120,96,1288663
96,120,1285884
120,103,1442860
103,120,1440602
120,110,1599895
110,120,1598472
120,117,1757787
117,120,1757621
125,40,289338
40,125,284795
125,47,389440
47,125,384426
125,54,500990
54,125,495961
125,61,623699
61,125,618332
125,68,756185
68,125,751026
125,75,897169
75,125,892097
125,82,1045644
82,125,1041364
125,89,1201150
89,125,1196783
125,96,1361849
96,125,1358192
125,103,1526952
103,125,1524472
125,110,1695364
110,125,1692949
*** PANIC ***
Out of memory
