X,Y,time_us
5,5,296
7,5,290
5,7,261
9,5,306
5,9,340
9,9,629
11,5,405
5,11,356
11,9,894
9,11,842
13,5,411
5,13,398
13,9,957
9,13,940
13,13,1646
15,5,513
5,15,446
15,9,1180
9,15,1112
15,13,1986
13,15,1967
17,9,1328
9,17,1271
17,13,2304
13,17,2300
17,17,3432
19,9,1480
9,19,1451
19,13,2659
13,19,2631
19,17,3998
17,19,3985
21,9,1696
9,21,1614
21,13,2989
13,21,2941
21,17,4545
17,21,4517
21,21,6240
23,9,1821
9,23,1771
23,13,3314
13,23,3283
23,17,5131
17,23,5079
23,21,7105
21,23,7082
25,9,1982
9,25,1923
25,13,3644
13,25,3592
25,17,5676
17,25,5622
25,21,7934
21,25,7900
25,25,10328
28,10,2683
10,28,2639
28,15,5295
15,28,5235
28,20,8522
20,28,8450
28,25,12106
25,28,12075
31,10,2985
10,31,2900
31,15,5966
15,31,5867
31,20,9686
20,31,9596
31,25,13898
25,31,13834
31,30,18343
30,31,18365
34,15,6625
15,34,6528
34,20,10853
20,34,10708
34,25,15681
25,34,15571
34,30,20905
30,34,20884
37,15,7296
15,37,7161
37,20,11989
20,37,11880
37,25,17462
25,37,17354
37,30,23476
30,37,23391
37,35,29783
35,37,29758
40,15,7946
15,40,7808
40,20,13148
20,40,12989
40,25,19249
25,40,19083
40,30,26024
30,40,25872
40,35,33227
35,40,33191
40,40,40684
43,15,8628
15,43,8456
43,20,14292
20,43,14119
43,25,21028
25,43,20885
43,30,28587
30,43,28421
43,35,36709
35,43,36605
43,40,45219
40,43,45159
46,15,9292
15,46,9104
46,20,15480
20,46,15263
46,25,22837
25,46,22622
46,30,31151
30,46,30971
46,35,40159
35,46,40007
46,40,49713
40,46,49592
46,45,59455
45,46,59438
49,15,9955
15,49,9750
49,20,16616
20,49,16424
49,25,24639
25,49,24397
49,30,33718
30,49,33487
49,35,43623
35,49,43480
49,40,54168
40,49,54058
49,45,65138
45,49,65111
52,20,17792
20,52,17545
52,25,26404
25,52,26159
52,30,36229
30,52,36004
52,35,47087
35,52,46857
52,40,58674
40,52,58455
52,45,70818
45,52,70722
52,50,83274
50,52,83207
55,20,18953
20,55,18678
55,25,28174
25,55,27926
55,30,38784
30,55,38522
55,35,50541
35,55,50271
55,40,63179
40,55,62968
55,45,76497
45,55,76313
55,50,90255
50,55,90118
55,55,104204
59,23,26351
23,59,26013
59,29,39799
29,59,39424
59,35,55142
35,59,54844
59,41,72073
41,59,71840
59,47,90170
47,59,89931
59,53,109131
53,59,109003
59,59,128289
63,23,28393
23,63,28035
63,29,42972
29,63,42623
63,35,59736
35,63,59375
63,41,78414
41,63,78032
63,47,98424
47,63,98186
63,53,119521
53,63,119283
63,59,141240
59,63,141147
67,23,30381
23,67,29993
67,29,46177
29,67,45758
67,35,64366
35,67,63968
67,41,84735
41,67,84316
67,47,106615
47,67,106240
67,53,129915
53,67,129700
67,59,154210
59,67,154029
67,65,178957
65,67,178910
71,23,32429
23,71,31973
71,29,49312
29,71,48839
71,35,68953
35,71,68467
71,41,90949
41,71,90518
71,47,114940
47,71,114461
71,53,140392
53,71,140029
71,59,167037
59,71,166776
71,65,194544
65,71,194444
71,71,222353
75,23,34428
23,75,34016
75,29,52499
29,75,52013
75,35,73549
35,75,73021
75,41,97234
41,75,96749
75,47,123159
47,75,122636
75,53,150833
53,75,150396
75,59,179895
59,75,179607
75,65,210076
65,75,209964
75,71,240985
71,75,240812
79,29,55682
29,79,55170
79,35,78222
35,79,77629
79,41,103591
41,79,102930
79,47,131320
47,79,130778
79,53,161331
53,79,160788
79,59,192904
59,79,192392
79,65,225846
65,79,225396
79,71,259597
71,79,259401
79,77,293942
77,79,293931
83,29,58895
29,83,58295
83,35,82859
35,83,82158
83,41,109760
41,83,109199
83,47,139718
47,83,138908
83,53,171746
53,83,171139
83,59,205736
59,83,205247
83,65,241407
65,83,240964
83,71,278217
71,83,277907
83,77,315751
77,83,315724
83,83,353788
87,29,62072
29,87,61406
87,35,87375
35,87,86711
87,41,116107
41,87,115403
87,47,147824
47,87,147166
87,53,182138
53,87,181532
87,59,218667
59,87,218175
87,65,257048
65,87,256545
87,71,296919
71,87,296404
87,77,337814
77,87,337454
87,83,379224
83,87,379070
91,29,65251
29,91,64593
91,35,92019
35,91,91286
91,41,122351
41,91,121592
91,47,156053
47,91,155288
91,53,192572
53,91,191871
91,59,231609
59,91,230889
91,65,272756
65,91,272053
91,71,315530
71,91,314917
91,77,359692
77,91,359078
91,83,404634
83,91,404182
91,89,450082
89,91,449979
95,29,68339
29,95,67729
95,35,96599
35,95,95843
95,41,128694
41,95,127949
95,47,164291
47,95,163513
95,53,203028
53,95,202303
95,59,244652
59,95,243759
95,65,288365
65,95,287631
95,71,334105
71,95,333641
95,77,381408
77,95,381055
95,83,429944
83,95,429661
95,89,479252
89,95,479119
95,95,529030
100,33,91931
33,100,91077
100,40,130540
40,100,129723
100,47,174653
47,100,173669
100,54,223418
54,100,222389
100,61,276194
61,100,275318
100,68,332420
68,100,331531
100,75,391588
75,100,390851
100,82,452780
82,100,452326
100,89,515788
89,100,515398
100,96,579650
96,100,579389
105,33,97097
33,105,96177
105,40,138073
40,105,137181
105,47,185014
47,105,183943
105,54,236805
54,105,235943
105,61,293348
61,105,292375
105,68,353718
68,105,353013
105,75,417550
75,105,416465
105,82,483857
82,105,483084
105,89,552122
89,105,551404
105,96,621921
96,105,621594
105,103,692504
103,105,692524
110,33,102150
33,110,101245
110,40,145586
40,110,144550
110,47,195193
47,110,194094
110,54,250412
54,110,249336
110,61,310566
61,110,309454
110,68,375179
68,110,374026
110,75,443249
75,110,442457
110,82,514813
82,110,514053
110,89,588382
89,110,587824
110,96,664393
96,110,663994
110,103,741251
103,110,741131
110,110,818807
115,40,153045
40,115,151899
115,47,205566
47,115,204337
115,54,263914
54,115,262809
115,61,327988
61,115,326566
115,68,396536
68,115,395348
115,75,469423
75,115,468033
115,82,545792
82,115,544728
115,89,624900
89,115,624199
115,96,706593
96,115,705996
115,103,790097
103,115,789638
115,110,874251
110,115,874156
120,40,160579
40,120,159399
120,47,215769
47,120,214608
120,54,277536
54,120,276147
120,61,345143
61,120,343596
120,68,417830
68,120,416616
120,75,495452
75,120,494032
120,82,576662
82,120,575634
120,89,661648
89,120,660639
120,96,749053
96,120,748306
120,103,838653
103,120,838070
120,110,930016
110,120,929665
120,117,1021935
117,120,1021843
125,40,168128
40,125,166731
125,47,226169
47,125,224846
125,54,291163
54,125,289629
125,61,362303
61,125,360851
125,68,439164
68,125,437845
125,75,521242
75,125,519824
125,82,607783
82,125,606416
125,89,697722
89,125,696700
125,96,791439
96,125,790468
125,103,887382
103,125,886693
125,110,985554
110,125,984858
125,117,1084712
117,125,1084515
125,124,1184397
124,125,1184759
130,40,175614
40,130,174232
130,47,236285
47,130,234881
130,54,304589
54,130,303093
130,61,379576
61,130,377853
130,68,460518
68,130,459186
130,75,547285
75,130,545687
130,82,638685
82,130,637102
130,89,734594
89,130,733007
130,96,833765
96,130,832683
130,103,936124
103,130,935174
130,110,1040945
110,130,1039895
130,117,1147374
117,130,1146846
130,124,1255271
124,130,1254975
135,47,246759
47,135,245114
135,54,318145
54,135,316523
135,61,396806
61,135,395179
135,68,481960
68,135,480330
135,75,573172
75,135,571479
135,82,669609
82,135,668159
135,89,770891
89,135,769537
135,96,876287
96,135,874673
135,103,985067
103,135,983792
135,110,1096723
110,135,1095896
135,117,1210333
117,135,1209778
135,124,1325421
124,135,1324964
135,131,1441656
131,135,1441686
140,47,256900
47,140,255329
140,54,331520
54,140,329900
140,61,414028
61,140,412238
140,68,503278
68,140,501768
140,75,599270
75,140,597244
140,82,700589
82,140,698675
140,89,807420
89,140,805539
140,96,918401
96,140,916967
140,103,1033702
103,140,1031926
140,110,1151986
110,140,1150785
140,117,1273086
117,140,1271947
140,124,1395966
124,140,1395614
140,131,1520727
131,140,1520511
140,138,1646276
138,140,1646241
145,47,267379
47,145,265569
145,54,345154
54,145,343290
145,61,431283
61,145,429392
145,68,524568
68,145,522832
145,75,625185
75,145,623120
145,82,731694
82,145,729707
145,89,843905
89,145,841865
145,96,961190
96,145,959295
145,103,1082688
103,145,1080754
145,110,1207690
110,145,1206224
145,117,1335796
117,145,1334886
145,124,1466730
124,145,1465681
145,131,1599241
131,145,1598515
145,138,1733458
138,145,1732388
145,145,1867926
151,53,349185
53,151,347354
151,61,452020
61,151,449956
151,69,565218
69,151,563048
151,77,687484
77,151,685624
151,85,818966
85,151,816888
151,93,957901
93,151,955792
151,101,1103729
101,151,1101907
151,109,1254919
109,151,1253334
151,117,1411400
117,151,1409864
151,125,1571389
125,151,1570337
151,133,1734343
133,151,1733697
151,141,1899778
141,151,1899319
151,149,2066698
149,151,2066149
157,53,364857
