SOURCE:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

COPY:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

TIME:

4

rows/cols,time_us

5,5

8,4

11,9

14,9

17,22

20,26

23,36

26,42

29,49

32,60

35,149

38,268

41,262

44,373

47,512

50,842

53,1267

56,1658

59,1981

62,2334

65,2584

68,3023

71,3393

74,3758

77,4099

80,4517

83,4887

86,5253

89,5593

92,6125

95,6495

98,6874

101,7221

104,7805

107,8202

110,8594

113,9211

116,9612

119,10031

122,10668

125,11110

128,15081

131,12226

134,12677

137,13392

140,13844

143,14348

146,15102

149,15590

152,16349

155,16860

158,17637

161,18168

164,18997

167,19554

170,20366

173,20958

176,21822

179,22414

182,23279

185,23886

188,24767

191,25419

194,26327

197,26980

200,27913

203,28845

206,29548

209,30493

212,31221

215,32182

218,33192

221,33931

224,34936

227,35940

230,36728

233,37753

236,38812

239,39606

242,40665

245,41748

248,42841

251,43687

254,44797

257,45922

260,47046

263,47935

266,49072

269,50216

272,51427

275,52335

278,53527

281,54716

284,55974

287,57156

290,58395

293,59363

296,60625

299,61889

302,63150

305,64430

308,65740

311,67035

314,68366

317,69663

320,91902

323,72090

326,73448

329,74826

332,76189

335,77565

338,78961

341,80359

344,81794

347,83188

350,84644

353,86037

356,87531

359,89017

362,90464

365,92215

368,93718

371,95196

374,96747

377,98246

380,99798

383,101323

386,102906

389,104468

392,106303

395,107871

398,109485

401,111074

404,112725

407,114331

410,116240

413,117870

416,119501

419,121175

422,122877

425,124851

428,126482

431,128207

434,129959

437,131906

440,133683

443,135413

446,137447

449,139185

452,140977

455,143008

458,144828

461,146626

464,148722

467,150532

470,152400

473,154513

476,156363

479,158466

482,160324

485,162228

488,164378

491,166298

494,168490

497,170385

500,172609

EOF

