SOURCE:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

DETERMINANT:

-0.262844

TIME:

127

rows/cols,time_us

5,132

7,83

9,68

11,93

13,140

15,245

17,586

19,507

21,515

23,619

25,858

27,1067

29,1084

31,1371

33,1557

35,1787

37,1897

39,2163

41,2382

43,2659

45,2896

47,3304

49,3562

51,3936

53,4366

55,4747

57,5253

59,5788

61,6203

63,6786

65,7351

67,7998

69,8579

71,9255

73,9906

75,10724

77,11372

79,12246

81,12948

83,13860

85,14555

87,15586

89,16377

91,17458

93,18281

95,19397

97,20307

99,21550

101,22534

103,23821

105,24850

107,26299

109,27352

111,28865

113,30022

115,31685

117,32868

119,34578

121,35912

123,37749

125,39086

127,41067

129,39449

131,41213

133,42651

135,44573

137,46019

139,48069

141,49593

143,51762

145,53432

147,55680

149,57376

151,59766

153,61521

155,64001

157,65872

159,68475

161,70482

163,73208

165,75255

167,78093

169,80233

171,83207

173,85400

175,88522

177,90916

179,94132

181,96552

183,99888

185,102456

187,105960

189,108598

191,112224

193,115038

195,118789

197,121659

199,125599

201,128526

203,132597

205,135664

207,139890

209,143159

211,147527

213,150777

215,155330

217,158747

219,163438

221,166980

223,171823

225,175573

227,180575

229,184340

231,189524

233,193422

235,198793

237,202811

239,208353

241,212594

243,218308

245,222640

