SOURCE:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

INVERSE:

[  2.71868,  0.407890, -0.938626,   1.22502]

[ 0.625036,  -1.15030,  -1.10559, -0.207596]

[ 0.615633,  0.432462, -0.902918, -0.669995]

[ 0.415419, -0.390017, -0.264269, -0.960823]

TIME:

330

rows/cols,time_us

5,366

7,278

9,303

11,379

13,501

15,655

17,1056

19,1292

21,1646

23,2078

25,2336

27,2854

29,3292

31,3919

33,4610

35,5506

37,6182

39,7196

41,8021

43,9254

45,10257

47,11749

49,14274

51,17124

53,17037

55,18768

57,21145

59,24542

61,26537

63,29274

65,32678

67,37875

69,42270

71,49118

73,60753

75,57979

77,63562

79,81714

81,77519

83,86493

85,102833

87,102237

89,143922

91,122982

93,157486

95,141518

97,157895

99,165286

101,176277

103,193555

105,217736

107,215750

109,229148

111,246150

113,260379

115,274613

117,317465

119,307328

121,329490

123,343341

125,358656

127,378939

129,394120

131,415602

133,514328

135,458553

137,483423

139,499482

141,526533

143,551201

145,625951

147,595601

149,625827

151,646456

153,671148

155,698979

157,730008

159,755842

161,783140

163,815640

165,845019

167,877475

169,907794

171,957880

173,973112

175,1011410

177,1293834

