SOURCE:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

TEMP:

[ 0.883339, -0.372347,   1.21804, -0.592932]

[-0.372347,  0.838178, -0.654563, 0.0545750]

[  1.21804, -0.654563,   2.04358, -0.770070]

[-0.592932, 0.0545750, -0.770070,  0.797125]

LLT:

[ 0.939861, -0.372347,   1.21804, -0.592932]

[-0.396172,  0.825364, -0.654563, 0.0545750]

[  1.29598, -0.170992,  0.578589, -0.770070]

[-0.630871, -0.236694, 0.0121940,  0.585622]

TIME:

88

rows/cols,time_us

5,13

8,27

11,47

14,122

17,129

20,168

23,215

26,272

29,353

32,654

35,900

38,1269

41,1562

44,1747

47,2063

50,2386

53,2709

56,2991

59,3442

62,3930

65,4386

68,4790

71,5445

74,6022

77,6544

80,7219

83,7911

86,8633

89,9451

92,10212

95,11062

98,11981

101,12951

104,13921

107,14993

110,16102

113,17282

116,18479

119,19749

122,21097

125,22477

128,20594

131,21887

134,23216

137,24619

140,26024

143,27492

146,29080

149,30721

152,32333

155,34093

158,35856

161,37739

164,39632

167,41598

170,43656

173,45778

176,47913

179,50188

182,52467

185,54890

188,57317

191,59820

194,62480

197,65141

200,67886



*** PANIC ***



Out of memory



