SOURCE:

[0.00000, 0.00000, 0.00000, 0.00000]

[0.00000, 0.00000, 0.00000, 0.00000]

[0.00000, 0.00000, 0.00000, 0.00000]

[0.00000, 0.00000, 0.00000, 0.00000]

LU:

[0.00000, 0.00000, 0.00000, 0.00000]

[0.00000, 0.00000, 0.00000, 0.00000]

[0.00000, 0.00000, 0.00000, 0.00000]

[0.00000, 0.00000, 0.00000, 0.00000]

TIME:

56

rows,cols,time_us

5,5,49

7,5,33

5,7,25

7,7,23

9,5,23

5,9,19

9,7,23

7,9,33

9,9,39

11,5,30

5,11,21

11,7,25

7,11,23

11,9,31

9,11,30

11,11,35

13,5,32

5,13,24

13,7,28

7,13,28

13,9,33

9,13,42

13,11,40

11,13,39

13,13,48

15,7,35

7,15,39

15,9,37

9,15,38

15,11,45

11,15,42

15,13,51

13,15,88

15,15,57

17,7,36

7,17,32

17,9,50

9,17,48

17,11,46

11,17,44

17,13,64

13,17,54

17,15,63

15,17,59

17,17,79

19,7,36

7,19,35

19,9,53

9,19,53

19,11,52

11,19,59

19,13,59

13,19,60

19,15,66

15,19,68

19,17,76

17,19,71

19,19,95

21,9,57

9,21,46

21,11,58

11,21,57

21,13,64

13,21,63

21,15,70

15,21,68

21,17,87

17,21,92

21,19,100

19,21,96

21,21,105

23,9,81

9,23,49

23,11,65

11,23,59

23,13,68

13,23,70

23,15,72

15,23,78

23,17,83

17,23,82

23,19,96

19,23,103

23,21,143

21,23,101

23,23,118

25,9,61

9,25,55

25,11,70

11,25,64

25,13,71

13,25,80

25,15,87

15,25,80

25,17,116

17,25,90

25,19,97

19,25,97

25,21,121

21,25,147

25,23,136

23,25,132

25,25,153

27,11,71

11,27,102

27,13,76

13,27,75

27,15,93

15,27,91

27,17,90

17,27,97

27,19,122

19,27,110

27,21,128

21,27,162

27,23,147

23,27,140

27,25,150

25,27,187

27,27,177

29,11,77

11,29,73

29,13,78

13,29,106

29,15,97

15,29,87

29,17,100

17,29,111

29,19,154

19,29,122

29,21,127

21,29,128

29,23,137

23,29,156

29,25,159

25,29,156

29,27,224

27,29,178

29,29,191

31,11,79

11,31,80

31,13,85

13,31,93

31,15,100

15,31,91

31,17,112

17,31,113

31,19,135

19,31,122

31,21,180

21,31,146

31,23,157

23,31,154

31,25,173

25,31,177

31,27,192

27,31,235

31,29,210

29,31,204

31,31,225

33,13,96

13,33,92

33,15,102

15,33,115

33,17,118

17,33,129

33,19,136

19,33,172

33,21,149

21,33,150

33,23,168

23,33,172

33,25,186

25,33,187

33,27,234

27,33,205

33,29,220

29,33,224

33,31,241

31,33,288

33,33,277

35,13,110

13,35,99

35,15,113

15,35,111

35,17,122

17,35,159

35,19,145

19,35,147

35,21,158

21,35,202

35,23,180

23,35,182

35,25,221

25,35,196

35,27,217

27,35,263

35,29,239

29,35,234

35,31,249

31,35,248

35,33,315

33,35,270

35,35,347

37,13,112

13,37,103

37,15,117

15,37,118

37,17,133

17,37,134

37,19,155

19,37,157

37,21,172

21,37,176

37,23,232

23,37,193

37,25,210

25,37,215

37,27,248

27,37,257

37,29,245

29,37,244

37,31,265

31,37,263

37,33,332

33,37,279

37,35,351

35,37,294

37,37,369

39,15,127

15,39,125

39,17,174

17,39,145

39,19,165

19,39,162

39,21,190

21,39,189

39,23,202

23,39,210

39,25,226

25,39,259

39,27,247

27,39,244

39,29,280

29,39,263

39,31,289

31,39,277

39,33,343

33,39,292

39,35,355

35,39,304

39,37,379

37,39,313

39,39,392

41,15,137

15,41,132

41,17,186

17,41,146

41,19,174

19,41,195

41,21,196

21,41,191

41,23,231

23,41,220

41,25,233

25,41,297

41,27,256

27,41,287

41,29,284

29,41,290

41,31,285

31,41,300

41,33,297

33,41,297

41,35,309

35,41,331

41,37,326

37,41,371

41,39,348

39,41,359

41,41,384

43,17,222

17,43,159

43,19,184

19,43,222

43,21,209

21,43,202

43,23,278

23,43,228

43,25,245

25,43,249

43,27,260

27,43,279

43,29,294

29,43,333

43,31,295

31,43,348

43,33,310

33,43,366

43,35,318

35,43,376

43,37,336

37,43,387

43,39,354

39,43,401

43,41,372

41,43,371

43,43,422

45,17,178

17,45,176

45,19,237

19,45,191

45,21,217

21,45,220

45,23,237

23,45,274

45,25,258

25,45,277

45,27,275

27,45,274

45,29,297

29,45,288

45,31,304

31,45,310

45,33,322

33,45,340

45,35,337

35,45,350

45,37,347

37,45,368

45,39,367

39,45,422

45,41,383

41,45,383

45,43,430

43,45,395

45,45,472

47,17,184

17,47,207

47,19,204

19,47,205

47,21,278

21,47,230

47,23,247

23,47,266

47,25,263

25,47,268

47,27,284

27,47,287

47,29,293

