M1:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

M2:

[ 0.815258,  0.744578, -0.276170,  0.754135]

[-0.794981, -0.333481, -0.936012, -0.101482]

[ 0.843956,  0.384819,  0.717022, -0.135615]

[0.0151024,  0.113892, -0.802031,  0.212536]

RES:

[  0.244720,   0.327537,  -0.716160,   0.516135]

[  0.968970,   0.393174,    1.23320,  -0.112652]

[-0.0989207,   0.108990,  -0.891999,   0.518620]

[ -0.276028,  -0.166497,   0.269855, -0.0949631]

TIME:

34

M1:

[ 0.855675, -0.209269,  0.304250,  0.898287]

[ 0.328571, -0.123062,  0.857727, -0.385329]

M2:

[ 0.192966,  0.884393,  0.622719]

[ 0.566152, -0.867053,   1.02327]

[-0.323939,  0.496488,  0.464563]

[ 0.610506, -0.519366,  0.509693]

RES:

[ 0.496488,  0.622719,  0.464563]

[-0.519366,   1.02327,  0.509693]

TIME:

21

x,y,z,time_us

5,5,5,38

15,15,15,549

15,25,15,527

25,15,15,460

15,15,25,455

25,25,15,639

15,25,25,884

25,15,25,576

25,25,25,930

25,35,25,2023

35,25,25,1453

25,25,35,1663

35,35,25,2713

25,35,35,3217

35,25,35,2212

35,35,35,3922

25,45,25,2890

45,25,25,1751

25,25,45,2814

35,45,25,3473

45,35,25,3043

25,45,35,3792

35,25,45,3191

35,45,35,5581

45,35,35,3921

35,35,45,4818

45,45,25,4068

25,45,45,5592

45,25,45,3685

45,45,35,7342

35,45,45,7536

45,35,45,5961

45,45,45,10404

35,55,35,7624

55,35,35,5235

35,35,55,7188

45,55,35,10067

55,45,35,8633

35,55,45,10745

45,35,55,8616

45,55,45,12791

55,45,45,11070

45,45,55,12678

55,55,35,11464

35,55,55,12763

55,35,55,9354

55,55,45,14755

45,55,55,15563

55,45,55,13444

55,55,55,18054

35,65,35,9601

65,35,35,6037

35,35,65,9236

45,65,35,12211

65,45,35,9467

35,65,45,12858

45,35,65,10654

45,65,45,15354

65,45,45,11660

45,45,65,14896

55,65,35,14120

65,55,35,12541

35,65,55,15931

55,35,65,11087

55,65,45,17669

65,55,45,15927

45,65,55,18376

55,45,65,16023

55,65,55,20520

65,55,55,19357

55,55,65,20923

65,65,35,15201

35,65,65,18467

65,35,65,11289

65,65,45,18601

45,65,65,21613

65,45,65,16410

65,65,55,21997

55,65,65,24462

65,55,65,21874

65,65,65,25367

45,75,45,17714

75,45,45,12173

45,45,75,17397

55,75,45,19145

75,55,45,15943

45,75,55,21163

55,45,75,18777

55,75,55,22983

75,55,55,18477

55,55,75,23438

65,75,45,21057

75,65,45,19047

45,75,65,24877

65,45,75,19322

65,75,55,24996

75,65,55,22941

55,75,65,26504

65,55,75,24594

65,75,65,28697

75,65,65,26160

65,65,75,28752

75,75,45,22634

45,75,75,28304

75,45,75,19761

75,75,55,26900

55,75,75,30317

75,55,75,24195

75,75,65,31136

65,75,75,32802

75,65,75,29610

75,75,75,35006

45,85,45,20353

85,45,45,12501

45,45,85,19693

55,85,45,21731

85,55,45,16330

45,85,55,24259

55,45,85,21325

55,85,55,25861

85,55,55,19138

55,55,85,26646

65,85,45,23633

85,65,45,20189

45,85,65,27944

65,45,85,21737

65,85,55,27892

85,65,55,23359

55,85,65,29954

65,55,85,27547

65,85,65,32085

85,65,65,26927

65,65,85,32195

75,85,45,25465

85,75,45,23755

45,85,75,32298

75,45,85,22465

75,85,55,30114

85,75,55,27838

55,85,75,34086

75,55,85,27062

75,85,65,34704

85,75,65,32078

65,85,75,36595

75,65,85,33330

75,85,75,39412

85,75,75,36418

75,75,85,39304

85,85,45,27082

45,85,85,36069

85,45,85,22527

85,85,55,32244

55,85,85,38245

85,55,85,28162

85,85,65,37167

65,85,85,41045

85,65,85,33972

85,85,75,42114

75,85,85,43888

85,75,85,40704

85,85,85,47113

55,95,55,28748

95,55,55,20111

55,55,95,29785

65,95,55,30803

95,65,55,24370

55,95,65,33206

65,55,95,31454

65,95,65,35673

95,65,65,27824

65,65,95,35521

75,95,55,33289

95,75,55,28764

55,95,75,37941

75,55,95,29708

75,95,65,38300

95,75,65,33016

65,95,75,40507

75,65,95,36720

75,95,75,43762

95,75,75,37649

75,75,95,43747

85,95,55,35453

95,85,55,33480

55,95,85,42346

85,55,95,31454

85,95,65,40992

95,85,65,38375

65,95,85,45475

85,65,95,37584

85,95,75,46576

95,85,75,43570

75,95,85,48687

85,75,95,45018

85,95,85,52051

95,85,85,48458

85,85,95,52168

95,95,55,38071

55,95,95,47182

95,55,95,33276

95,95,65,43540

