M1:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

M2:

[ 0.815258,  0.744578, -0.276170,  0.754135]

[-0.794981, -0.333481, -0.936012, -0.101482]

[ 0.843956,  0.384819,  0.717022, -0.135615]

[0.0151024,  0.113892, -0.802031,  0.212536]

RES:

[  0.244720,   0.327537,  -0.716160,   0.516135]

[  0.968970,   0.393174,    1.23320,  -0.112652]

[-0.0989207,   0.108990,  -0.891999,   0.518620]

[ -0.276028,  -0.166497,   0.269855, -0.0949631]

TIME:

31

M1:

[ 0.855675, -0.209269,  0.304250,  0.898287]

[ 0.328571, -0.123062,  0.857727, -0.385329]

M2:

[ 0.192966,  0.884393,  0.622719]

[ 0.566152, -0.867053,   1.02327]

[-0.323939,  0.496488,  0.464563]

[ 0.610506, -0.519366,  0.509693]

RES:

[ 0.496488,  0.622719,  0.464563]

[-0.519366,   1.02327,  0.509693]

TIME:

23

x,y,z,time_us

5,5,5,34

15,15,15,457

15,25,15,450

25,15,15,359

15,15,25,382

25,25,15,543

15,25,25,578

25,15,25,464

25,25,25,769

25,35,25,1324

35,25,25,1076

25,25,35,1148

35,35,25,1846

25,35,35,2020

35,25,35,1621

35,35,35,2561

25,45,25,1882

45,25,25,1436

25,25,45,1692

35,45,25,2337

45,35,25,2102

25,45,35,2479

35,25,45,2130

35,45,35,3301

45,35,35,2786

35,35,45,2984

45,45,25,2732

25,45,45,3206

45,25,45,2620

45,45,35,4230

35,45,45,4340

45,35,45,3770

45,45,45,5658

35,55,35,4300

55,35,35,3452

35,35,55,4155

45,55,35,5533

55,45,35,5019

35,55,45,5688

45,35,55,5047

45,55,45,6959

55,45,45,6379

45,45,55,6975

55,55,35,6493

35,55,55,6896

55,35,55,5686

55,55,45,8200

45,55,55,8472

55,45,55,7840

55,55,55,10043

35,65,35,5307

65,35,35,3967

35,35,65,5077

45,65,35,6586

65,45,35,5643

35,65,45,6769

45,35,65,6026

45,65,45,8272

65,45,45,7031

45,45,65,8166

55,65,35,7798

65,55,35,7264

35,65,55,8354

55,35,65,6687

55,65,45,9780

65,55,45,9144

45,65,55,10023

55,45,65,9208

55,65,55,11609

65,55,55,11165

55,55,65,11600

65,65,35,8633

35,65,65,9736

65,35,65,7267

65,65,45,10701

45,65,65,11691

65,45,65,9964

65,65,55,12887

55,65,65,13663

65,55,65,12819

65,65,65,14847

45,75,45,9603

75,45,45,7742

45,45,75,9443

55,75,45,10906

75,55,45,9750

45,75,55,11591

55,45,75,10742

55,75,55,13162

75,55,55,11597

55,55,75,13253

65,75,45,12254

75,65,45,11655

45,75,65,13488

65,45,75,11673

65,75,55,14686

75,65,55,14014

55,75,65,15188

65,55,75,14623

65,75,65,16945

75,65,65,16157

65,65,75,16941

75,75,45,13605

45,75,75,15410

75,45,75,12659

75,75,55,16360

55,75,75,17515

75,55,75,15318

75,75,65,18915

65,75,75,19441

75,65,75,18440

75,75,75,21495

45,85,45,11008

85,45,45,8287

45,45,85,10674

55,85,45,12337

85,55,45,10479

45,85,55,13244

55,45,85,12120

55,85,55,14822

85,55,55,12539

55,55,85,14915

65,85,45,13781

85,65,45,12728

45,85,65,15256

65,45,85,13111

65,85,55,16483

85,65,55,15059

55,85,65,17171

65,55,85,16415

65,85,65,18996

85,65,65,17461

65,65,85,19058

75,85,45,15333

85,75,45,14782

45,85,75,17596

75,45,85,14289

75,85,55,18341

85,75,55,17644

55,85,75,19630

75,55,85,17210

75,85,65,21213

85,75,65,20399

65,85,75,21792

75,65,85,20667

75,85,75,24209

85,75,75,23317

75,75,85,24086

85,85,45,16833

45,85,85,19674

85,45,85,15214

85,85,55,20175

55,85,85,21909

85,55,85,18675

85,85,65,23330

65,85,85,24383

85,65,85,22212

85,85,75,26597

75,85,85,27005

85,75,85,26061

85,85,85,29777

55,95,55,16526

95,55,55,13563

55,55,95,16670

65,95,55,18225

95,65,55,16299

55,95,65,19041

65,55,95,18415

65,95,65,21141

95,65,65,18735

65,65,95,21092

75,95,55,20373

95,75,55,18971

55,95,75,21829

75,55,95,19027

75,95,65,23487

95,75,65,21862

65,95,75,24145

75,65,95,22931

75,95,75,26869

95,75,75,25028

75,75,95,26775

85,95,55,22329

95,85,55,21758

55,95,85,24436

85,55,95,20915

85,95,65,25872

95,85,65,24977

65,95,85,27050

85,65,95,24736

85,95,75,29464

95,85,75,28558

75,95,85,29955

85,75,95,28925

85,95,85,32968

95,85,85,31829

85,85,95,33054

95,95,55,24473

55,95,95,27183

95,55,95,22761

95,95,65,28160

