--------------------------------------------------

SOURCE:

[ 0.380002064000000, -0.243142362000000, -0.319745920000000,  0.759988110000000]

[0.0108367950000000, -0.484535765000000,  0.687703766000000, -0.361039414000000]

[ 0.182981080000000, -0.585235722000000, -0.862443925000000,  0.961136338000000]

[ 0.109569827000000,  0.252523862000000, -0.180186213000000, -0.829990423000000]

QR:

[ -0.435897497000000,   0.406204404000000,   0.668977226000000,  -0.848393033000000]

[ 0.0132820200000000,   0.731546478000000, -0.0929306810000000,  -0.597790475000000]

[  0.224269124000000,   0.364076792000000,   0.946194418000000,  -0.696117069000000]

[  0.134293278000000,  -0.281357098000000, -0.0937818980000000,  -0.871146019000000]

Q:

[ -0.871769320000000,   0.151698051000000,   0.293327988000000,  -0.361890377000000]

[-0.0248608780000000,  -0.648540019000000,   0.680690828000000,   0.339761355000000]

[ -0.419780066000000,  -0.566907535000000,  -0.670373563000000,   0.230216916000000]

[ -0.251366038000000,   0.484767359000000,  0.0348994900000000,   0.837017173000000]

R:

[ -0.435897497000000,   0.406204404000000,   0.668977226000000,  -0.848393033000000]

[   0.00000000000000,   0.731546478000000, -0.0929306810000000,  -0.597790475000000]

[   0.00000000000000,    0.00000000000000,   0.946194418000000,  -0.696117069000000]

[   0.00000000000000,    0.00000000000000,    0.00000000000000,  -0.871146019000000]

Q * R:

[ 0.380002064000000, -0.243142362000000, -0.319745920000000,  0.759988110000000]

[0.0108367950000000, -0.484535765000000,  0.687703766000000, -0.361039414000000]

[ 0.182981080000000, -0.585235722000000, -0.862443925000000,  0.961136338000000]

[ 0.109569827000000,  0.252523862000000, -0.180186213000000, -0.829990423000000]

ERROR:

5.58570e-16

TIME:

277

--------------------------------------------------

rows,cols,time_us

5,5,366

7,5,250

5,7,687

7,7,381

9,5,260

5,9,656

9,7,440

7,9,791

9,9,571

11,5,292

5,11,778

11,7,477

7,11,939

11,9,665

9,11,1170

11,11,839

13,5,323

5,13,796

13,7,527

7,13,1129

13,9,723

9,13,1601

13,11,919

11,13,1664

13,13,1159

15,7,548

7,15,1237

15,9,801

9,15,1725

15,11,1092

11,15,1945

15,13,1339

13,15,2281

15,15,1547

17,7,583

7,17,1417

17,9,982

9,17,1851

17,11,1206

11,17,2332

17,13,1499

13,17,2607

17,15,1780

15,17,2939

17,17,2031

19,7,670

7,19,1527

19,9,1006

9,19,2087

19,11,1327

11,19,2529

19,13,1639

13,19,3118

19,15,1970

15,19,3400

19,17,2295

17,19,3793

19,19,2617

21,9,1077

9,21,2286

21,11,1431

11,21,2876

21,13,1808

13,21,3338

21,15,2161

15,21,3914

21,17,2550

17,21,4419

21,19,2959

19,21,4853

21,21,3353

23,9,1139

9,23,2572

23,11,1563

11,23,3092

23,13,1941

13,23,3756

23,15,2382

15,23,4316

23,17,2808

17,23,5044

23,19,3274

19,23,5527

23,21,3796

21,23,6116

23,23,4253

25,9,1219

9,25,2721

25,11,1697

11,25,3406

25,13,2091

13,25,4122

25,15,2582

15,25,4860

25,17,3074

17,25,5547

25,19,3612

19,25,6326

25,21,4167

21,25,6936

25,23,4712

23,25,7640

25,25,5328

27,11,1741

11,27,3654

27,13,2286

13,27,4479

27,15,2800

15,27,5287

27,17,3342

17,27,6194

