--------------------------------------------------

SOURCE:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

QR:

[ -0.435897,   0.406205,   0.668977,  -0.848393]

[ 0.0132821,   0.731546, -0.0929309,  -0.597790]

[  0.224269,   0.364077,   0.946194,  -0.696117]

[  0.134293,  -0.281357, -0.0937819,  -0.871146]

Q:

[ -0.871769,   0.151698,   0.293328,  -0.361890]

[-0.0248610,  -0.648540,   0.680691,   0.339761]

[ -0.419780,  -0.566907,  -0.670374,   0.230217]

[ -0.251366,   0.484767,  0.0348995,   0.837017]

R:

[ -0.435897,   0.406205,   0.668977,  -0.848393]

[   0.00000,   0.731546, -0.0929309,  -0.597790]

[   0.00000,    0.00000,   0.946194,  -0.696117]

[   0.00000,    0.00000,    0.00000,  -0.871146]

Q * R:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

ERROR:

1.80051e-07

TIME:

181

--------------------------------------------------

rows,cols,time_us

5,5,293

7,5,137

5,7,503

7,7,199

9,5,129

5,9,402

9,7,200

7,9,448

9,9,291

11,5,130

5,11,391

11,7,211

7,11,428

11,9,247

9,11,592

11,11,284

13,5,122

5,13,416

13,7,213

7,13,488

13,9,312

9,13,576

13,11,312

11,13,770

13,13,361

15,7,171

7,15,578

15,9,319

9,15,702

15,11,342

11,15,843

15,13,374

13,15,877

15,15,418

17,7,224

7,17,526

17,9,290

9,17,665

17,11,342

11,17,801

17,13,398

13,17,880

17,15,447

15,17,959

17,17,569

19,7,184

7,19,501

19,9,300

9,19,665

19,11,353

11,19,853

19,13,478

13,19,934

19,15,500

15,19,993

19,17,554

17,19,1264

19,19,603

21,9,257

9,21,697

21,11,375

11,21,864

21,13,441

13,21,966

21,15,514

15,21,1159

21,17,598

17,21,1212

21,19,700

19,21,1446

21,21,831

23,9,285

9,23,848

23,11,403

11,23,850

23,13,464

13,23,1135

23,15,540

15,23,1134

23,17,628

17,23,1308

23,19,705

19,23,1433

23,21,792

21,23,1655

23,23,887

25,9,288

9,25,782

25,11,469

11,25,918

25,13,497

13,25,1037

25,15,590

15,25,1202

25,17,673

17,25,1353

25,19,745

19,25,1642

25,21,895

21,25,1669

25,23,999

23,25,1861

25,25,1085

27,11,397

11,27,941

27,13,521

13,27,1185

27,15,608

15,27,1268

27,17,759

17,27,1466

27,19,842

19,27,1572

27,21,946

21,27,1809

27,23,1062

23,27,1955

27,25,1182

25,27,2149

27,27,1265

29,11,405

11,29,1031

29,13,537

13,29,1168

29,15,632

15,29,1320

29,17,779

17,29,1597

29,19,863

19,29,1704

29,21,1015

21,29,1880

29,23,1126

23,29,2152

29,25,1242

25,29,2283

29,27,1424

27,29,2587

29,29,1489

31,11,438

11,31,1054

31,13,565

13,31,1201

31,15,653

15,31,1344

31,17,775

17,31,1613

31,19,887

19,31,1800

31,21,1072

21,31,2002

31,23,1203

23,31,2273

31,25,1281

25,31,2431

31,27,1428

27,31,2608

31,29,1561

29,31,2879

31,31,1692

33,13,536

13,33,1225

33,15,695

15,33,1565

33,17,832

17,33,1629

33,19,980

19,33,1921

33,21,1126

21,33,2086

33,23,1249

23,33,2362

33,25,1398

25,33,2540

33,27,1509

27,33,2821

33,29,1662

29,33,2972

33,31,1816

31,33,3297

33,33,1941

35,13,617

13,35,1325

35,15,764

15,35,1497

35,17,907

17,35,1749

35,19,1037

19,35,1949

35,21,1170

21,35,2225

35,23,1320

23,35,2420

35,25,1459

25,35,2740

35,27,1601

27,35,2908

35,29,1762

29,35,3232

35,31,1935

31,35,3487

35,33,2076

33,35,3790

35,35,2223

37,13,612

13,37,1401

37,15,780

15,37,1596

37,17,914

17,37,1769

37,19,1149

19,37,2050

37,21,1240

21,37,2283

37,23,1386

23,37,2594

37,25,1534

25,37,2794

37,27,1687

27,37,3148

37,29,1857

29,37,3321

37,31,2044

31,37,3697

37,33,2192

33,37,3891

37,35,2363

35,37,4239

37,37,2512

39,15,816

15,39,1680

39,17,1005

17,39,1928

39,19,1122

19,39,2132

39,21,1270

21,39,2427

39,23,1429

23,39,2619

39,25,1605

25,39,3004

39,27,1768

27,39,3209

39,29,1955

29,39,3587

39,31,2208

31,39,3790

39,33,2313

33,39,4190

39,35,2500

35,39,4415

39,37,2654

37,39,4824

39,39,2841

41,15,849

15,41,1904

41,17,992

17,41,1922

41,19,1166

19,41,2215

41,21,1333

21,41,2525

41,23,1493

23,41,2786

41,25,1760

25,41,3127

41,27,1887

27,41,3447

41,29,2058

29,41,3632

41,31,2249

31,41,4078

41,33,2433

33,41,4340

41,35,2596

35,41,4774

41,37,2825

37,41,4986

41,39,3022

39,41,5426

41,41,3222

43,17,1029

17,43,2247

43,19,1190

19,43,2330

43,21,1364

21,43,2582

43,23,1560

23,43,2877

43,25,1744

25,43,3353

43,27,1947

27,43,3478

43,29,2148

29,43,3918

43,31,2338

31,43,4167

43,33,2511

33,43,4646

43,35,2749

35,43,4873

43,37,2989

37,43,5425

43,39,3220

39,43,5614

43,41,3417

41,43,6106

43,43,3591

45,17,1072

17,45,2208

45,19,1329

19,45,2396

45,21,1449

21,45,2671

45,23,1624

23,45,3046

45,25,1830

25,45,3345

45,27,2016

27,45,3719

45,29,2216

29,45,3996

45,31,2457

31,45,4479

45,33,2653

33,45,4759

45,35,2880

35,45,5337

45,37,3133

37,45,5505

45,39,3354

39,45,6126

45,41,3589

41,45,6306

45,43,3835

43,45,6809

45,45,4025

47,17,1136

17,47,2334

47,19,1309

19,47,2437

47,21,1487

21,47,2809

47,23,1686

23,47,3098

47,25,1896

25,47,3582

47,27,2109

27,47,3789

47,29,2417

29,47,4298

47,31,2527

31,47,4552

47,33,2792

33,47,5103

47,35,3031

35,47,5389

47,37,3294

37,47,5896

47,39,3505

39,47,6174

47,41,3791

41,47,6750

47,43,3993

43,47,6971

47,45,4253

45,47,7496

47,47,4491

49,19,1322

19,49,2712

49,21,1565

21,49,2873
