SOURCE:

[ 0.380002, -0.243142, -0.319746,  0.759988]

[0.0108368, -0.484536,  0.687704, -0.361039]

[ 0.182981, -0.585236, -0.862444,  0.961136]

[ 0.109570,  0.252524, -0.180186, -0.829990]

RANK:

4

TIME:

6

rows,cols,time_us,rank

5,5,5,5

7,5,3,5

5,7,2,5

7,7,2,7

9,5,2,5

5,9,1,5

9,7,1,7

7,9,1,7

9,9,1,9

11,5,1,5

5,11,1,5

11,7,0,7

7,11,1,7

11,9,1,9

9,11,1,9

11,11,1,11

13,7,1,7

7,13,1,7

13,9,1,9

9,13,1,9

13,11,2,11

11,13,1,11

13,13,1,13

15,7,1,7

7,15,1,7

15,9,1,9

9,15,1,9

15,11,1,11

11,15,2,11

15,13,7,13

13,15,6,13

15,15,10,15

17,7,2,7

7,17,1,7

17,9,1,9

9,17,1,9

17,11,3,11

11,17,6,11

17,13,6,13

13,17,8,13

17,15,10,15

15,17,9,15

17,17,7,17

19,9,6,9

9,19,5,9

19,11,6,11

11,19,8,11

19,13,10,13

13,19,9,13

19,15,10,15

15,19,13,15

19,17,7,17

17,19,9,17

19,19,11,19

21,9,7,9

9,21,5,9

21,11,11,11

11,21,7,11

21,13,9,13

13,21,8,13

21,15,8,15

15,21,9,15

21,17,9,17

17,21,9,17

21,19,10,19

19,21,7,19

21,21,11,21

23,11,8,11

11,23,7,11

23,13,11,13

13,23,9,13

23,15,6,15

15,23,7,15

23,17,6,17

17,23,11,17

23,19,8,19

19,23,9,19

23,21,8,21

21,23,9,21

23,23,15,23

25,11,7,11

11,25,9,11

25,13,6,13

13,25,9,13

25,15,10,15

15,25,5,15

25,17,10,17

17,25,8,17

25,19,8,19

19,25,9,19

25,21,10,21

21,25,11,21

25,23,9,23

23,25,9,23

25,25,9,25

27,11,6,11

11,27,9,11

27,13,8,13

13,27,9,13

27,15,8,15

15,27,11,15

27,17,11,17

17,27,8,17

27,19,8,19

19,27,7,19

27,21,9,21

21,27,10,21

27,23,11,23

23,27,7,23

27,25,9,25

25,27,9,25

27,27,12,27

29,13,8,13

13,29,9,13

29,15,8,15

15,29,9,15

29,17,12,17

17,29,11,17

29,19,10,19

19,29,10,19

29,21,11,21

21,29,8,21

29,23,8,23

23,29,11,23

29,25,6,25

25,29,11,25

29,27,7,27

27,29,10,27

29,29,10,29

31,13,12,13

13,31,7,13

31,15,8,15

15,31,8,15

31,17,7,17

17,31,8,17

31,19,8,19

19,31,10,19

31,21,13,21

21,31,9,21

31,23,10,23

23,31,9,23

31,25,12,25

25,31,11,25

31,27,9,27

27,31,10,27

31,29,9,29

29,31,12,29

31,31,13,31

33,15,9,15

15,33,10,15

33,17,7,17

17,33,9,17

33,19,8,19

19,33,7,19

33,21,9,21

21,33,10,21

33,23,11,23

23,33,6,23

33,25,12,25

25,33,11,25

33,27,10,27

27,33,11,27

33,29,12,29

29,33,11,29

33,31,9,31

31,33,11,31

33,33,10,33

35,15,7,15

15,35,10,15

35,17,9,17

17,35,10,17

35,19,6,19

19,35,11,19

35,21,7,21

21,35,10,21

35,23,13,23

23,35,6,23

35,25,11,25

25,35,10,25

35,27,11,27

27,35,13,27

35,29,12,29

29,35,8,29

35,31,12,31

31,35,9,31

35,33,8,33

33,35,8,33

35,35,10,35

37,15,9,15

15,37,7,15

37,17,9,17

17,37,12,17

37,19,9,19

19,37,9,19

37,21,11,21

21,37,8,21

37,23,10,23

23,37,13,23

37,25,9,25

25,37,9,25

37,27,9,27

27,37,9,27

37,29,12,29

29,37,9,29

37,31,8,31

31,37,11,31

37,33,11,33

33,37,10,33

37,35,12,35

35,37,11,35

37,37,10,37

39,17,7,17

17,39,9,17

39,19,10,19

19,39,10,19

39,21,8,21

21,39,10,21

39,23,6,23

23,39,10,23

39,25,4,25

25,39,11,25

39,27,10,27

27,39,12,27

39,29,9,29

29,39,10,29

39,31,13,31

31,39,14,31

39,33,12,33

33,39,11,33

39,35,10,35

35,39,10,35

39,37,9,37

37,39,9,37

39,39,9,39

41,17,10,17

17,41,9,17

41,19,9,19

19,41,9,19

41,21,9,21

21,41,13,21

41,23,12,23

23,41,9,23

41,25,10,25

25,41,11,25

41,27,8,27

27,41,11,27

41,29,8,29

29,41,10,29

41,31,11,31

31,41,9,31

41,33,11,33

33,41,12,33

41,35,10,35

35,41,6,35

41,37,13,37

37,41,14,37

41,39,9,39

39,41,12,39

41,41,11,41

43,19,11,19

19,43,11,19

43,21,11,21

21,43,7,21

43,23,8,23

23,43,9,23

43,25,9,25

25,43,10,25

43,27,11,27

27,43,10,27

43,29,8,29

