X,Y,time_us
5,5,8
7,5,7
5,7,7
7,7,4
9,5,5
5,9,3
9,7,6
7,9,4
9,9,6
11,5,4
5,11,6
11,7,5
7,11,5
11,9,22
9,11,4
11,11,6
13,5,5
5,13,3
13,7,4
7,13,5
13,9,5
9,13,5
13,11,7
11,13,7
13,13,10
15,5,4
5,15,5
15,7,5
7,15,6
15,9,7
9,15,7
15,11,9
11,15,7
15,13,8
13,15,8
15,15,9
17,5,4
5,17,6
17,7,7
7,17,5
17,9,7
9,17,7
17,11,8
11,17,8
17,13,9
13,17,9
17,15,10
15,17,9
17,17,11
19,5,6
5,19,5
19,7,6
7,19,6
19,9,7
9,19,7
19,11,9
11,19,8
19,13,9
13,19,9
19,15,10
15,19,11
19,17,13
17,19,11
19,19,19
21,5,5
5,21,6
21,7,6
7,21,7
21,9,7
9,21,8
21,11,11
11,21,9
21,13,11
13,21,11
21,15,12
15,21,12
21,17,14
17,21,14
21,19,15
19,21,14
21,21,17
23,5,6
5,23,5
23,7,6
7,23,8
23,9,8
9,23,8
23,11,10
11,23,10
23,13,11
13,23,11
23,15,12
15,23,13
23,17,15
17,23,14
23,19,16
19,23,16
23,21,17
21,23,17
23,23,19
25,5,6
5,25,7
25,7,8
7,25,7
25,9,10
9,25,9
25,11,13
11,25,10
25,13,13
13,25,12
25,15,14
15,25,14
25,17,15
17,25,15
25,19,17
19,25,17
25,21,19
21,25,18
25,23,21
23,25,19
25,25,27
27,7,8
7,27,9
27,9,10
9,27,9
27,11,11
11,27,11
27,13,12
13,27,13
27,15,15
15,27,15
27,17,16
17,27,16
27,19,17
19,27,17
27,21,20
21,27,20
27,23,21
23,27,22
27,25,23
25,27,22
27,27,26
29,7,8
7,29,8
29,9,10
9,29,10
29,11,12
11,29,12
29,13,15
13,29,14
29,15,15
15,29,15
29,17,18
17,29,17
29,19,20
19,29,19
29,21,20
21,29,21
29,23,24
23,29,23
29,25,25
25,29,24
29,27,27
27,29,26
29,29,28
31,7,10
7,31,9
31,9,11
9,31,10
31,11,12
11,31,12
31,13,15
13,31,15
31,15,18
15,31,17
31,17,18
17,31,22
31,19,20
19,31,21
31,21,23
21,31,22
31,23,24
23,31,24
31,25,27
25,31,26
31,27,28
27,31,27
31,29,30
29,31,30
31,31,32
33,7,9
7,33,9
33,9,15
9,33,11
33,11,13
11,33,13
33,13,16
13,33,16
33,15,18
15,33,17
33,17,19
17,33,19
33,19,25
19,33,21
33,21,24
21,33,24
33,23,25
23,33,25
33,25,29
25,33,27
33,27,29
27,33,30
33,29,36
29,33,31
33,31,35
31,33,39
33,33,37
35,7,10
7,35,9
35,9,12
9,35,11
35,11,14
11,35,14
35,13,17
13,35,17
35,15,18
15,35,18
35,17,27
17,35,20
35,19,23
19,35,26
35,21,25
21,35,25
35,23,29
23,35,27
35,25,35
25,35,28
35,27,32
27,35,31
35,29,34
29,35,33
35,31,36
31,35,36
35,33,43
33,35,38
35,35,39
37,9,13
9,37,13
37,11,14
11,37,14
37,13,17
13,37,18
37,15,19
15,37,19
37,17,26
17,37,22
37,19,24
19,37,24
37,21,26
21,37,26
37,23,29
23,37,28
37,25,31
25,37,30
37,27,34
27,37,33
37,29,36
29,37,35
37,31,38
31,37,37
37,33,41
33,37,44
37,35,44
35,37,42
37,37,45
39,9,13
9,39,13
39,11,15
11,39,15
39,13,17
13,39,17
39,15,21
15,39,20
39,17,23
17,39,22
39,19,25
19,39,24
39,21,28
21,39,27
39,23,30
23,39,30
39,25,32
25,39,32
39,27,34
27,39,35
39,29,38
29,39,37
39,31,40
31,39,39
39,33,44
33,39,43
39,35,44
35,39,44
39,37,47
37,39,46
39,39,49
41,9,14
9,41,13
41,11,17
11,41,16
41,13,19
13,41,18
41,15,21
15,41,21
41,17,25
17,41,23
41,19,26
19,41,26
41,21,29
21,41,29
41,23,32
23,41,31
41,25,33
25,41,34
41,27,37
27,41,37
41,29,40
29,41,38
41,31,41
31,41,41
41,33,44
33,41,44
41,35,47
35,41,46
41,37,49
37,41,50
41,39,51
39,41,53
41,41,55
43,9,15
9,43,14
43,11,17
11,43,17
43,13,20
13,43,19
43,15,23
15,43,22
43,17,26
17,43,25
43,19,27
19,43,31
43,21,31
21,43,29
43,23,33
23,43,32
43,25,36
25,43,35
43,27,38
27,43,37
43,29,41
29,43,41
43,31,42
31,43,43
43,33,47
33,43,46
43,35,50
35,43,48
43,37,53
37,43,51
43,39,55
39,43,53
43,41,58
41,43,57
