X,Y,time_us
5,5,8
7,5,3
5,7,8
7,7,4
9,5,2
5,9,3
9,7,2
7,9,3
9,9,3
11,5,3
5,11,3
11,7,3
7,11,2
11,9,4
9,11,3
11,11,4
13,5,2
5,13,2
13,7,3
7,13,3
13,9,3
9,13,4
13,11,5
11,13,4
13,13,4
15,5,2
5,15,3
15,7,4
7,15,5
15,9,3
9,15,4
15,11,4
11,15,6
15,13,24
13,15,4
15,15,5
17,5,3
5,17,3
17,7,4
7,17,4
17,9,4
9,17,4
17,11,4
11,17,5
17,13,6
13,17,6
17,15,6
15,17,6
17,17,7
19,5,4
5,19,3
19,7,4
7,19,4
19,9,5
9,19,4
19,11,5
11,19,5
19,13,6
13,19,5
19,15,6
15,19,7
19,17,7
17,19,6
19,19,8
21,5,4
5,21,4
21,7,4
7,21,4
21,9,4
9,21,5
21,11,12
11,21,6
21,13,6
13,21,7
21,15,7
15,21,7
21,17,8
17,21,7
21,19,7
19,21,8
21,21,9
23,5,4
5,23,3
23,7,5
7,23,5
23,9,5
9,23,10
23,11,5
11,23,6
23,13,7
13,23,7
23,15,7
15,23,8
23,17,8
17,23,8
23,19,9
19,23,9
23,21,10
21,23,10
23,23,10
25,5,11
5,25,4
25,7,5
7,25,5
25,9,6
9,25,5
25,11,6
11,25,6
25,13,7
13,25,6
25,15,7
15,25,8
25,17,9
17,25,8
25,19,10
19,25,9
25,21,10
21,25,10
25,23,11
23,25,11
25,25,29
27,7,5
7,27,5
27,9,5
9,27,6
27,11,6
11,27,6
27,13,7
13,27,17
27,15,8
15,27,8
27,17,9
17,27,8
27,19,11
19,27,9
27,21,11
21,27,10
27,23,11
23,27,12
27,25,13
25,27,12
27,27,18
29,7,5
7,29,6
29,9,6
9,29,6
29,11,7
11,29,7
29,13,8
13,29,8
29,15,8
15,29,9
29,17,12
17,29,9
29,19,11
19,29,10
29,21,11
21,29,11
29,23,12
23,29,12
29,25,13
25,29,29
29,27,14
27,29,14
29,29,14
31,7,5
7,31,5
31,9,7
9,31,7
31,11,7
11,31,7
31,13,8
13,31,8
31,15,11
15,31,9
31,17,10
17,31,10
31,19,11
19,31,22
31,21,12
21,31,12
31,23,13
23,31,13
31,25,14
25,31,14
31,27,15
27,31,14
31,29,15
29,31,16
31,31,16
33,7,5
7,33,6
33,9,7
9,33,6
33,11,7
11,33,7
33,13,8
13,33,8
33,15,10
15,33,10
33,17,10
17,33,11
33,19,12
19,33,12
33,21,13
21,33,12
33,23,14
23,33,13
33,25,14
25,33,15
33,27,15
27,33,16
33,29,16
29,33,17
33,31,17
31,33,18
33,33,19
35,7,5
7,35,6
35,9,11
9,35,6
35,11,8
11,35,8
35,13,9
13,35,9
35,15,10
15,35,9
35,17,11
17,35,11
35,19,12
19,35,23
35,21,14
21,35,13
35,23,14
23,35,21
35,25,16
25,35,15
35,27,16
27,35,17
35,29,19
29,35,17
35,31,19
31,35,19
35,33,19
33,35,20
35,35,26
37,9,7
9,37,6
37,11,9
11,37,8
37,13,9
13,37,9
37,15,10
15,37,10
37,17,15
17,37,12
37,19,13
19,37,13
37,21,14
21,37,13
37,23,15
23,37,15
37,25,16
25,37,16
37,27,17
27,37,18
37,29,18
29,37,18
37,31,20
31,37,20
37,33,21
33,37,21
37,35,22
35,37,23
37,37,23
39,9,7
9,39,7
39,11,8
11,39,9
39,13,10
13,39,9
39,15,10
15,39,11
39,17,12
17,39,12
39,19,13
19,39,13
39,21,14
21,39,14
39,23,15
23,39,16
39,25,17
25,39,17
39,27,18
27,39,18
39,29,20
29,39,20
39,31,20
31,39,22
39,33,22
33,39,23
39,35,24
35,39,23
39,37,28
37,39,24
39,39,26
41,9,8
9,41,8
41,11,9
11,41,9
41,13,10
13,41,10
41,15,12
15,41,12
41,17,13
17,41,12
41,19,30
19,41,14
41,21,15
21,41,15
41,23,16
23,41,16
41,25,18
25,41,18
41,27,18
27,41,19
41,29,20
29,41,20
41,31,22
31,41,22
41,33,23
33,41,23
41,35,24
35,41,24
41,37,25
37,41,25
41,39,27
39,41,27
41,41,28
43,9,8
9,43,8
43,11,9
11,43,9
43,13,11
13,43,11
43,15,12
15,43,12
43,17,13
17,43,13
43,19,15
19,43,14
43,21,16
21,43,16
43,23,17
23,43,17
43,25,18
25,43,19
43,27,20
27,43,20
43,29,21
29,43,22
43,31,22
31,43,22
43,33,24
33,43,24
43,35,25
35,43,24
43,37,26
37,43,29
43,39,28
39,43,28
43,41,29
41,43,29
43,43,30
45,9,8
9,45,8
45,11,10
11,45,9
45,13,11
13,45,11
45,15,12
15,45,12
45,17,14
17,45,14
45,19,15
19,45,16
45,21,17
21,45,16
45,23,19
23,45,17
45,25,19
25,45,19
45,27,21
27,45,20
45,29,22
29,45,22
45,31,24
31,45,24
45,33,25
33,45,25
45,35,27
35,45,26
45,37,28
37,45,27
45,39,29
39,45,29
45,41,30
41,45,31
45,43,32
43,45,32
45,45,33
47,11,10
11,47,10
47,13,11
13,47,12
47,15,12
15,47,13
47,17,14
17,47,15
47,19,16
19,47,15
47,21,17
21,47,17
47,23,18
23,47,18
47,25,20
25,47,20
47,27,21
27,47,22
47,29,23
29,47,23
47,31,25
31,47,25
47,33,26
33,47,26
47,35,29
35,47,27
47,37,28
37,47,28
47,39,30
39,47,30
47,41,32
41,47,32
47,43,33
43,47,33
47,45,34
45,47,35
47,47,35
49,11,10
11,49,10
49,13,12
13,49,12
49,15,14
15,49,13
49,17,15
17,49,14
49,19,16
19,49,16
49,21,18
21,49,18
49,23,20
23,49,19
49,25,22
25,49,21
49,27,23
27,49,23
49,29,24
29,49,25
49,31,25
31,49,26
49,33,28
33,49,27
49,35,28
35,49,30
49,37,30
37,49,30
49,39,31
39,49,31
49,41,35
41,49,33
49,43,35
43,49,34
49,45,36
45,49,36
49,47,39
47,49,38
49,49,39
51,11,11
11,51,10
51,13,13
13,51,12
51,15,14
15,51,14
51,17,15
17,51,16
51,19,18
19,51,17
51,21,19
21,51,18
51,23,19
23,51,20
51,25,22
25,51,22
51,27,23
27,51,23
51,29,25
29,51,24
51,31,26
31,51,30
51,33,27
33,51,28
51,35,29
35,51,29
51,37,30
37,51,31
51,39,32
39,51,33
51,41,34
41,51,34
51,43,35
43,51,36
51,45,38
45,51,37
51,47,38
47,51,39
51,49,41
49,51,40
51,51,41
53,11,11
11,53,11
53,13,12
13,53,13
53,15,15
15,53,14
53,17,15
17,53,16
53,19,17
19,53,18
53,21,19
21,53,19
53,23,21
23,53,20
53,25,22
25,53,23
53,27,23
27,53,24
53,29,26
29,53,25
53,31,28
31,53,28
53,33,28
33,53,29
53,35,31
35,53,31
53,37,32
37,53,32
53,39,34
39,53,34
53,41,35
41,53,35
53,43,37
43,53,37
53,45,38
45,53,39
53,47,41
47,53,40
53,49,42
49,53,43
53,51,43
51,53,44
53,53,48
55,11,11
11,55,12
55,13,13
13,55,14
55,15,15
15,55,14
55,17,16
17,55,20
55,19,18
19,55,17
55,21,19
21,55,21
55,23,22
23,55,22
55,25,23
25,55,23
55,27,25
27,55,25
55,29,26
29,55,26
55,31,28
31,55,28
55,33,30
33,55,30
55,35,31
35,55,31
55,37,33
37,55,33
55,39,35
39,55,36
55,41,36
41,55,37
55,43,38
43,55,39
55,45,40
45,55,41
55,47,42
47,55,42
55,49,43
49,55,43
55,51,45
51,55,49
55,53,47
53,55,47
55,55,49
57,13,13
13,57,13
57,15,15
15,57,15
57,17,17
17,57,17
57,19,18
19,57,19
57,21,20
21,57,20
57,23,23
23,57,22
57,25,24
25,57,24
57,27,25
27,57,25
57,29,28
29,57,27
57,31,29
31,57,30
57,33,31
33,57,31
57,35,33
35,57,33
57,37,34
37,57,34
57,39,36
39,57,36
57,41,38
41,57,38
57,43,43
43,57,39
57,45,41
45,57,41
57,47,43
47,57,43
57,49,45
49,57,44
57,51,46
51,57,48
57,53,48
53,57,49
57,55,51
55,57,50
57,57,52
59,13,14
13,59,14
59,15,16
15,59,15
59,17,17
17,59,18
59,19,19
19,59,19
59,21,21
21,59,21
59,23,23
23,59,23
59,25,24
25,59,24
59,27,27
27,59,26
59,29,29
29,59,29
59,31,30
31,59,30
59,33,32
33,59,32
59,35,33
35,59,34
59,37,36
37,59,35
59,39,38
39,59,38
59,41,39
41,59,39
59,43,40
43,59,41
59,45,42
45,59,43
59,47,45
47,59,44
59,49,46
49,59,46
59,51,48
51,59,48
59,53,51
53,59,50
59,55,51
55,59,53
59,57,54
57,59,54
59,59,55
61,13,14
13,61,14
61,15,16
15,61,16
61,17,19
17,61,18
61,19,20
19,61,20
61,21,21
21,61,21
61,23,24
23,61,23
61,25,26
25,61,26
61,27,28
27,61,27
61,29,29
29,61,29
61,31,31
31,61,32
61,33,33
33,61,33
61,35,35
35,61,35
61,37,37
37,61,36
61,39,40
