size,time_us,computable
5,463,true
7,508,true
9,623,true
11,837,true
13,1185,true
15,1395,true
17,1746,true
19,2284,true
21,2893,true
23,3358,true
26,4481,true
29,5991,true
32,7683,true
35,9653,true
38,11572,true
41,14747,true
44,17615,true
47,20313,true
50,24238,true
53,28771,true
57,34786,true
61,41789,true
65,49994,true
69,59473,true
73,67994,true
77,80803,true
81,91077,true
85,104906,true
89,119491,true
93,136725,true
98,155823,true
103,180061,true
108,205007,true
113,232211,true
118,267232,true
123,304389,true
128,335057,true
133,374705,true
138,412111,true
143,459981,true
149,519539,true
155,589709,true
161,652575,true
167,737153,true
173,810683,true
179,888704,true
185,982985,true
191,1088286,true
197,1182320,true
*** PANIC ***
Out of memory
