size,time_us
5,20
7,22
9,20
11,15
13,18
15,19
17,3
19,19
21,3
23,15
25,3
27,21
29,4
31,4
33,4
35,4
37,16
39,15
41,15
43,15
45,20
47,3
49,3
51,16
53,19
55,18
57,21
59,19
61,21
63,22
65,4
67,19
69,6
71,19
73,17
75,21
77,18
79,18
81,18
83,18
85,20
87,6
89,19
91,19
93,6
95,19
97,7
99,17
101,20
103,19
105,19
107,19
109,17
111,19
113,19
115,19
117,16
119,21
121,18
123,5
125,27
127,22
129,20
131,22
133,18
135,20
137,23
139,18
141,8
143,19
145,22
147,21
149,23
151,21
153,20
155,7
157,21
159,20
161,24
163,16
165,20
167,20
169,23
171,19
173,22
175,22
177,20
179,18
181,22
183,25
185,20
187,22
189,22
191,17
193,21
195,21
197,22
199,21
201,21
203,20
205,19
207,21
209,20
211,20
213,19
215,7
217,17
219,24
221,21
223,20
225,23
227,22
229,21
231,19
233,7
235,20
237,23
239,18
241,20
243,22
245,20
247,22
*** PANIC ***
Out of memory
