size,time_us
5,460
7,514
9,710
11,1149
13,1653
15,2442
17,3884
19,5107
21,6627
23,8603
25,10834
27,13478
29,16466
31,20038
33,23958
35,28453
37,33337
39,39018
41,45138
43,51977
45,59333
47,67594
49,76393
51,86091
53,96327
55,107674
57,119626
59,132582
61,146273
63,161221
65,176791
67,193626
69,211127
71,230121
73,249824
75,270994
77,292797
79,316380
81,340668
83,366638
85,393315
87,421917
89,451300
91,482562
93,514563
95,548720
97,523232
99,555785
101,589457
103,624898
105,661516
107,699832
109,739344
111,780775
