size,time_us,decomposition,solved
5,160,1,1
6,129,1,1
7,166,1,1
8,194,1,1
9,212,1,1
10,278,1,1
11,306,1,1
12,341,1,1
13,397,1,1
14,446,1,1
15,508,1,1
16,577,1,1
17,660,1,1
18,736,1,1
19,822,1,1
20,920,1,1
21,1028,1,1
22,1143,1,1
23,1274,1,1
24,1414,1,1
25,1554,1,1
26,1708,1,1
27,1871,1,1
28,2049,1,1
29,2234,1,1
30,2443,1,1
31,2656,1,1
32,3763,1,1
33,3995,1,1
34,4256,1,1
35,4575,1,1
36,4922,1,1
37,5272,1,1
38,5660,1,1
39,6034,1,1
40,6387,1,1
41,6882,1,1
42,7311,1,1
43,7766,1,1
44,8256,1,1
45,8780,1,1
46,9288,1,1
47,9825,1,1
48,10400,1,1
49,11045,1,1
50,11619,1,1
51,12257,1,1
52,12925,1,1
53,13592,1,1
54,14317,1,1
55,15025,1,1
56,15799,1,1
57,16643,1,1
58,17452,1,1
59,18263,1,1
60,19127,1,1
61,20064,1,1
62,20955,1,1
63,21878,1,1
64,22863,1,1
65,23939,1,1
66,24961,1,1
67,26023,1,1
68,27121,1,1
69,28261,1,1
70,29396,1,1
71,30607,1,1
72,31833,1,1
73,33176,1,1
74,34415,1,1
75,35739,1,1
76,37069,1,1
77,38489,1,1
78,39894,1,1
79,41362,1,1
80,42871,1,1
81,44462,1,1
82,46011,1,1
83,47608,1,1
84,49220,1,1
85,50937,1,1
86,52647,1,1
87,54373,1,1
88,56199,1,1
89,58153,1,1
90,59957,1,1
91,61889,1,1
92,63822,1,1
93,65854,1,1
94,67856,1,1
95,69939,1,1
96,72070,1,1
97,74337,1,1
98,76484,1,1
99,78766,1,1
100,80991,1,1
101,83462,1,1
102,85804,1,1
103,88253,1,1
104,90721,1,1
105,93340,1,1
106,95858,1,1
107,98500,1,1
108,101127,1,1
109,103941,1,1
110,106616,1,1
111,109459,1,1
112,112321,1,1
113,115370,1,1
114,118243,1,1
115,121230,1,1
116,124298,1,1
117,127531,1,1
118,130573,1,1
119,133826,1,1
120,137109,1,1
121,140571,1,1
122,143924,1,1
123,147329,1,1
124,150784,1,1
