size,time_us,decomposition,solved
5,80,1,1
6,68,1,1
7,68,1,1
8,60,1,1
9,70,1,1
10,89,1,1
11,95,1,1
12,113,1,1
13,107,1,1
14,117,1,1
15,133,1,1
16,140,1,1
17,152,1,1
18,169,1,1
19,180,1,1
20,194,1,1
21,213,1,1
22,232,1,1
23,247,1,1
24,327,1,1
25,290,1,1
26,321,1,1
27,335,1,1
28,370,1,1
29,396,1,1
30,424,1,1
31,451,1,1
32,997,1,1
33,941,1,1
34,972,1,1
35,1006,1,1
36,1078,1,1
37,1120,1,1
38,1153,1,1
39,1228,1,1
40,1285,1,1
41,1371,1,1
42,1430,1,1
43,1496,1,1
44,1562,1,1
45,1645,1,1
46,1726,1,1
47,1790,1,1
48,1853,1,1
49,1974,1,1
50,2065,1,1
51,2181,1,1
52,2247,1,1
53,2356,1,1
54,2468,1,1
55,2550,1,1
56,2664,1,1
57,2808,1,1
58,2921,1,1
59,3031,1,1
60,3158,1,1
61,3304,1,1
62,3394,1,1
63,3525,1,1
64,3639,1,1
65,3829,1,1
66,3953,1,1
67,4077,1,1
68,4231,1,1
69,4407,1,1
70,4563,1,1
71,4713,1,1
72,4852,1,1
73,5066,1,1
74,5238,1,1
75,5419,1,1
76,5590,1,1
77,5789,1,1
78,5961,1,1
79,6179,1,1
80,6349,1,1
81,6598,1,1
82,6789,1,1
83,6979,1,1
84,7198,1,1
85,7456,1,1
86,7658,1,1
87,7859,1,1
88,8105,1,1
89,8377,1,1
90,8619,1,1
91,8855,1,1
92,9087,1,1
93,9388,1,1
94,9627,1,1
95,9865,1,1
96,10157,1,1
97,10485,1,1
98,10750,1,1
99,11035,1,1
100,11333,1,1
101,11631,1,1
102,11935,1,1
103,12228,1,1
104,12549,1,1
105,12910,1,1
106,13208,1,1
107,13552,1,1
108,13904,1,1
109,14254,1,1
110,14585,1,1
111,14935,1,1
112,15295,1,1
113,15709,1,1
114,16060,1,1
115,16420,1,1
116,16810,1,1
117,17228,1,1
118,17614,1,1
119,17972,1,1
120,18402,1,1
121,18868,1,1
122,19265,1,1
123,19677,1,1
124,20145,1,1
125,20623,1,1
126,21033,1,1
127,21466,1,1
128,18508,1,1
129,18907,1,1
130,19274,1,1
131,19672,1,1
132,20094,1,1
133,20502,1,1
134,20916,1,1
135,21342,1,1
136,21776,1,1
137,22221,1,1
138,22661,1,1
139,23107,1,1
140,23578,1,1
141,24009,1,1
142,24454,1,1
143,24918,1,1
144,25405,1,1
145,25935,1,1
146,26394,1,1
147,26886,1,1
148,27405,1,1
149,27936,1,1
150,28442,1,1
151,28957,1,1
152,29486,1,1
153,30026,1,1
154,30536,1,1
155,31109,1,1
156,31654,1,1
157,32231,1,1
158,32758,1,1
159,33340,1,1
160,33935,1,1
161,34548,1,1
162,35104,1,1
163,35680,1,1
164,36326,1,1
165,36941,1,1
166,37574,1,1
167,38181,1,1
168,38831,1,1
169,39470,1,1
170,40090,1,1
171,40745,1,1
172,41428,1,1
173,42075,1,1
174,42747,1,1
175,43403,1,1
176,44154,1,1
