X,Y,time_us
7,5,163
9,5,112
9,8,120
11,5,93
11,8,192
13,5,106
13,8,142
13,11,202
15,5,108
15,8,162
15,11,216
15,14,288
17,8,176
17,11,289
17,14,343
19,8,228
19,11,265
19,14,370
19,17,453
21,8,228
21,11,290
21,14,403
21,17,509
21,20,619
23,8,274
23,11,317
23,14,452
23,17,573
23,20,704
25,8,230
25,11,351
25,14,459
25,17,606
25,20,769
25,23,915
28,9,299
28,13,474
28,17,683
28,21,927
28,25,1166
31,13,527
31,17,765
31,21,1031
31,25,1335
31,29,1631
34,13,563
34,17,844
34,21,1127
34,25,1493
34,29,1831
34,33,2215
37,13,610
37,17,901
37,21,1275
37,25,1621
37,29,2040
37,33,2462
40,13,667
40,17,1011
40,21,1366
40,25,1795
40,29,2225
40,33,2710
40,37,3188
43,13,709
43,17,1051
43,21,1461
43,25,1944
43,29,2409
43,33,2942
43,37,3500
43,41,4060
46,17,1154
46,21,1560
46,25,2080
46,29,2626
46,33,3201
46,37,3807
46,41,4435
46,45,5065
49,17,1227
49,21,1697
49,25,2243
49,29,2811
49,33,3451
49,37,4104
49,41,4811
49,45,5523
52,17,1281
52,21,1799
52,25,2380
52,29,3016
52,33,3693
52,37,4417
52,41,5198
52,45,5976
52,49,6739
55,17,1376
55,21,1919
55,25,2518
55,29,3212
55,33,3937
55,37,4729
55,41,5549
55,45,6411
55,49,7280
55,53,8179
59,20,1887
59,25,2734
59,30,3665
59,35,4696
59,40,5816
59,45,7007
59,50,8263
59,55,9493
63,20,2037
63,25,2922
63,30,3930
63,35,5062
63,40,6283
63,45,7585
63,50,8971
63,55,10362
63,60,11809
67,25,3104
67,30,4217
67,35,5430
67,40,6773
67,45,8198
67,50,9678
67,55,11251
67,60,12810
67,65,14445
71,25,3311
71,30,4486
71,35,5809
71,40,7244
71,45,8776
71,50,10410
71,55,12100
71,60,13868
71,65,15686
71,70,17501
75,25,3506
75,30,4759
75,35,6189
75,40,7707
75,45,9370
75,50,11139
75,55,12986
75,60,14899
75,65,16882
75,70,18889
79,25,3695
79,30,5036
79,35,6541
79,40,8191
79,45,9951
79,50,11864
79,55,13869
79,60,15953
79,65,18072
79,70,20279
79,75,22516
83,25,3904
83,30,5310
83,35,6886
83,40,8664
83,45,10561
83,50,12585
83,55,14727
83,60,16986
