X,Y,Z,time_us
5,5,5,30
8,5,5,59
5,8,5,16
5,5,8,19
11,5,5,116
5,11,5,71
5,5,11,78
11,11,5,67
11,5,11,70
5,11,11,59
11,11,11,95
14,11,11,116
11,14,11,113
11,11,14,109
17,12,12,169
12,17,12,129
12,12,17,141
20,12,12,188
12,20,12,145
12,12,20,158
20,19,12,215
19,20,12,214
20,12,19,268
12,19,20,211
20,19,19,362
19,20,19,331
19,19,20,327
23,12,12,185
12,23,12,171
12,12,23,187
23,19,12,246
19,23,12,241
23,12,19,276
12,19,23,247
23,19,19,375
19,23,19,379
19,19,23,370
27,12,12,209
12,27,12,180
12,12,27,210
27,19,12,279
19,27,12,274
27,12,19,317
12,19,27,290
27,19,19,441
19,27,19,412
19,19,27,424
27,26,12,360
26,27,12,351
27,12,26,421
12,26,27,383
27,26,19,558
26,27,19,562
27,19,26,568
19,26,27,538
27,26,26,736
26,27,26,725
26,26,27,728
31,13,13,272
13,31,13,236
13,13,31,265
31,21,13,381
21,31,13,367
31,13,21,414
13,21,31,373
31,21,21,572
21,31,21,548
21,21,31,582
31,29,13,495
29,31,13,499
31,13,29,549
13,29,31,479
31,29,21,777
29,31,21,758
31,21,29,777
21,29,31,748
31,29,29,1008
29,31,29,1005
29,29,31,1021
35,21,21,650
21,35,21,599
21,21,35,650
35,29,21,839
29,35,21,807
35,21,29,869
21,29,35,840
35,29,29,1121
29,35,29,1118
29,29,35,1151
39,21,21,721
21,39,21,665
21,21,39,713
39,29,21,930
29,39,21,909
39,21,29,959
21,29,39,958
39,29,29,1257
29,39,29,1247
29,29,39,1296
39,37,21,1172
37,39,21,1158
39,21,37,1204
21,37,39,1162
39,37,29,1567
37,39,29,1567
39,29,37,1595
29,37,39,1579
39,37,37,1956
37,39,37,1966
37,37,39,1983
43,21,21,825
21,43,21,717
21,21,43,785
43,29,21,1028
29,43,21,968
43,21,29,1087
21,29,43,1010
43,29,29,1401
29,43,29,1332
29,29,43,1412
43,37,21,1289
37,43,21,1258
43,21,37,1359
21,37,43,1275
43,37,29,1698
37,43,29,1672
43,29,37,1748
29,37,43,1727
43,37,37,2144
37,43,37,2101
37,37,43,2168
47,23,23,1075
23,47,23,982
23,23,47,1012
47,32,23,1347
32,47,23,1336
47,23,32,1390
23,32,47,1307
47,32,32,1732
32,47,32,1732
32,32,47,1777
47,41,23,1659
41,47,23,1680
47,23,41,1768
23,41,47,1608
47,41,32,2174
41,47,32,2201
47,32,41,2231
32,41,47,2207
47,41,41,2771
41,47,41,2794
41,41,47,2789
51,23,23,1172
23,51,23,1046
23,23,51,1090
51,32,23,1457
32,51,23,1411
51,23,32,1500
23,32,51,1406
51,32,32,1900
32,51,32,1840
32,32,51,1924
51,41,23,1800
41,51,23,1781
51,23,41,1914
23,41,51,1736
51,41,32,2361
41,51,32,2332
51,32,41,2412
32,41,51,2375
51,41,41,3004
41,51,41,2984
41,41,51,3018
51,50,23,2151
50,51,23,2159
51,23,50,2318
23,50,51,2074
51,50,32,2828
50,51,32,2834
51,32,50,2931
32,50,51,2852
51,50,41,3587
50,51,41,3593
51,41,50,3643
41,50,51,3607
51,50,50,4357
50,51,50,4358
50,50,51,4373
56,23,23,1272
23,56,23,1121
23,23,56,1196
56,32,23,1572
32,56,23,1515
56,23,32,1646
23,32,56,1505
56,32,32,2075
32,56,32,1989
32,32,56,2056
56,41,23,1964
41,56,23,1924
56,23,41,2086
23,41,56,1867
56,41,32,2576
41,56,32,2523
56,32,41,2644
32,41,56,2559
56,41,41,3294
41,56,41,3198
41,41,56,3239
56,50,23,2348
50,56,23,2329
56,23,50,2536
23,50,56,2231
56,50,32,3080
50,56,32,3043
56,32,50,3200
32,50,56,3054
56,50,41,3926
50,56,41,3890
56,41,50,3974
41,50,56,3879
56,50,50,4783
50,56,50,4723
50,50,56,4710
61,32,32,2250
32,61,32,2167
32,32,61,2246
61,41,32,2803
41,61,32,2745
61,32,41,2869
32,41,61,2785
61,41,41,3577
41,61,41,3502
41,41,61,3549
61,50,32,3346
50,61,32,3331
61,32,50,3477
32,50,61,3330
61,50,41,4282
50,61,41,4260
61,41,50,4324
41,50,61,4236
61,50,50,5196
50,61,50,5186
50,50,61,5148
61,59,32,3915
59,61,32,3936
61,32,59,4092
32,59,61,3880
61,59,41,5019
59,61,41,5036
61,41,59,5087
41,59,61,4947
61,59,50,6103
59,61,50,6122
61,50,59,6120
50,59,61,6014
61,59,59,7186
59,61,59,7210
59,59,61,7113
66,35,35,2959
35,66,35,2799
35,35,66,2896
66,45,35,3718
45,66,35,3575
66,35,45,3696
35,45,66,3621
66,45,45,4637
45,66,45,4473
45,45,66,4622
66,55,35,4502
55,66,35,4406
66,35,55,4532
35,55,66,4354
66,55,45,5626
55,66,45,5524
66,45,55,5693
45,55,66,5576
66,55,55,6891
55,66,55,6760
55,55,66,6809
66,65,35,5098
65,66,35,5111
66,35,65,5248
35,65,66,4995
66,65,45,6383
65,66,45,6396
66,45,65,6613
45,65,66,6397
66,65,55,7817
65,66,55,7833
66,55,65,8029
55,65,66,7889
66,65,65,9105
65,66,65,9120
65,65,66,9140
71,35,35,3182
35,71,35,3034
35,35,71,3112
71,45,35,4002
45,71,35,3878
71,35,45,3985
35,45,71,3899
71,45,45,4993
45,71,45,4853
45,45,71,4982
71,55,35,4791
55,71,35,4702
71,35,55,4854
35,55,71,4692
71,55,45,5991
55,71,45,5879
71,45,55,6127
45,55,71,6009
71,55,55,7342
55,71,55,7207
55,55,71,7330
71,65,35,5478
65,71,35,5540
71,35,65,5641
35,65,71,5377
71,65,45,6860
65,71,45,6931
71,45,65,7129
45,65,71,6885
71,65,55,8397
65,71,55,8496
71,55,65,8544
55,65,71,8500
71,65,65,9783
65,71,65,9882
65,65,71,9844
76,35,35,3400
35,76,35,3209
35,35,76,3285
76,45,35,4276
45,76,35,4110
76,35,45,4253
35,45,76,4109
76,45,45,5351
45,76,45,5143
45,45,76,5251
76,55,35,5123
55,76,35,4968
76,35,55,5185
35,55,76,4956
76,55,45,6406
55,76,45,6224
76,45,55,6559
45,55,76,6333
76,55,55,7856
55,76,55,7619
55,55,76,7731
76,65,35,5857
65,76,35,5854
76,35,65,6031
35,65,76,5680
76,65,45,7335
65,76,45,7330
76,45,65,7635
45,65,76,7270
76,65,55,8984
65,76,55,8977
76,55,65,9137
55,65,76,8977
76,65,65,10465
65,76,65,10454
65,65,76,10400
76,75,35,6726
75,76,35,6739
76,35,75,6984
35,75,76,6528
76,75,45,8424
75,76,45,8440
76,45,75,8844
45,75,76,8383
76,75,55,10321
75,76,55,10339
76,55,75,10584
55,75,76,10135
76,75,65,12021
75,76,65,12045
76,65,75,12111
65,75,76,11947
76,75,75,13914
75,76,75,13942
75,75,76,13763
81,35,35,3631
35,81,35,3378
35,35,81,3511
81,45,35,4579
45,81,35,4362
81,35,45,4514
35,45,81,4392
81,45,45,5722
45,81,45,5469
45,45,81,5610
81,55,35,5453
55,81,35,5234
81,35,55,5525
35,55,81,5296
81,55,45,6823
55,81,45,6556
81,45,55,7010
45,55,81,6770
81,55,55,8362
55,81,55,8029
55,55,81,8271
81,65,35,6232
65,81,35,6168
81,35,65,6435
35,65,81,6070
81,65,45,7811
65,81,45,7723
81,45,65,8166
45,65,81,7776
81,65,55,9571
65,81,55,9463
81,55,65,9724
55,65,81,9597
81,65,65,11141
65,81,65,11025
65,65,81,11108
81,75,35,7165
75,81,35,7097
81,35,75,7445
35,75,81,6980
81,75,45,8972
75,81,45,8898
81,45,75,9456
45,75,81,8965
81,75,55,10993
75,81,55,10896
81,55,75,11271
55,75,81,10826
81,75,65,12800
75,81,65,12697
81,65,75,12898
65,75,81,12763
81,75,75,14820
75,81,75,14697
75,75,81,14703
87,38,38,4523
38,87,38,4265
38,38,87,4445
87,49,38,5535
49,87,38,5431
87,38,49,5727
38,49,87,5461
87,49,49,7010
49,87,49,6874
49,49,87,7008
87,60,38,6728
60,87,38,6628
87,38,60,6913
38,60,87,6645
87,60,49,8521
60,87,49,8391
87,49,60,8481
49,60,87,8543
87,60,60,10311
60,87,60,10157
