X,Y,time_us
5,5,403
7,5,327
5,7,796
9,5,388
5,9,839
9,8,592
8,9,1005
11,5,456
5,11,857
11,8,581
8,11,983
11,11,780
13,5,404
5,13,834
13,8,662
8,13,1011
13,11,855
11,13,1429
15,5,498
5,15,899
15,8,662
8,15,1122
15,11,875
11,15,1381
15,14,1185
14,15,1685
17,8,686
8,17,1114
17,11,977
11,17,1570
17,14,1190
14,17,1782
17,17,1461
19,8,671
8,19,1196
19,11,1060
11,19,1558
19,14,1321
14,19,1973
19,17,1610
17,19,2257
21,8,796
8,21,1281
21,11,1098
11,21,1666
21,14,1453
14,21,2134
21,17,1680
17,21,2353
21,20,2081
20,21,2814
23,8,791
8,23,1320
23,11,1136
11,23,1752
23,14,1457
14,23,2191
23,17,1853
17,23,2659
23,20,2182
20,23,3039
23,23,2559
25,8,720
8,25,1416
25,11,1180
11,25,1823
25,14,1590
14,25,2268
25,17,1918
17,25,2723
25,20,2352
20,25,3191
25,23,2818
23,25,3721
28,9,1038
9,28,1667
28,13,1546
13,28,2322
28,17,2062
17,28,3004
28,21,2701
21,28,3736
28,25,3377
25,28,4502
31,13,1621
13,31,2563
31,17,2226
17,31,3272
31,21,2966
21,31,4122
31,25,3714
25,31,4960
31,29,4531
29,31,5916
34,13,1694
13,34,2739
34,17,2392
17,34,3531
34,21,3207
21,34,4409
34,25,4035
25,34,5357
34,29,4939
29,34,6411
34,33,5885
33,34,7465
37,13,1855
13,37,2928
37,17,2542
17,37,3775
37,21,3480
21,37,4856
37,25,4389
25,37,5815
37,29,5428
29,37,6945
37,33,6517
33,37,8159
37,37,7522
40,13,1805
13,40,3168
40,17,2741
17,40,4108
40,21,3724
21,40,5185
40,25,4692
25,40,6337
40,29,5833
29,40,7640
40,33,7007
33,40,8987
40,37,8270
37,40,10406
43,13,2037
13,43,3413
43,17,2919
17,43,4431
43,21,3904
21,43,5620
43,25,5052
25,43,6875
43,29,6289
29,43,8269
43,33,7591
33,43,9699
43,37,8961
37,43,11297
43,41,10405
41,43,12915
46,17,3052
17,46,4751
46,21,4151
21,46,6029
46,25,5381
25,46,7362
46,29,6742
29,46,8902
46,33,8205
33,46,10476
46,37,9727
37,46,12161
46,41,11225
41,46,13895
46,45,12820
45,46,15780
49,17,3227
17,49,5020
49,21,4445
21,49,6435
49,25,5708
25,49,7869
49,29,7165
29,49,9461
49,33,8731
33,49,11150
49,37,10377
37,49,12972
49,41,12054
41,49,14891
49,45,13876
45,49,16934
49,49,22901
52,17,3401
17,52,5529
52,21,4644
21,52,6939
52,25,6059
25,52,8462
52,29,7624
29,52,10250
52,33,9309
33,52,12073
52,37,11168
37,52,14087
52,41,12937
41,52,16149
52,45,14880
45,52,18344
52,49,24399
49,52,24264
55,17,3594
17,55,5840
55,21,4876
21,55,7419
55,25,6386
25,55,9110
55,29,8104
29,55,10978
55,33,9869
33,55,12949
55,37,11853
37,55,15103
55,41,13882
41,55,17307
55,45,16013
45,55,19717
55,49,25669
49,55,26456
55,53,29012
53,55,29513
59,20,4911
20,59,7631
59,25,6819
25,59,9877
59,30,9166
30,59,12452
59,35,11712
35,59,15107
59,40,14342
