X,Y,time_us
5,5,130
7,5,123
5,7,72
9,5,55
5,9,58
9,9,88
11,5,54
5,11,85
11,9,104
9,11,102
13,5,58
5,13,58
13,9,119
9,13,134
13,13,190
15,5,65
5,15,68
15,9,136
9,15,145
15,13,230
13,15,229
17,9,158
9,17,162
17,13,253
13,17,284
17,17,356
19,9,185
9,19,170
19,13,283
13,19,291
19,17,401
17,19,418
21,9,184
9,21,186
21,13,347
13,21,305
21,17,468
17,21,458
21,21,612
23,9,205
9,23,201
23,13,346
13,23,371
23,17,506
17,23,516
23,21,717
21,23,699
25,9,217
9,25,251
25,13,374
13,25,377
25,17,556
17,25,553
25,21,779
21,25,766
25,25,967
28,10,286
10,28,269
28,15,519
15,28,519
28,20,810
20,28,810
28,25,1125
25,28,1127
31,10,314
10,31,306
31,15,580
15,31,576
31,20,911
20,31,908
31,25,1279
25,31,1276
31,30,1695
30,31,1693
34,15,647
15,34,660
34,20,1009
20,34,1011
34,25,1433
25,34,1447
34,30,1890
30,34,1906
37,15,698
15,37,700
37,20,1109
20,37,1108
37,25,1577
25,37,1573
37,30,2117
30,37,2110
37,35,2656
35,37,2651
40,15,760
15,40,758
40,20,1207
20,40,1202
40,25,1725
25,40,1751
40,30,2322
30,40,2321
40,35,2931
35,40,2938
40,40,3557
43,15,845
15,43,822
43,20,1308
20,43,1327
43,25,1881
25,43,1895
43,30,2533
30,43,2526
43,35,3214
35,43,3211
43,40,3936
40,43,3922
46,15,893
15,46,872
46,20,1402
20,46,1423
46,25,2024
25,46,2038
46,30,2739
30,46,2733
46,35,3491
35,46,3492
46,40,4296
40,46,4298
46,45,5109
45,46,5124
49,15,949
15,49,941
49,20,1502
20,49,1480
49,25,2196
25,49,2203
49,30,2952
30,49,2949
49,35,3778
35,49,3775
49,40,4673
40,49,4672
49,45,5573
45,49,5568
52,20,1609
20,52,1622
52,25,2345
25,52,2335
52,30,3156
30,52,3157
52,35,4064
35,52,4068
52,40,5030
40,52,5022
52,45,6039
45,52,6042
52,50,7074
50,52,7066
55,20,1720
20,55,1709
55,25,2492
25,55,2494
55,30,3378
30,55,3362
55,35,4338
35,55,4337
55,40,5378
40,55,5389
55,45,6500
45,55,6467
55,50,7627
50,55,7632
55,55,8780
59,23,2329
23,59,2337
59,29,3457
29,59,3442
59,35,4720
35,59,4729
59,41,6116
41,59,6112
59,47,7601
47,59,7605
59,53,9149
53,59,9148
59,59,10748
63,23,2496
23,63,2496
63,29,3715
29,63,3712
63,35,5096
35,63,5093
63,41,6627
41,63,6619
63,47,8262
47,63,8259
63,53,10001
53,63,9991
63,59,11758
59,63,11783
67,23,2671
23,67,2661
67,29,3977
29,67,3975
67,35,5459
35,67,5459
67,41,7124
41,67,7118
67,47,8928
47,67,8926
67,53,10841
53,67,10831
67,59,12798
59,67,12811
67,65,14812
65,67,14842
71,23,2837
23,71,2814
71,29,4234
29,71,4221
71,35,5850
35,71,5831
71,41,7641
41,71,7635
71,47,9590
47,71,9582
71,53,11673
53,71,11666
71,59,13824
59,71,13830
71,65,16062
65,71,16044
71,71,18320
75,23,3009
23,75,3010
75,29,4497
29,75,4493
75,35,6211
35,75,6214
75,41,8150
41,75,8154
75,47,10247
47,75,10248
75,53,12502
53,75,12509
75,59,14861
59,75,14848
75,65,17296
65,75,17300
75,71,19809
71,75,19811
79,29,4765
29,79,4752
79,35,6597
35,79,6584
79,41,8664
41,79,8637
79,47,10923
47,79,10891
79,53,13348
53,79,13336
79,59,15884
59,79,15890
79,65,18542
65,79,18517
79,71,21278
71,79,21291
79,77,24069
77,79,24049
83,29,5020
29,83,5022
83,35,6980
35,83,6962
83,41,9163
41,83,9172
83,47,11595
