RESULT:

0.27228242800000000, -0.31325329400000000, 0.23918093200000000

0.17164783900000000, 0.33872967100000000, -0.40796986600000000

0.60133551100000000, 0.0066805310000000000, -0.29270219100000000

NORM: 0.99369846800000000

TIME: 49

RESULT:

-0.12213695400000000, 0.67141454800000000, 0.71325865300000000, 1.5165059290000000

-0.078896630000000000, -0.064756643000000000, -0.82895103000000000, -0.48628243700000000

0.84155021800000000, 1.4052259630000000, -0.48476542300000000, 0.93334614800000000

0.43592344900000000, 0.22754997100000000, -0.83805239200000000, -1.1808592400000000

NORM: 3.2149431590000000

TIME: 54

norm,time_us

115.818599,45574

115.818599,45518

115.818599,45534

115.818599,45503

115.818599,45532

115.818599,45517

115.818599,45524

115.818599,45500

115.818599,45526

115.818599,45499

115.818599,45519

115.818599,45519

115.818599,45492

115.818599,45532

115.818599,45518

115.818599,45498

115.818599,45499

115.818599,45493

115.818599,45491

115.818599,45528

115.818599,45518

115.818599,45522

115.818599,45525

115.818599,45499

115.818599,45526

115.818599,45524

115.818599,45491

115.818599,45525

115.818599,45498

115.818599,45520

115.818599,45494

115.818599,45518

115.818599,45522

115.818599,45517

115.818599,45494

115.818599,45494

115.818599,45517

115.818599,45525

115.818599,45494

115.818599,45497

115.818599,45494

115.818599,45527

115.818599,45490

115.818599,45527

115.818599,45495

115.818599,45523

115.818599,45524

115.818599,45504

115.818599,45529

115.818599,45494

115.818599,45526

115.818599,45526

115.818599,45484

115.818599,45494

115.818599,45529

115.818599,45491

115.818599,45518

115.818599,45519

115.818599,45518

115.818599,45518

115.818599,45519

115.818599,45495

115.818599,45516

115.818599,45529

115.818599,45486

115.818599,45528

115.818599,45522

115.818599,45490

115.818599,45529

115.818599,45522

115.818599,45524

115.818599,45521

115.818599,45498

115.818599,45513

115.818599,45493

115.818599,45521

115.818599,45522

115.818599,45494

115.818599,45486

115.818599,45523

115.818599,45494

115.818599,45512

115.818599,45518

115.818599,45516

115.818599,45520

115.818599,45520

115.818599,45530

115.818599,45491

115.818599,45497

115.818599,45499

115.818599,45526

115.818599,45505

115.818599,45523

115.818599,45497

115.818599,45511

115.818599,45502

115.818599,45492

115.818599,45496

115.818599,45518

115.818599,45522

115.818599,45518

115.818599,45499

115.818599,45524

115.818599,45523

115.818599,45526

115.818599,45493

115.818599,45496

115.818599,45518

115.818599,45496

115.818599,45518

115.818599,45518

115.818599,45520

115.818599,45528

115.818599,45521

115.818599,45496

115.818599,45488

115.818599,45498

115.818599,45503

115.818599,45495

115.818599,45518

115.818599,45497

115.818599,45523

115.818599,45523

115.818599,45517

115.818599,45528

115.818599,45521

115.818599,45524

115.818599,45493

115.818599,45500

115.818599,45492

115.818599,45523

115.818599,45496

115.818599,45529

115.818599,45519

115.818599,45518

115.818599,45525

115.818599,45519

115.818599,45516

115.818599,45490

115.818599,45516

115.818599,45493

115.818599,45515

115.818599,45522

115.818599,45492

115.818599,45490

115.818599,45495

115.818599,45492

115.818599,45525

115.818599,45525

115.818599,45513

115.818599,45527

115.818599,45492

115.818599,45496

115.818599,45518

115.818599,45517

115.818599,45518

115.818599,45525

115.818599,45497

115.818599,45526

115.818599,45524

115.818599,45519

115.818599,45522

115.818599,45490

115.818599,45533

115.818599,45520

115.818599,45502

115.818599,45531

115.818599,45521

115.818599,45528

115.818599,45505

115.818599,45529

115.818599,45495

115.818599,45496

115.818599,45522

115.818599,45497

115.818599,45514

115.818599,45520

115.818599,45523

115.818599,45489

115.818599,45521

115.818599,45521

115.818599,45518

115.818599,45495

115.818599,45520

115.818599,45523

115.818599,45529

115.818599,45520

115.818599,45500

115.818599,45507

115.818599,45522

115.818599,45523

115.818599,45519

115.818599,45492

115.818599,45502

115.818599,45523

115.818599,45516

115.818599,45510

115.818599,45493

115.818599,45521

115.818599,45521

115.818599,45488

115.818599,45496

115.818599,45495

115.818599,45518

115.818599,45531

115.818599,45525

115.818599,45524

115.818599,45498

115.818599,45492

115.818599,45490

115.818599,45497

115.818599,45520

115.818599,45521

115.818599,45497

115.818599,45494

115.818599,45527

115.818599,45492

115.818599,45530

115.818599,45524

115.818599,45526

115.818599,45518

115.818599,45515

115.818599,45494

115.818599,45493

115.818599,45522

115.818599,45493

115.818599,45517

115.818599,45522

115.818599,45513

115.818599,45523

115.818599,45525

115.818599,45494

115.818599,45526

115.818599,45521

115.818599,45493

115.818599,45525

115.818599,45491

115.818599,45524

115.818599,45530

115.818599,45496

115.818599,45497

115.818599,45498

115.818599,45491

115.818599,45531

115.818599,45520

115.818599,45491

115.818599,45521

115.818599,45490

115.818599,45513

115.818599,45519

115.818599,45499

115.818599,45522

115.818599,45521

115.818599,45527

115.818599,45524

115.818599,45520

115.818599,45520

115.818599,45525

115.818599,45521

115.818599,45528

115.818599,45526

115.818599,45519

115.818599,45523

115.818599,45529

115.818599,45491

115.818599,45523

115.818599,45495

115.818599,45525

115.818599,45491

115.818599,45514

115.818599,45494

115.818599,45498

115.818599,45517

115.818599,45519

115.818599,45523

115.818599,45522

115.818599,45527

115.818599,45523

115.818599,45495

115.818599,45494

115.818599,45522

115.818599,45529

115.818599,45529

115.818599,45500

115.818599,45492

115.818599,45491

115.818599,45502

115.818599,45492

115.818599,45516

115.818599,45522

115.818599,45496

115.818599,45515

115.818599,45496

115.818599,45522

115.818599,45516

115.818599,45532

115.818599,45493

115.818599,45491

115.818599,45520

115.818599,45496

115.818599,45496

115.818599,45515

115.818599,45520

115.818599,45530

115.818599,45530

115.818599,45518

115.818599,45490

115.818599,45522

115.818599,45501

115.818599,45495

115.818599,45496

115.818599,45497

115.818599,45526

115.818599,45492

115.818599,45529

115.818599,45529

115.818599,45498

115.818599,45496

115.818599,45494

115.818599,45519

115.818599,45520

115.818599,45489

115.818599,45498

115.818599,45517

115.818599,45531

115.818599,45543

115.818599,45523

115.818599,45527

115.818599,45521

115.818599,45527

115.818599,45523

115.818599,45526

115.818599,45491

115.818599,45492

115.818599,45511

115.818599,45527

115.818599,45527

115.818599,45528

115.818599,45497

115.818599,45514

115.818599,45523

115.818599,45490

115.818599,45491

115.818599,45495

115.818599,45498

115.818599,45522

115.818599,45527

115.818599,45487

115.818599,45523

115.818599,45523

115.818599,45515

115.818599,45493

115.818599,45534

115.818599,45500

115.818599,45494

115.818599,45513

115.818599,45522

115.818599,45507

115.818599,45524

115.818599,45500

115.818599,45520

115.818599,45517

115.818599,45526

115.818599,45516

115.818599,45530

115.818599,45486

115.818599,45498

115.818599,45493

115.818599,45527

115.818599,45493

115.818599,45519

115.818599,45514

115.818599,45498

115.818599,45500

115.818599,45524

115.818599,45523

115.818599,45497

115.818599,45514

115.818599,45517

115.818599,45522

115.818599,45496

115.818599,45496

115.818599,45521

115.818599,45495

115.818599,45525

115.818599,45492

115.818599,45492

115.818599,45520

115.818599,45497

115.818599,45522

115.818599,45516

115.818599,45496

115.818599,45491

115.818599,45491

115.818599,45518

115.818599,45529

115.818599,45528

115.818599,45492

115.818599,45519

115.818599,45516

115.818599,45496

115.818599,45533

115.818599,45523

115.818599,45523

115.818599,45491

115.818599,45494

115.818599,45532

115.818599,45488

115.818599,45503

115.818599,45501

115.818599,45500

115.818599,45518

115.818599,45501

115.818599,45524

115.818599,45524

115.818599,45520

115.818599,45488

115.818599,45518

115.818599,45490

115.818599,45516

115.818599,45517

115.818599,45522

115.818599,45493

115.818599,45531

115.818599,45526

115.818599,45526

115.818599,45524

115.818599,45518

115.818599,45535

115.818599,45521

115.818599,45489

115.818599,45496

115.818599,45499

115.818599,45533

115.818599,45490

115.818599,45493

115.818599,45513

115.818599,45518

115.818599,45523

115.818599,45525

115.818599,45490

115.818599,45516

115.818599,45519

115.818599,45520

115.818599,45491

115.818599,45524

115.818599,45521

115.818599,45521

115.818599,45493

115.818599,45498

