MATRIX:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

TIME: 19

rows,cols,time_us

5,5,10

7,7,6

9,9,5

11,11,3

13,13,35

15,15,3

17,17,2

19,19,6

21,21,2

23,23,3

25,25,4

27,27,23

29,29,2

31,31,4

33,33,3

35,35,3

37,37,5

39,39,5

41,41,7

43,43,4

45,45,5

47,47,4

49,49,18

51,51,20

53,53,5

55,55,20

57,57,5

59,59,5

61,61,13

63,63,7

65,65,12

67,67,19

69,69,20

71,71,4

73,73,4

75,75,6

77,77,18

79,79,20

81,81,5

83,83,4

85,85,5

87,87,4

89,89,13

91,91,17

93,93,4

95,95,5

97,97,18

99,99,3

101,101,4

103,103,18

105,105,4

107,107,4

109,109,4

111,111,20

113,113,3

115,115,4

117,117,5

119,119,17

121,121,3

123,123,5

125,125,18

127,127,23

129,129,8

131,131,6

133,133,5

135,135,20

137,137,5

139,139,20

141,141,5

143,143,6

145,145,22

147,147,21

149,149,9

151,151,10

153,153,20

155,155,22

157,157,19

159,159,12

161,161,6

163,163,13

165,165,4

167,167,19

169,169,4

171,171,6

173,173,9

175,175,8

177,177,20

179,179,23

181,181,22

183,183,7

185,185,14

187,187,5

189,189,22

191,191,23

193,193,7

195,195,20

197,197,7

199,199,5

201,201,18

203,203,7

205,205,21

207,207,6

209,209,22

211,211,5

213,213,22

215,215,22

217,217,7

219,219,14

221,221,6

223,223,30

225,225,23

227,227,6

229,229,14

231,231,22

233,233,13

235,235,5

237,237,21

239,239,22

241,241,6

243,243,7

245,245,21

247,247,6

249,249,7

251,251,13



*** PANIC ***



