MATRIX:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

TIME: 20

rows/cols,time_us

5,8

7,21

9,32

11,19

13,2

15,16

17,3

19,3

21,2

23,2

25,3

27,5

29,18

31,4

33,5

35,5

37,3

39,2

41,5

43,3

45,14

47,2

49,3

51,4

53,4

55,5

57,9

59,5

61,17

63,3

65,4

67,21

69,3

71,6

73,18

75,4

77,4

79,5

81,22

83,20

85,5

87,8

89,16

91,5

93,23

95,6

97,5

99,4

101,6

103,5

105,7

107,4

109,19

111,14

113,20

115,5

117,23

119,12

121,21

123,6

125,9

127,21

129,19

131,4

133,5

135,3

137,6

139,6

141,6

143,5

145,19

147,4

149,14

151,5

153,12

155,6

157,5

159,22

161,6

163,6

165,5

167,5

169,5

171,20

173,5

175,23

177,22

179,7

181,29

183,16

185,23

187,7

189,8

191,8

193,7

195,21

197,8

199,25

201,25

203,24

205,7

207,23

209,10

211,23

213,25

215,6

217,24

219,22

221,7

223,8

225,8

227,7

229,8

231,22

233,7

235,24

237,6

239,26

241,24

243,8

245,22

247,6

249,21

251,7

253,24

255,26

257,21

259,8

261,19

263,22

265,15

267,21

269,7

271,22

273,8

275,16

277,21

279,7

281,6

283,6

285,9

287,25

289,8

291,21

293,7

295,8

297,22

299,8

301,7

303,6

305,6

307,7

309,8

311,29

313,7

315,26

317,23

319,9

321,21

323,24

325,15

327,26

329,22

331,8

333,6

335,24

337,22

339,22

341,27

343,21

345,7

347,22

349,22

351,7

353,25

355,27



*** PANIC ***



