MATRIX:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

TIME: 1

rows/cols,time_us

5,0

7,1

9,1

11,0

13,0

15,0

17,1

19,1

21,0

23,0

25,0

27,1

29,0

31,1

33,1

35,0

37,0

39,0

41,0

43,1

45,1

47,1

49,0

51,1

53,0

55,0

57,1

59,0

61,1

63,0

65,0

67,0

69,1

71,0

73,0

75,1

77,1

79,1

81,0

83,1

85,0

87,1

89,0

91,0

93,0

95,1

97,1

99,0

EOF

