MATRIX:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

TIME: 2

rows/cols,time_us

5,2

7,1

9,0

11,0

13,0

15,0

17,0

19,1

21,1

23,0

25,0

27,0

29,0

31,0

33,1

35,0

37,0

39,0

41,0

43,0

45,1

47,0

49,0

51,1

53,1

55,1

57,1

59,0

61,1

63,1

65,1

67,1

69,0

71,0

73,1

75,0

77,1

79,1

81,0

83,1

85,1

87,0

89,1

91,1

93,0

95,1

97,0

99,0

EOF

