SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

COPY:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

TIME: 14

rows/cols,time_us

5,12

8,10

11,29

14,14

17,22

20,32

23,32

26,41

29,48

32,59

35,71

38,82

41,94

44,109

47,124

50,140

53,155

56,176

59,192

62,214

65,230

68,253

71,280

74,298

77,322

80,349

83,373

86,403

89,430

92,458

95,488

98,519

101,550

104,583

107,618

110,655

113,688

116,723

119,764

122,802

125,840

128,882

131,921

134,965

137,1007

140,1052

143,1099

146,1145

149,1192

152,1240

155,1289

158,1339

161,1389

164,1442

167,1495

170,1549

173,1603

176,1660



*** PANIC ***



