SOURCE:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

COPY:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

TIME: 12

rows/cols,time_us

5,10

8,5

11,10

14,15

17,19

20,21

23,25

26,35

29,38

32,45

35,56

38,61

41,71

44,81

47,99

50,104

53,117

56,130

59,144

62,159

65,173

68,189

71,205

74,223

77,244

80,259

83,284

86,305

89,325

92,345

95,371

98,391

101,416

104,439

107,464

110,492

113,518

116,547

119,577

122,605

125,633

128,665

131,696

134,725

137,760

140,792

143,826

146,860

149,896

152,933

155,973

158,1008

161,1046

164,1084

167,1124

170,1166

173,1205

176,1249

179,1289

182,1331

185,1377

188,1422

191,1467

194,1514

197,1560

200,1607

203,1657

206,1706

209,1756

212,1805

215,1857

218,1906

221,1960

224,2015

227,2068

230,2124

233,2179

236,2236

239,2291

242,2355

245,2412

248,2469

251,2528



*** PANIC ***



