SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

COPY:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

TIME: 7

rows/cols,time_us

5,10

7,18

9,7

11,8

13,11

15,13

17,17

19,21

21,25

23,29

25,35

27,40

29,46

31,52

33,59

35,67

37,74

39,83

41,91

43,100

45,109

47,120

49,129

51,140

53,151

55,162

57,174

59,186

61,200

63,213

65,228

67,241

69,255

71,270

73,286

75,301

77,318

79,334

81,351

83,369

85,386

87,405

89,424

91,443

93,463

95,482

97,503

99,524

EOF

