SOURCE:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

COPY:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

TIME: 5

rows/cols,time_us

5,13

7,12

9,5

11,6

13,8

15,11

17,13

19,16

21,19

23,23

25,26

27,31

29,35

31,45

33,38

35,42

37,47

39,52

41,57

43,63

45,69

47,75

49,82

51,88

53,95

55,102

57,110

59,117

61,125

63,134

65,142

67,154

69,161

71,169

73,182

75,189

77,199

79,209

81,220

83,231

85,242

87,253

89,265

91,278

93,291

95,302

97,315

99,328

EOF

