SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

DETERMINANT: -0.26284373900000000

TIME: 158

rows/cols,time_us

5,138

7,138

9,239

11,287

13,428

15,612

17,1419

19,1468

21,1771

23,2329

25,2864

27,3456

29,4163

31,4991

33,5963

35,6979

37,8170

39,9454

41,10897

43,12488

45,14210

47,16138

49,18164

51,20387

53,22790

55,25364

57,28209

59,31180

61,34335

63,37714

65,41352

67,45174

69,49226

71,53544

73,58155

75,62895

77,67960

79,73270

81,78904

83,84739

85,90923

87,97335

89,104161

91,111225

93,118611

95,126258

97,134344

99,142652

100,146919

104,164991

108,184515

112,205527

116,228074

120,252173

124,277980

128,283639

132,310762

136,339725

140,369404

144,401535

148,435624

152,471704

156,508679

160,548344

164,590164

168,634132

172,679227

