SOURCE:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

DETERMINANT: -0.26284363900000000

TIME: 122

rows/cols,time_us

5,135

7,59

9,72

11,93

13,120

15,190

17,550

19,457

21,499

23,608

25,677

27,790

29,979

31,1011

33,1240

35,1342

37,1462

39,1733

41,1915

43,2178

45,2395

47,2670

49,2904

51,3274

53,3515

55,3894

57,4235

59,4688

61,5035

63,5504

65,5944

67,6476

69,6907

71,7517

73,8008

75,8696

77,9213

79,9957

81,10552

83,11414

85,12012

87,12909

89,13618

91,14597

93,15347

95,16390

97,17194

99,18364

100,18555

104,20703

108,22941

112,25376

116,27986

120,30765

124,33719

128,33912

132,36916

136,40030

140,43351

144,46883

148,50591

152,54464

156,58504

160,62822

164,67292

168,71977

172,76870

176,81972

180,87335

184,92890

188,98691

192,104747

196,111024

200,117552

204,124323

208,131375

212,138674

216,146198

220,154043

224,162170

228,170578

232,179204

236,188232

240,197500

244,207133

248,217013



*** PANIC ***



Out of memory

