SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

DETERMINANT: -0.26284373900000000

TIME: 44

rows/cols,time_us

5,139

7,271

9,283

11,365

13,513

15,725

17,1672

19,1714

21,2108

23,2538

25,3119

27,3850

29,4510

31,5375

33,6757

35,7517

37,8807

39,9783

41,11260

43,12814

45,15574

47,16509

49,19578

51,21116

53,23277

55,26110

57,28576

59,31865

61,34856

63,38237

65,42198

67,45674

69,50130

71,54139

73,58545

75,63778

77,68516

79,75453

81,80285

83,85151

85,91787

87,97884

89,104916

91,112485

93,119294

95,127545

97,135119

99,143350

EOF

