SOURCE:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

DETERMINANT: -0.26284366800000000

TIME: 10

rows/cols,time_us

5,110

7,116

9,152

11,145

13,182

15,258

17,709

19,644

21,696

23,755

25,928

27,987

29,1236

31,1278

33,1568

35,1634

37,1872

39,2083

41,2114

43,2532

45,2671

47,3025

49,3159

51,3611

53,3789

55,4141

57,4720

59,4915

61,5562

63,5853

65,6167

67,7082

69,7163

71,7764

73,8717

75,8996

77,9750

79,10421

81,10811

83,12114

85,12309

87,13156

89,14450

91,14876

93,16037

95,16930

97,17480

99,19051

EOF

