SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

COMPUTABLE: 1

VALUES:

0.36813485400000000

-0.79254383000000000

-0.79254383000000000

-0.58001524300000000

VECTORS:

0.97698201200000000, -0.28037152900000000, -0.28037152900000000, 0.18713974900000000

0.10669776700000000, 0.33112581500000000, 0.33112581500000000, -0.77915405100000000

0.16275902500000000, -0.65602765600000000, -0.65602765600000000, -0.19219748000000000

0.087356933000000000, 0.19213442300000000, 0.19213442300000000, -0.56653138200000000

TIME: 2007

SOURCE:

0.81525790200000000, -0.33348051500000000, 0.71702220100000000, 0.21253582400000000, 0.30425015900000000

-0.79498110100000000, 0.38481890100000000, -0.80203100300000000, 0.85567530900000000, 0.85772712400000000

0.84395552600000000, 0.11389241000000000, 0.75413504700000000, 0.32857135000000000, 0.89828673700000000

0.015102428000000000, -0.27616959400000000, -0.10148217400000000, -0.20926928900000000, -0.38532851200000000

0.74457851600000000, -0.93601234300000000, -0.13561479100000000, -0.12306208100000000, 0.19296588300000000

COMPUTABLE: 1

VALUES:

2.0147544770000000

-0.015875343000000000

-0.015875343000000000

0.040420693000000000

-0.085516040000000000

VECTORS:

-0.56522170400000000, -0.023400259000000000, -0.023400259000000000, 0.56374874200000000, 0.65019118100000000

0.39286177000000000, -0.13967017200000000, -0.13967017200000000, 0.37341644500000000, 0.50977337500000000

-0.60989786700000000, 0.22841954200000000, 0.22841954200000000, -0.38394685000000000, -0.50552571100000000

0.042838677000000000, -0.15301045300000000, -0.15301045300000000, 0.45185543000000000, 0.084460104000000000

-0.39035047800000000, -0.53983860200000000, -0.53983860200000000, -0.43721733800000000, -0.23386487600000000

TIME: 2170

rows/cols,time_us,computable

5,2300,1

7,4209,1

9,7570,1

11,13152,1

13,19426,1

15,28870,1

17,40114,1

19,52761,1

21,65088,1

23,94314,1

25,106613,1

27,138552,1

29,182001,1

31,190775,1

33,251543,1

35,283816,1

37,354483,1

39,395747,1

41,468294,1

43,540655,1

45,600911,1

47,683142,1

49,713385,1

50,832994,1

53,994734,1

56,1188721,1

59,1295518,1

62,1502464,1

65,1826945,1

68,2038188,1

71,2280586,1

74,2563108,1

77,2900507,1

80,3264943,1

83,3400320,1

86,3995631,1

89,4383558,1

92,4875061,1

95,5319026,1

98,5914135,1



*** PANIC ***



