SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

INVERSE:

2.7186834200000000, 0.40788989000000000, -0.93862601100000000, 1.2250203770000000

0.62503556100000000, -1.1503016910000000, -1.1055945620000000, -0.20759669200000000

0.61563252600000000, 0.43246255800000000, -0.90291776300000000, -0.66999532200000000

0.41541873500000000, -0.39001653800000000, -0.26426903300000000, -0.96082304800000000

TIME: 359

rows/cols,time_us

5,380

7,467

9,654

11,1043

13,1631

15,2356

17,3783

19,4896

21,6422

23,8321

25,10565

27,13177

29,16196

31,19688

33,23608

35,28089

37,33010

39,38651

41,44751

43,51618

45,58936

47,67149

49,75967

50,80675

53,95864

56,112832

59,132133

62,153120

65,176205

68,201361

71,229543

74,259640

77,292193

80,327212

83,365941

86,406751

89,450504

92,497029

95,547894

98,538441

100,571179

105,660515

110,758893

