SOURCE:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

INVERSE:

2.7186837200000000, 0.40788990300000000, -0.93862599100000000, 1.2250208850000000

0.62503588200000000, -1.1503018140000000, -1.1055945160000000, -0.20759645100000000

0.61563265300000000, 0.43246245400000000, -0.90291786200000000, -0.66999536800000000

0.41541883300000000, -0.39001664500000000, -0.26426911400000000, -0.96082317800000000

TIME: 301

rows/cols,time_us

5,276

7,188

9,253

11,294

13,388

15,518

17,994

19,1116

21,1296

23,1611

25,1949

27,2378

29,2760

31,3313

33,3812

35,4483

37,5076

39,5942

41,6670

43,7697

45,8547

47,9761

49,10805

50,11491

53,13386

56,15441

59,18308

62,20878

65,23692

68,26675

71,30788

74,34466

77,38375

80,42473

83,48113

86,52999

89,58204

92,63597

95,70931

98,77238

100,80983

105,93925

110,107967

115,123360

120,137784

125,156088

130,172460

135,193098

140,212319

145,236339

