SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

TEMP:

0.88333915900000000, -0.37234696100000000, 1.2180439000000000, -0.59293153500000000

-0.37234696100000000, 0.83817827100000000, -0.65456346800000000, 0.054575062000000000

1.2180439000000000, -0.65456346800000000, 2.0435755100000000, -0.77007023200000000

-0.59293153500000000, 0.054575062000000000, -0.77007023200000000, 0.79712502200000000

LLT:

0.93986124400000000, -0.37234696100000000, 1.2180439000000000, -0.59293153500000000

-0.39617226800000000, 0.82536404400000000, -0.65456346800000000, 0.054575062000000000

1.2959826860000000, -0.17099250900000000, 0.57858962100000000, -0.77007023200000000

-0.63087135300000000, -0.23669394600000000, 0.012193837000000000, 0.58562244100000000

TIME: 128

rows/cols,time_us

5,33

7,66

9,129

11,183

13,271

15,385

17,528

19,698

21,902

23,1146

25,1424

27,1748

29,2114

31,2530

33,3628

35,4250

37,4924

39,5661

41,6518

43,7418

45,8404

47,9459

49,10649

50,11260

53,13244

56,15455

59,17888

62,20550

65,23525

68,26778

71,30171

74,33951

77,38071

80,42484

83,47144

86,52182

89,57636

92,63448

95,69507

98,76019

100,80694

105,92862

110,106159

115,120771

120,136779

125,153959



*** PANIC ***



