SOURCE:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

TEMP:

0.88333904700000000, -0.37234687800000000, 1.2180439230000000, -0.59293150900000000

-0.37234687800000000, 0.83817821700000000, -0.65456342700000000, 0.054575033000000000

1.2180439230000000, -0.65456342700000000, 2.0435755250000000, -0.77007025500000000

-0.59293150900000000, 0.054575033000000000, -0.77007025500000000, 0.79712498200000000

LLT:

0.93986117800000000, -0.37234687800000000, 1.2180439230000000, -0.59293150900000000

-0.39617219600000000, 0.82536405300000000, -0.65456342700000000, 0.054575033000000000

1.2959828380000000, -0.17099247900000000, 0.57858926100000000, -0.77007025500000000

-0.63087135600000000, -0.23669393400000000, 0.012194043000000000, 0.58562243000000000

TIME: 84

rows/cols,time_us

5,16

7,23

9,34

11,82

13,65

15,84

17,109

19,137

21,168

23,203

25,242

27,288

29,336

31,391

33,680

35,768

37,870

39,980

41,1116

43,1248

45,1392

47,1543

49,1718

50,1802

53,2073

56,2378

59,2722

62,3088

65,3492

68,3903

71,4380

74,4877

77,5419

80,5975

83,6595

86,7252

89,7969

92,8684

95,9454

98,10301

100,10879

105,12436

110,14088

115,15897

120,17901

125,20044

130,18791

135,20840

140,23042

145,25391

150,27879

155,30506

160,33348

165,36337

170,39471

175,42775

