SOURCE:

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

LU:

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

TIME: 81

SOURCE:

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

LU:

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

0.00000000000000, 0.00000000000000, 0.00000000000000, 0.00000000000000

TIME:

81

rows,cols,time_us

5,5,124

7,5,99

5,7,83

7,7,131

9,5,97

5,9,105

9,7,155

7,9,191

9,9,221

11,5,132

5,11,120

11,7,226

7,11,194

11,9,285

9,11,311

11,11,370

13,5,148

5,13,138

13,7,241

7,13,227

13,9,378

9,13,331

13,11,470

11,13,452

13,13,603

15,5,170

5,15,185

15,7,276

7,15,266

15,9,427

9,15,386

15,11,553

11,15,535

15,13,688

13,15,710

15,15,848

17,5,191

5,17,204

17,7,315

7,17,294

17,9,488

9,17,442

17,11,632

11,17,630

17,13,812

13,17,804

17,15,1000

15,17,995

17,17,1191

19,5,219

5,19,198

19,7,353

7,19,347

19,9,518

9,19,526

19,11,718

11,19,698

19,13,926

13,19,916

19,15,1149

15,19,1144

19,17,1385

17,19,1391

19,19,1620

21,5,235

5,21,219

21,7,408

7,21,369

21,9,607

9,21,563

21,11,808

11,21,776

21,13,1057

13,21,1026

21,15,1306

15,21,1292

21,17,1587

17,21,1570

21,19,1866

19,21,1860

21,21,2157

23,5,257

5,23,237

23,7,443

7,23,430

23,9,646

9,23,608

23,11,905

11,23,884

23,13,1155

13,23,1138

23,15,1457

15,23,1457

23,17,1772

17,23,1754

23,19,2103

19,23,2093

23,21,2439

21,23,2437

23,23,2776

25,5,277

5,25,259

25,7,475

7,25,464

25,9,703

9,25,657

25,11,988

11,25,963

25,13,1271

13,25,1236

25,15,1607

15,25,1575

25,17,1975

17,25,1948

25,19,2339

19,25,2321

25,21,2727

21,25,2739

25,23,3122

23,25,3118

25,25,3530

25,25,3530

28,25,4120

25,28,4110

28,28,4864

31,25,4729

25,31,4685

31,28,5608

28,31,5595

31,31,6517

34,25,5319

25,34,5271

34,28,6362

28,34,6326

34,31,7434

31,34,7415

34,34,8503

37,25,5927

25,37,5855

37,28,7096

28,37,7061

37,31,8327

31,37,8321

37,34,9608

34,37,9564

37,37,10854

40,25,6518

25,40,6442

40,28,7878

28,40,7780

40,31,9248

31,40,9185

40,34,10676

34,40,10628

40,37,12152

37,40,12112

40,40,13637

43,25,7129

25,43,7016

43,28,8594

28,43,8506

43,31,10175

31,43,10069

43,34,11766

34,43,11691

43,37,13427

37,43,13381

43,40,15115

40,43,15097

43,43,16802

46,25,7727

25,46,7600

46,28,9331

28,46,9234

46,31,11065

31,46,10959

46,34,12854

34,46,12766

46,37,14710

37,46,14636

46,40,16611

40,46,16550

46,43,18550

43,46,18508

46,46,20480

49,25,8308

25,49,8182

49,28,10081

28,49,9961

49,31,11947

31,49,11836

49,34,13922

34,49,13817

49,37,15988

37,49,15873

49,40,18101

40,49,18008

49,43,20242

43,49,20188

49,46,22443

46,49,22400

49,49,24630

50,50,26156

55,50,30004

50,55,29916

55,55,34575

60,50,33799

50,60,33702

60,55,39191

55,60,39161

60,60,44657

65,50,37646

50,65,37469

65,55,43828

55,65,43691

65,60,50149

60,65,50087

65,65,56515

70,50,41471

50,70,41259

70,55,48409

55,70,48270

70,60,55626

60,70,55473

70,65,62966

65,70,62869

70,70,70320

75,50,45304

50,75,45020

75,55,53047

55,75,52801

75,60,61102

60,75,60898

75,65,69358

65,75,69204

75,70,77737

70,75,77671

75,75,86242

80,50,49133

50,80,48811

80,55,57662

55,80,57382

80,60,66593

60,80,66312

80,65,75756

65,80,75555

80,70,85167

70,80,85016

80,75,94756

75,80,94633

80,80,104275

85,50,52975

50,85,52588

85,55,62284

55,85,61919

85,60,72048

60,85,71727

85,65,82197

65,85,81885

85,70,92590

70,85,92352

85,75,103217

75,85,103066

85,80,113977

80,85,113907

85,85,124836

90,50,56785

50,90,56359

90,55,66896

55,90,66487

90,60,77537

60,90,77145

90,65,88597

65,90,88206

90,70,100009

70,90,99704

90,75,111709

75,90,111484

90,80,123646

80,90,123447

90,85,135716
