SOURCE:

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

LU:

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

TIME: 56

SOURCE:

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

LU:

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

TIME:

56

rows,cols,time_us

5,5,77

7,5,51

5,7,41

7,7,56

9,5,78

5,9,50

9,7,65

7,9,69

9,9,83

11,5,53

5,11,51

11,7,75

7,11,81

11,9,101

9,11,100

11,11,128

13,5,62

5,13,56

13,7,88

7,13,86

13,9,118

9,13,152

13,11,151

11,13,151

13,13,186

15,5,93

5,15,71

15,7,96

7,15,102

15,9,136

9,15,138

15,11,177

11,15,171

15,13,212

13,15,233

15,15,255

17,5,72

5,17,70

17,7,132

7,17,104

17,9,151

9,17,142

17,11,208

11,17,193

17,13,245

13,17,241

17,15,295

15,17,295

17,17,371

19,5,79

5,19,77

19,7,125

7,19,112

19,9,167

9,19,164

19,11,220

11,19,247

19,13,271

13,19,274

19,15,364

15,19,332

19,17,404

17,19,402

19,19,464

21,5,84

5,21,82

21,7,135

7,21,148

21,9,188

9,21,175

21,11,247

11,21,239

21,13,304

13,21,306

21,15,379

15,21,373

21,17,450

17,21,448

21,19,521

19,21,519

21,21,599

23,5,92

5,23,86

23,7,138

7,23,131

23,9,221

9,23,193

23,11,260

11,23,278

23,13,328

13,23,338

23,15,413

15,23,405

23,17,494

17,23,493

23,19,578

19,23,602

23,21,670

21,23,674

23,23,750

25,5,120

5,25,89

25,7,153

7,25,149

25,9,244

9,25,207

25,11,293

11,25,305

25,13,362

13,25,360

25,15,450

15,25,453

25,17,540

17,25,562

25,19,640

19,25,631

25,21,759

21,25,735

25,23,843

23,25,835

25,25,940

25,25,942

28,25,1087

25,28,1084

28,28,1307

31,25,1237

25,31,1235

31,28,1488

28,31,1457

31,31,1700

34,25,1408

25,34,1387

34,28,1673

28,34,1644

34,31,1918

31,34,1920

34,34,2181

37,25,1539

25,37,1532

37,28,1834

28,37,1844

37,31,2153

31,37,2141

37,34,2448

34,37,2460

37,37,2758

40,25,1682

25,40,1669

40,28,2024

28,40,1997

40,31,2358

31,40,2359

40,34,2709

34,40,2699

40,37,3079

37,40,3082

40,40,3438

43,25,1829

25,43,1813

43,28,2191

28,43,2169

43,31,2573

31,43,2576

43,34,2971

34,43,2967

43,37,3371

37,43,3371

43,40,3790

40,43,3794

43,43,4211

46,25,1976

25,46,1962

46,28,2377

28,46,2367

46,31,2801

31,46,2789

46,34,3237

34,46,3239

46,37,3696

37,46,3679

46,40,4130

40,46,4148

46,43,4622

43,46,4603

46,46,5095

49,25,2114

25,49,2096

49,28,2559

28,49,2538

49,31,3008

31,49,3004

49,34,3480

34,49,3473

49,37,3991

37,49,3983

49,40,4496

40,49,4518

49,43,5025

43,49,5020

49,46,5547

46,49,5550

49,49,6069

50,50,6454

55,50,7366

50,55,7347

55,55,8456

60,50,8255

50,60,8224

60,55,9557

55,60,9538

60,60,10866

65,50,9168

50,65,9111

65,55,10677

55,65,10614

65,60,12151

60,65,12136

65,65,13699

70,50,10071

50,70,10031

70,55,11729

55,70,11689

70,60,13434

60,70,13438

70,65,15196

65,70,15174

70,70,16932

75,50,10959

50,75,10945

75,55,12811

55,75,12802

75,60,14724

60,75,14703

75,65,16682

65,75,16655

75,70,18673

70,75,18650

75,75,20708

80,50,11881

50,80,11840

