SOURCE:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

QR:

-0.43589749700000000, 0.40620440400000000, 0.66897722600000000, -0.84839303300000000

0.013282020000000000, 0.73154647800000000, -0.092930681000000000, -0.59779047500000000

0.22426912400000000, 0.36407679200000000, 0.94619441800000000, -0.69611706900000000

0.13429327800000000, -0.28135709800000000, -0.093781898000000000, -0.87114601900000000

Q:

-0.87176932000000000, 0.15169805100000000, 0.29332798800000000, -0.36189037700000000

-0.024860878000000000, -0.64854001900000000, 0.68069082800000000, 0.33976135500000000

-0.41978006600000000, -0.56690753500000000, -0.67037356300000000, 0.23021691600000000

-0.25136603800000000, 0.48476735900000000, 0.034899490000000000, 0.83701717300000000

R:

-0.43589749700000000, 0.40620440400000000, 0.66897722600000000, -0.84839303300000000

0.0000000000000000, 0.73154647800000000, -0.092930681000000000, -0.59779047500000000

0.0000000000000000, 0.0000000000000000, 0.94619441800000000, -0.69611706900000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, -0.87114601900000000

Q*R:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

ERROR: 5.5857018430000000e-16

TIME: 259

rows,cols,time_us

5,5,266

7,5,290

5,7,702

7,7,325

9,5,258

5,9,655

9,7,407

7,9,779

9,9,487

11,5,254

5,11,727

11,7,485

7,11,914

11,9,583

9,11,1105

11,11,693

13,5,345

5,13,847

13,7,513

7,13,1082

13,9,666

9,13,1391

13,11,859

11,13,1576

13,13,1025

15,5,349

5,15,887

15,7,538

7,15,1188

15,9,722

9,15,1607

15,11,996

11,15,1973

15,13,1209

13,15,2108

15,15,1407

17,5,354

5,17,1000

17,7,594

7,17,1364

17,9,818

9,17,1813

17,11,1053

11,17,2244

17,13,1371

13,17,2501

17,15,1625

15,17,2770

17,17,1852

19,5,383

5,19,1064

19,7,646

7,19,1527

19,9,944

9,19,2126

19,11,1211

11,19,2527

19,13,1498

13,19,2922

19,15,1819

15,19,3329

19,17,2128

17,19,3637

19,19,2440

21,5,402

5,21,1113

21,7,696

7,21,1620

21,9,955

9,21,2170

21,11,1306

11,21,2767

21,13,1652

13,21,3216

21,15,2011

15,21,3779

21,17,2377

17,21,4289

21,19,2781

19,21,4602

21,21,3132

23,5,443

5,23,1252

23,7,781

7,23,1778

23,9,1043

9,23,2403

23,11,1430

11,23,2996

23,13,1862

13,23,3564

23,15,2216

15,23,4189

23,17,2626

17,23,4820

23,19,3153

19,23,5346

23,21,3531

21,23,5804

23,23,3975

25,5,453

5,25,1281

25,7,899

7,25,1890

25,9,1174

9,25,2611

25,11,1514

11,25,3277

25,13,1944

13,25,3948

25,15,2400

15,25,4683

25,17,2871

17,25,5383

25,19,3374

19,25,6021

25,21,3912

21,25,6674

25,23,4449

23,25,7209

25,25,4946

25,25,4904

28,25,5680

25,28,9377

28,28,6725

31,25,6470

25,31,11114

31,28,7728

28,31,12434

31,31,8896

34,25,7243

25,34,12720

34,28,8689

28,34,14472

34,31,10087

31,34,16088

34,34,11511

37,25,8005

25,37,14333

37,28,9612

28,37,16411

37,31,11267

31,37,18522

37,34,12939

34,37,20489

37,37,14609

40,25,8782

25,40,15951

40,28,10566

28,40,18341

40,31,12409

31,40,20863

40,34,14328

34,40,23344

40,37,16281

37,40,25587

40,40,18225

43,25,9521

25,43,17544

43,28,11531

28,43,20285

43,31,13597

31,43,23167

43,34,15718

34,43,26144

43,37,17936

37,43,28920

43,40,20184

40,43,31525

43,43,22412

46,25,10306

25,46,19189

46,28,12499

28,46,22244

46,31,14776

31,46,25531

46,34,17132

34,46,28886

46,37,19590

37,46,32137

46,40,22109

40,46,35339

46,43,24664

43,46,38390

46,46,27204

49,25,11069

25,49,20773

49,28,13446

28,49,24187

49,31,15947

31,49,27901

49,34,18538

34,49,31687

49,37,21238

37,49,35312

49,40,24025

40,49,39062

49,43,26890

43,49,42771

49,46,29765

46,49,46170

49,49,50171

50,50,53359

55,50,60469

50,55,62781

55,55,70720

60,50,67503

50,60,71887

60,55,78730

55,60,81303

60,60,89942

65,50,74527

50,65,81087

65,55,86689

55,65,91686

65,60,98962

60,65,102270

65,65,111350

70,50,81589

50,70,90193

70,55,94736

55,70,101972

70,60,108085

60,70,113822

70,65,121644

65,70,125577

70,70,135211

75,50,88639

50,75,99311

75,55,102718

55,75,112280

75,60,117092

60,75,125415

75,65,131759

65,75,138590

75,70,146615

70,75,151979

75,75,161504

80,50,95683

50,80,108466

80,55,110653

55,80,122560

80,60,126084

60,80,137004

80,65,141916

65,80,151683

80,70,157939

70,80,166695

80,75,174151

75,80,181355

80,80,190496

85,50,102745

50,85,117690

85,55,118714

55,85,132964

85,60,135231

60,85,148681

85,65,152225

65,85,164788

85,70,169485

70,85,181376

85,75,187112

75,85,197833

85,80,204936

80,85,214152

85,85,222853

90,50,109776

50,90,126780

90,55,126719

55,90,143259

90,60,144224

60,90,160248

90,65,162342

65,90,177842

90,70,180856

70,90,195999

90,75,199729

75,90,214245

90,80,219007

80,90,232399

90,85,238462

85,90,251066

90,90,257921

95,50,116864

50,95,135868

95,55,134752

55,95,153508

95,60,153351

60,95,171825

95,65,172655

65,95,190905

95,70,192448

70,95,210707

95,75,212698

75,95,230634

95,80,233411

80,95,250704

95,85,254458

85,95,271503

95,90,275579

90,95,291622

95,95,296777

100,50,123889

50,100,144969

100,55,142740

55,100,163843

100,60,162390

60,100,183432

100,65,182774

65,100,203972

100,70,203771

70,100,225407

100,75,225376

75,100,247098

100,80,247487

80,100,269057

100,85,270012

85,100,291963

100,90,292738

90,100,314383

100,95,315670

95,100,337008

100,100,359969

100,100,359938

108,100,397867

100,108,403674

108,108,446300

116,100,434530

100,116,447218

116,108,487825

108,116,496092

116,116,541429

124,100,471633

100,124,490738

124,108,529708

108,124,545229

124,116,588623

116,124,598213

124,124,647839

132,100,508347

100,132,534271

132,108,571161

108,132,594351

132,116,635233

116,132,653341

132,124,700068

124,132,713402

132,132,765320

140,100,545006

100,140,577789

140,108,612644

108,140,643415

140,116,681869

116,140,708485

140,124,752326

124,140,775237

140,132,823454

132,140,841686

140,140,895046

148,100,581699

100,148,621296

148,108,654146

108,148,692549

148,116,728540

116,148,763613

148,124,804537

124,148,837089

148,132,881614

132,148,910810

148,140,959601

140,148,984609

148,148,1059078

156,100,618493

100,156,664820

156,108,695903

108,156,741687

156,116,775635

116,156,818693

156,124,857346

124,156,898929

156,132,940622

132,156,979950

156,140,1025078

140,156,1061774

