SOURCE:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

QR:

-0.43589747000000000, 0.40620455100000000, 0.66897726100000000, -0.84839320200000000

0.013282076000000000, 0.73154640200000000, -0.092930891000000000, -0.59779030100000000

0.22426921100000000, 0.36407673400000000, 0.94619435100000000, -0.69611710300000000

0.13429324300000000, -0.28135713900000000, -0.093781933000000000, -0.87114596400000000

Q:

-0.87176930900000000, 0.15169820200000000, 0.29332804700000000, -0.36189043500000000

-0.024860984000000000, -0.64854013900000000, 0.68069082500000000, 0.33976137600000000

-0.41978022500000000, -0.56690740600000000, -0.67037355900000000, 0.23021695000000000

-0.25136596000000000, 0.48476746700000000, 0.034899525000000000, 0.83701717900000000

R:

-0.43589747000000000, 0.40620455100000000, 0.66897726100000000, -0.84839320200000000

0.0000000000000000, 0.73154640200000000, -0.092930891000000000, -0.59779030100000000

0.0000000000000000, 0.0000000000000000, 0.94619435100000000, -0.69611710300000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, -0.87114596400000000

Q*R:

0.38000202200000000, -0.24314238100000000, -0.31974595800000000, 0.75998818900000000

0.010836840000000000, -0.48453584300000000, 0.68770378800000000, -0.36103937000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018625700000000, -0.82999038700000000

ERROR: 1.8005141540000000e-07

TIME: 186

rows,cols,time_us

5,5,206

7,5,133

5,7,487

7,7,191

9,5,129

5,9,379

9,7,200

7,9,399

9,9,237

11,5,145

5,11,324

11,7,247

7,11,426

11,9,276

9,11,559

11,11,315

13,5,142

5,13,324

13,7,268

7,13,424

13,9,324

9,13,530

13,11,346

11,13,643

13,13,366

15,5,155

5,15,349

15,7,293

7,15,432

15,9,333

9,15,573

15,11,365

11,15,678

15,13,408

13,15,764

15,15,443

17,5,189

5,17,339

17,7,243

7,17,448

17,9,309

9,17,574

17,11,388

11,17,761

17,13,465

13,17,782

17,15,502

15,17,966

17,17,539

19,5,167

5,19,367

19,7,264

7,19,463

19,9,330

9,19,663

19,11,386

11,19,790

19,13,456

13,19,871

19,15,517

15,19,939

19,17,629

17,19,1084

19,19,620

21,5,207

5,21,362

21,7,298

7,21,525

21,9,341

9,21,645

21,11,415

11,21,785

21,13,474

13,21,868

21,15,579

15,21,1044

21,17,646

17,21,1097

21,19,703

19,21,1271

21,21,754

23,5,163

5,23,382

23,7,253

7,23,491

23,9,348

9,23,670

23,11,437

11,23,790

23,13,530

13,23,979

23,15,590

15,23,1056

23,17,641

17,23,1227

23,19,739

19,23,1301

23,21,840

21,23,1448

23,23,880

25,5,204

5,25,379

25,7,264

7,25,528

25,9,382

9,25,673

25,11,441

11,25,837

25,13,512

13,25,978

25,15,596

15,25,1135

25,17,694

17,25,1299

25,19,784

19,25,1433

25,21,859

21,25,1552

25,23,947

23,25,1708

25,25,1020

25,25,953

28,25,1060

25,28,2084

28,28,1312

31,25,1172

25,31,2240

31,28,1456

28,31,2576

31,31,1623

34,25,1324

25,34,2450

34,28,1585

28,34,2836

34,31,1810

31,34,3201

34,34,1992

37,25,1424

25,37,2560

37,28,1699

28,37,2995

37,31,1957

31,37,3436

37,34,2184

34,37,3862

37,37,2404

40,25,1534

25,40,2856

40,28,1821

28,40,3174

40,31,2083

31,40,3659

40,34,2366

34,40,4169

40,37,2652

37,40,4656

40,40,2904

43,25,1619

25,43,3009

43,28,1938

28,43,3486

43,31,2244

31,43,3850

43,34,2533

34,43,4416

43,37,2838

37,43,4951

43,40,3156

40,43,5505

43,43,3441

46,25,1720

25,46,3166

46,28,2078

28,46,3675

46,31,2400

31,46,4226

46,34,2708

34,46,4667

46,37,3051

37,46,5248

46,40,3395

40,46,5857

46,43,3740

43,46,6488

46,46,4082

49,25,1813

25,49,3313

49,28,2178

28,49,3848

49,31,2533

31,49,4460

49,34,2873

34,49,5096

49,37,3252

37,49,5530

49,40,3632

40,49,6201

49,43,4013

43,49,6908

49,46,4390

46,49,7613

49,49,8287

50,50,8689

55,50,9483

50,55,9809

55,55,10734

60,50,10260

50,60,10531

60,55,11603

55,60,11702

60,60,12598

65,50,11035

50,65,11628

65,55,12491

55,65,12903

65,60,13566

60,65,14171

65,65,14987

70,50,11835

50,70,12689

70,55,13385

55,70,14073

70,60,14485

60,70,15471

70,65,16074

65,70,16902

70,70,17656

75,50,12582

50,75,13741

75,55,14230

55,75,15263

75,60,15465

60,75,16761

75,65,17157

65,75,18292

75,70,18823

70,75,19883

75,75,20514

80,50,13360

50,80,14420

80,55,15099

55,80,16038

80,60,16427

60,80,17672

80,65,18192

65,80,19382

80,70,20032

70,80,21090

80,75,21843

75,80,22810

80,80,23243

85,50,14144

50,85,15525

85,55,15997

55,85,17255

85,60,17384

60,85,19008

85,65,19326

65,85,20787

85,70,21265

70,85,22699

85,75,23252

75,85,24605

85,80,24779

80,85,26532

85,85,26819

90,50,14957

50,90,16588

90,55,16869

55,90,18449

90,60,18354

60,90,20337

90,65,20383

65,90,22263

90,70,22459

70,90,24280

90,75,24549

75,90,26420

90,80,26235

80,90,28509

90,85,28431

85,90,30722

90,90,30606

95,50,15735

50,95,17615

95,55,17750

55,95,19629

95,60,19342

60,95,21643

95,65,21502

65,95,23706

95,70,23717

70,95,25918

95,75,25962

75,95,28123

95,80,27753

80,95,30474

95,85,30134

85,95,32946

95,90,32504

90,95,35307

95,95,34812

100,50,16510

50,100,18349

100,55,18618

55,100,20442

100,60,20296

60,100,22505

100,65,22563

65,100,24776

100,70,24877

70,100,27114

100,75,27243

75,100,29520

100,80,29176

80,100,31870

100,85,31719

85,100,34721

100,90,34245

90,100,37306

100,95,36812

95,100,39986

100,100,42454

100,100,42434

108,100,46189

100,108,46889

108,108,51103

116,100,49859

100,116,51322

116,108,55327

108,116,56278

116,116,60690

124,100,53617

100,124,55736

124,108,59474

108,124,61110

124,116,65361

116,124,66606

124,124,71229

132,100,57333

100,132,60119

132,108,63630

108,132,66006

132,116,69991

116,132,72031

132,124,76388

124,132,78218

132,132,82898

140,100,61072

100,140,64477

140,108,67774

108,140,70912

140,116,74613

116,140,77516

140,124,81569

124,140,84274

140,132,88645

132,140,91181

140,140,95727

148,100,64773

100,148,68853

148,108,71946

108,148,75743

148,116,79242

116,148,82925

148,124,86761

124,148,90329

148,132,94329

132,148,97942

148,140,102116

140,148,105695

148,148,113458

156,100,68503

100,156,73216

156,108,76088

108,156,80662

156,116,83887

116,156,88359

156,124,91905

124,156,96396

156,132,100087

132,156,104724

156,140,108465

140,156,113256

156,148,120744

148,156,121783

156,156,129710

164,100,72231

100,164,77630

164,108,80233

108,164,85551

164,116,88528

116,164,93799

164,124,97061

124,164,102450

164,132,105841

132,164,111496

164,140,114842

140,164,120723

164,148,128007

148,164,130072

164,156,137618

156,164,138920

164,164,147239

172,100,75936

100,172,81996

172,108,84403

108,172,90419

172,116,93201

116,172,99242

172,124,102271

124,172,108544

172,132,111575

132,172,118194

172,140,121157

140,172,128258

172,148,135298

148,172,138315

172,156,145507

156,172,147854

172,164,155878

164,172,157488

172,172,166194

180,100,79662

100,180,86366

180,108,88522

108,180,95296

180,116,97797

116,180,104654

180,124,107410

124,180,114582

180,132,117340

132,180,124987

180,140,127528

140,180,135752

180,148,142573

148,180,146586

180,156,153479

156,180,156794

180,164,164431

164,180,167155

180,172,175492

172,180,177596

180,180,186613

188,100,83403

100,188,90802

188,108,92709

108,188,100177

188,116,102429

116,188,110103

188,124,112570

124,188,120679

188,132,123073

132,188,131754

188,140,133914

140,188,143292

188,148,149782

148,188,154844

188,156,161339

156,188,165791

188,164,172982

164,188,176851

188,172,184780

172,188,188116

188,180,196700

180,188,199553

188,188,208617

196,100,87120

100,196,95157

196,108,96890

108,196,105064

196,116,107078

116,196,115528

196,124,117736

124,196,126752

196,132,128837

132,196,138501

196,140,140261

140,196,150806

196,148,157097

148,196,163117

196,156,169255

156,196,174727

196,164,181576

164,196,186516

196,172,194077

172,196,198674

196,180,206758

180,196,210922

196,188,219496

188,196,223384

196,196,235810

