RESULT:

0.23606797300000000, 0.38407737100000000, 0.50777810200000000, 0.61382896000000000

0.27856690900000000, 0.62180748700000000, 0.58179754600000000, 0.88511603700000000

0.81953376000000000, 0.34372593000000000, 0.79672549300000000, 0.0067492400000000000

0.66786689800000000, 0.64003560900000000, 0.73756559900000000, 0.51475073800000000

TIME: 29

rows/cols,time_us

5,32

7,31

9,32

11,32

13,41

15,43

17,71

19,82

21,77

23,76

25,85

27,104

29,120

31,168

33,146

35,223

37,253

39,288

41,408

43,506

45,551

47,622

49,668

50,813

53,981

56,1193

59,1396

62,1602

65,1649

68,1851

71,2003

74,2175

77,2398

80,2585

83,2699

86,2881

89,3143

92,3275

95,3468

98,3762

100,3838

105,4235

110,4631

115,5045

120,5495

125,5953

130,6436

135,6936

140,7434

145,7967

150,8529

155,9093

160,9680

165,10281

170,10918

175,11562

180,12233

185,12886

190,13594

195,14319

200,15196

205,15804

210,16591

215,17363

220,18217

225,19005

230,19879

235,20726

240,21622

245,22551

250,23585



*** PANIC ***



