RESULT:

0.23606796600000000, 0.38407737000000000, 0.50777810800000000, 0.61382895700000000

0.27856689700000000, 0.62180751600000000, 0.58179754000000000, 0.88511604100000000

0.81953376500000000, 0.34372592000000000, 0.79672551200000000, 0.0067492400000000000

0.66786688600000000, 0.64003562900000000, 0.73756557700000000, 0.51475071900000000

TIME: 26

rows/cols,time_us

5,40

7,32

9,52

11,25

13,36

15,39

17,29

19,28

21,36

23,59

25,67

27,54

29,77

31,93

33,101

35,75

37,111

39,109

41,126

43,139

45,146

47,142

49,187

50,220

53,304

56,370

59,423

62,529

65,594

68,689

71,792

74,945

77,1162

80,1279

83,1354

86,1537

89,1629

92,1735

95,1871

98,1943

100,2010

105,2222

110,2415

115,2622

120,2848

125,3085

130,3316

135,3559

140,3821

145,4104

150,4369

155,4662

160,4956

165,5266

170,5587

175,5911

180,6264

185,6638

190,6940

195,7317

200,7696

205,8088

210,8496

215,8877

220,9405

225,9730

230,10157

235,10675

240,11036

245,11508

250,11977

255,12441

260,12950

265,13415

270,13946

275,14564

280,14965

285,15653

290,16096

295,16681

300,17180

305,17767

310,18420

315,19045

320,19569

325,20150

330,20775

335,21368

340,22040

345,22692

350,23309

355,24008



*** PANIC ***



