RESULT:

0.23606797300000000, 0.38407737100000000, 0.50777810200000000, 0.61382896000000000

0.27856690900000000, 0.62180748700000000, 0.58179754600000000, 0.88511603700000000

0.81953376000000000, 0.34372593000000000, 0.79672549300000000, 0.0067492400000000000

0.66786689800000000, 0.64003560900000000, 0.73756559900000000, 0.51475073800000000

TIME: 1

rows/cols,time_us

5,1

7,1

9,50

11,53

13,67

15,60

17,43

19,67

21,64

23,69

25,139

27,135

29,122

31,139

33,187

35,178

37,251

39,320

41,389

43,406

45,545

47,564

49,659

51,823

53,1017

55,1145

57,1288

59,1407

61,1522

63,1609

65,1693

67,1798

69,1886

71,2024

73,2100

75,2208

77,2320

79,2435

81,2549

83,2664

85,2798

87,2929

89,3064

91,3192

93,3315

95,3448

97,3631

99,3739

EOF

