RESULT:

0.23606796600000000, 0.38407737000000000, 0.50777810800000000, 0.61382895700000000

0.27856689700000000, 0.62180751600000000, 0.58179754000000000, 0.88511604100000000

0.81953376500000000, 0.34372592000000000, 0.79672551200000000, 0.0067492400000000000

0.66786688600000000, 0.64003562900000000, 0.73756557700000000, 0.51475071900000000

TIME: 1

rows/cols,time_us

5,0

7,1

9,54

11,22

13,36

15,48

17,27

19,27

21,27

23,42

25,65

27,67

29,61

31,94

33,84

35,73

37,91

39,104

41,97

43,124

45,153

47,133

49,195

51,259

53,260

55,298

57,316

59,406

61,432

63,510

65,601

67,608

69,684

71,782

73,876

75,1030

77,1134

79,1308

81,1257

83,1403

85,1482

87,1545

89,1684

91,1684

93,1758

95,1841

97,1877

99,1966

EOF

