X,Y,time_us
65,60,342983
11,6,1289
56,13,14753
79,55,368377
71,55,327511
11,11,2345
35,26,29278
11,6,1158
18,14,5172
9,6,951
48,35,70540
15,11,3019
67,30,80772
62,45,148435
19,17,7212
35,5,1963
62,17,26561
43,32,52983
69,11,13449
43,15,14464
40,31,45852
51,23,36989
15,9,2276
77,73,576890
9,7,1321
69,8,7625
74,11,14393
51,14,15289
84,26,80178
23,5,1453
41,11,7966
58,48,184830
88,31,116547
43,14,12869
40,28,38839
81,70,570524
22,8,2821
89,24,73532
51,43,106546
50,13,13134
62,37,106631
42,30,46300
20,6,1706
79,32,109466
23,11,4561
15,12,3388
9,6,972
17,9,2520
45,7,4094
74,37,131508
21,11,4170
40,9,5607
73,60,390890
73,39,142091
22,19,10247
35,34,44351
46,34,63882
44,6,3115
37,31,41538
25,14,7291
23,18,9853
51,11,9980
42,39,70212
40,35,55538
72,67,464600
41,11,8156
72,26,67612
6,6,651
75,13,19821
80,68,536366
28,5,1864
40,20,22058
86,31,113677
72,8,7990
15,11,2989
80,74,615643
46,37,73376
18,7,1897
69,43,157232
81,81,722771
73,19,38827
75,25,65918
62,26,57367
78,47,213074
86,80,760965
24,17,9577
65,31,82675
43,32,53019
19,12,4295
89,54,406299
88,39,176772
57,54,247738
78,27,79363
19,17,7224
72,55,332011
85,18,41251
66,44,154556
83,25,73586
31,29,29735
47,45,102345
67,29,76009
84,26,80156
60,12,13696
73,36,123244
84,25,74548
50,19,25804
14,11,2890
80,24,65495
31,17,12699
73,70,506600
24,5,1595
24,20,12137
28,9,3982
65,53,278724
82,60,445051
50,44,107606
82,55,383435
15,6,1476
66,7,5761
56,43,120456
36,5,2018
19,5,1251
51,51,197300
41,23,28931
84,50,334615
34,30,35415
78,16,30253
86,75,684779
47,29,50504
41,34,54930
20,7,2028
41,12,9389
33,10,5517
22,13,5671
75,46,195473
78,47,213052
11,6,1109
63,22,43236
79,71,568285
27,12,6250
36,12,8209
81,34,125496
90,13,23843
86,16,33430
54,27,52399
15,14,4199
85,32,118810
30,21,17215
13,7,1465
37,11,7252
77,29,88917
10,6,1028
69,57,336907
32,17,13170
42,10,7080
23,18,9843
30,9,4269
49,30,55959
80,25,70645
23,7,2296
28,25,20734
73,61,401984
82,16,31950
65,55,296385
36,30,38202
29,16,10643
6,5,653
33,22,20682
63,49,235307
50,31,60783
19,18,7823
45,39,77284
13,11,2672
42,30,46289
30,7,2921
88,28,96530
66,33,93959
54,46,128206
65,56,305441
45,41,83650
44,9,6125
28,15,9177
64,56,299968
83,80,729139
18,8,2412
82,38,155507
64,8,7102
38,35,51995
90,20,53040
32,12,7268
44,5,2332
73,46,188918
58,56,268411
6,5,732
44,22,29009
66,46,166551
79,79,673671
30,16,11135
55,24,43511
90,42,207169
29,15,9602
56,19,29146
85,45,219037
37,26,31363
85,77,706104
34,20,18457
72,47,192606
89,6,5887
75,20,43784
32,23,21463
41,5,2181
79,36,135308
9,6,980
20,18,8360
31,14,9125
37,29,37384
87,87,885677
51,37,83722
81,18,39110
5,5,523
8,5,640
67,62,375143
89,9,12117
77,64,462218
10,6,1170
42,14,12556
61,17,26128
24,16,8634
26,12,5892
5,5,504
17,13,4252
45,45,96034
41,7,3788
54,10,8903
26,24,17641
20,9,2949
34,34,42500
12,10,2138
5,5,511
5,5,487
63,27,62485
59,31,73880
56,39,102577
17,13,4331
62,42,132291
74,69,502666
8,7,1217
20,14,5744
10,6,1116
54,31,66648
15,5,1095
84,65,524201
84,67,552864
29,20,15383
64,62,355359
80,52,339135
70,49,264360
76,73,567990
35,27,31171
61,61,326831
32,30,32620
65,21,41099
63,63,357413
64,59,327324
45,40,80503
48,7,4358
64,55,291035
32,7,3158
30,26,24174
48,40,87461
18,7,1892
12,7,1386
5,5,508
74,29,85032
83,5,4053
19,8,2434
77,77,627691
64,42,137474
33,28,30507
78,12,17823
65,25,56267
80,76,643062
90,51,372813
18,14,5255
26,26,19855
14,14,3892
67,62,375213
28,13,7402
43,19,21896
55,30,64449
27,24,18563
90,41,198371
49,28,49721
88,54,401135
57,16,21875
77,39,151428
17,13,4322
14,10,2489
8,5,662
47,47,109157
86,69,596351
46,13,12231
33,17,13578
6,6,663
73,59,380004
78,78,651171
68,52,283724
67,24,54185
88,37,160654
12,10,2177
76,15,26136
76,57,374866
31,14,9277
35,28,32932
56,33,77283
31,9,4423
10,5,857
33,17,13506
22,5,1395
39,17,16227
39,12,8941
41,6,2903
15,5,1084
26,20,13331
71,34,108031
28,19,13484
44,9,6091
15,10,2635
78,10,12777
10,5,869
67,6,4474
21,16,7408
7,5,630
26,26,19795
23,23,14201
52,16,19798
24,23,14939
77,40,158267
68,60,361197
13,10,2451
10,8,1475
62,19,32546
66,51,265585
44,22,29096
45,28,45023
87,20,51258
60,36,97695
33,19,16259
16,8,2049
76,43,176819
85,62,490420
7,5,836
60,50,231114
53,40,99941
50,31,60675
54,8,6035
48,36,73881
30,23,19907
44,13,11575
49,13,12869
90,46,243587
84,62,483827
46,21,28245
52,23,37890
30,12,6830
78,40,160730
83,80,729120
37,29,37542
76,31,98927
86,58,442738
57,29,63276
5,5,546
32,10,5339
43,19,21865
55,21,34266
86,26,82293
59,32,78052
72,11,14010
18,6,1592
11,8,1482
33,16,12242
45,29,47712
67,54,297450
13,9,2192
40,8,4606
44,22,28988
37,31,41593
27,10,4564
46,26,40691
32,16,11791
68,29,77341
53,43,112289
5,5,550
64,59,327239
79,39,156240
51,11,10027
18,17,6715
88,7,7572
76,7,6628
78,23,59054
28,27,23252
23,23,14191
25,18,10824
15,6,1348
60,38,107110
10,7,1286
15,13,3775
32,8,3715
79,38,149050
50,22,33425
51,45,114450
32,23,21457
73,71,518117
18,12,4206
65,56,305441
23,23,14352
46,40,82908
84,19,44921
19,15,5997
32,30,32486
22,10,3765
30,13,7806
31,10,5229
23,6,1826
77,13,20327
63,36,103752
83,75,657207
45,22,29884
26,17,10370
81,9,10959
64,22,43878
45,5,2398
30,19,14589
30,9,4251
66,27,65688
62,33,87417
8,7,1079
37,37,54381
43,7,3908
39,16,14586
26,20,13349
84,34,130867
28,9,4015
17,15,5274
46,30,51919
71,36,119530
51,44,110475
71,37,125427
80,62,457403
36,20,19730
47,29,50386
37,13,9680
39,28,37810
32,10,5353
61,40,119306
78,35,126786
41,27,37725
68,16,26204
85,49,326573
10,10,1972
89,6,5900
5,5,485
52,36,81897
49,36,75909
86,9,11632
17,6,1448
28,18,12309
37,19,18539
31,20,16522
7,5,627
72,51,292342
45,16,17144
73,54,327126
67,23,50242
62,21,39062
64,48,206115
51,18,24043
7,5,653
8,8,1197
73,10,11977
34,20,18319
59,14,17766
52,49,188858
43,37,67020
65,32,87417
42,27,38867
27,13,6991
68,39,130513
15,10,2628
35,30,36693
18,11,3564
27,9,3832
40,19,20181
34,27,29910
43,12,9786
44,33,57410
18,6,1512
79,72,581507
57,57,269673
73,8,8163
6,6,720
77,6,5123
10,9,1650
38,16,14233
39,10,6516
21,11,4149
29,29,27090
35,32,40481
38,19,19120
51,50,192066
67,7,5992
59,22,40204
79,48,260891
68,60,361259
15,15,4760
47,42,92146
39,38,61098
41,17,17125
89,25,79291
31,26,25172
67,26,62495
51,36,79928
61,36,99693
22,16,7816
25,22,14739
71,24,57681
57,12,12983
54,46,128244
47,5,2550
10,6,1008
83,34,129042
24,20,12164
18,7,1885
83,55,388414
9,6,1109
8,8,1169
43,36,64085
88,56,426662
78,63,457837
55,45,127095
56,13,14777
60,46,147377
51,23,36984
30,21,17226
25,21,13732
28,6,2127
23,10,3918
29,9,4099
51,37,83543
54,25,45744
44,10,7303
77,25,67812
32,12,7296
76,12,17365
12,8,1634
47,29,50328
59,53,249842
37,10,6332
36,28,34117
47,10,7821
81,38,153163
35,13,9136
25,9,3593
79,15,27173
56,15,19031
57,24,45134
60,27,59082
43,31,50354
28,14,8182
35,14,10421
25,13,6490
75,42,166977
33,9,4666
17,12,3810
25,13,6434
59,59,297180
88,82,817917
87,34,136402
84,13,22251
86,37,156705
59,5,3002
74,65,454517
65,63,371261
6,6,780
54,29,59402
8,7,1060
12,8,1732
58,52,237241
6,5,665
64,26,59355
23,18,9932
38,22,24542
89,11,17302
79,53,346028
16,13,4187
65,12,14855
51,30,58812
85,18,41138
8,6,908
86,63,510050
86,54,391674
47,32,59537
20,17,7696
28,26,21985
12,12,2751
90,48,299795
32,10,5548
27,27,22073
35,15,11672
75,9,10168
61,35,94975
75,12,17136
27,10,4581
27,22,16229
58,49,213821
12,5,1153
41,17,17100
20,11,3984
38,27,34455
22,5,1387
45,39,77272
56,22,37891
85,61,476591
16,13,4189
16,15,4993
70,49,264296
11,9,1889
40,6,2928
27,21,15134
38,11,7528
90,45,234205
74,53,321640
11,6,1316
55,21,34309
54,46,128241
46,13,12159
71,59,368822
85,15,29465
19,13,4887
67,18,32008
78,36,133345
44,22,28949
63,63,357370
67,42,145688
38,11,7503
23,7,2264
47,29,50319
14,12,3226
19,6,1589
41,16,15398
62,59,316087
76,71,542992
84,79,725764
27,11,5456
17,8,2167
40,20,22033
28,16,10188
5,5,533
36,13,9353
31,7,2931
63,47,162875
13,8,1758
56,10,9231
53,10,8750
65,37,112659
47,6,3320
33,22,20699
59,13,15512
78,55,363421
33,16,12304
25,17,9960
18,15,5624
20,10,3432
31,24,22150
57,27,55666
8,7,1040
88,85,865874
12,8,1774
73,13,19302
9,5,717
38,30,40889
20,6,1654
