X,Y,time_us
44,10,1523
66,45,19384
19,18,1561
85,20,6514
32,25,3616
51,10,1505
37,8,1014
76,34,14270
87,17,5091
84,79,79060
25,20,2259
68,28,9200
89,74,75247
38,29,5415
24,21,2234
87,39,21043
76,7,1299
75,58,43443
15,10,880
12,6,459
63,55,34445
35,23,3625
54,22,4982
61,39,14152
58,50,27537
12,6,553
25,22,2427
43,34,7680
75,33,13371
67,61,42044
67,53,34023
63,52,31060
19,5,582
85,20,6486
65,60,39437
62,26,7537
6,6,326
29,8,857
66,31,10597
5,5,302
59,53,30250
23,18,1873
21,9,788
20,7,672
55,20,4287
63,40,15127
56,21,4773
57,47,17365
30,8,846
41,21,3566
55,18,3730
10,8,533
27,19,2171
53,15,2738
15,14,1028
71,44,20279
17,8,635
39,18,2734
45,22,4185
30,19,2376
75,67,54876
36,22,3496
63,22,5801
80,28,10804
13,10,692
16,9,699
61,6,903
69,11,2236
12,5,391
44,43,11014
13,5,473
84,80,79102
24,7,758
29,16,1855
45,14,2181
18,13,1081
58,7,1059
23,13,1195
49,26,5884
58,52,28776
62,30,9480
34,24,3606
20,18,1608
5,5,372
46,22,4255
40,10,1282
28,22,2668
17,7,560
78,29,11217
38,18,2704
21,11,980
46,25,5200
60,43,16126
39,6,706
70,45,20782
67,31,10792
40,8,969
7,5,298
81,16,4223
79,9,1779
9,7,478
82,47,26803
61,6,937
38,23,3819
44,7,908
18,17,1368
80,52,38490
37,14,1938
71,47,22779
43,21,3749
29,12,1286
8,6,411
68,53,34558
43,30,6480
26,21,2399
18,10,875
61,17,3675
65,34,12068
18,9,763
42,9,1170
10,10,627
70,39,16500
9,8,524
14,11,789
35,14,1762
76,21,6378
8,7,461
67,46,20408
16,16,1181
85,54,43816
17,6,568
14,11,806
31,14,1642
57,16,3143
45,32,7320
48,24,5026
9,8,512
27,24,2862
21,14,1245
88,53,43641
27,17,1950
79,26,9514
36,22,3411
42,20,3395
12,10,658
72,69,54669
75,19,5447
12,7,531
59,27,7537
74,70,57679
82,24,8570
48,48,17482
78,74,66168
89,20,6854
10,9,602
20,13,1113
14,8,580
11,8,565
12,8,548
36,36,6731
58,34,10662
46,45,12463
69,8,1388
89,82,89057
58,14,2740
6,5,304
7,5,327
50,14,2314
72,12,2489
72,29,10370
42,12,1668
48,37,9841
86,24,8926
78,75,67834
54,9,1452
51,8,1160
77,62,49510
40,32,6512
74,59,44333
22,9,895
57,44,15602
41,8,989
71,12,2420
54,18,3636
30,28,3933
61,38,13534
87,39,21007
12,7,527
35,18,2489
14,12,872
79,6,1064
19,11,900
50,22,4589
39,38,8045
51,9,1319
19,11,964
5,5,376
79,14,3406
15,8,621
38,35,6955
60,39,13866
75,57,42101
88,29,12777
87,81,84849
64,58,37597
35,16,2206
29,9,973
20,7,606
16,5,440
65,10,1856
64,21,5401
44,34,7857
54,26,6489
35,5,615
56,25,6259
66,31,10617
17,16,1245
54,11,1792
6,5,295
88,27,11228
64,54,33722
39,11,1515
82,80,77088
23,12,1188
46,40,10492
14,14,999
56,24,5828
34,19,2640
85,27,10918
60,45,17294
26,21,2371
20,17,1521
6,5,296
58,12,2101
37,28,4888
36,28,4750
89,43,25288
62,43,16795
13,9,625
66,11,2058
42,32,6762
35,22,3333
70,16,3760
67,67,49003
35,25,4026
89,31,14518
89,67,64560
50,26,6062
45,27,5747
74,19,5303
77,12,2628
41,24,4327
71,61,44443
57,28,7701
20,15,1335
46,40,10476
62,27,7940
77,64,50940
13,13,991
88,47,29050
87,8,1607
6,5,321
70,31,11284
64,12,2250
21,16,1420
84,6,1090
12,7,494
69,61,43225
87,46,27713
51,36,10084
50,12,1862
28,8,837
85,21,7094
52,14,2443
52,46,15003
16,11,870
19,7,588
48,15,2531
30,7,708
78,20,5979
32,14,1669
90,88,99768
15,11,952
9,8,605
70,51,33947
52,39,11847
9,8,542
15,14,1029
77,9,1731
53,20,4183
13,10,723
52,12,1938
40,21,3483
5,5,322
66,55,35923
8,5,366
24,15,1519
54,9,1346
40,16,2327
52,15,2692
81,39,19390
75,31,12132
36,19,2772
25,18,1912
38,33,6398
42,36,8070
58,28,7776
7,6,349
47,38,10008
29,17,2077
15,6,485
11,10,697
73,44,20866
35,8,902
58,34,10646
37,17,2427
7,6,349
5,5,298
45,12,1688
27,23,2784
25,5,528
10,6,459
73,46,22561
12,6,478
72,32,12088
10,9,577
20,6,536
38,13,1778
28,5,517
53,35,10129
56,52,27838
8,5,370
44,28,5865
19,19,1656
85,66,60231
67,10,1912
80,16,4244
89,6,1172
8,7,456
49,44,12931
75,27,9614
65,31,10448
55,49,25203
33,23,3432
88,36,18386
8,5,322
46,8,1129
89,6,1172
12,8,560
30,15,1723
88,59,52034
9,8,608
88,83,90146
6,5,373
30,19,2406
34,31,5215
58,43,15492
90,45,27611
50,48,18454
53,18,3662
75,13,2941
45,34,8066
16,15,1147
35,12,1434
73,23,7117
66,62,42677
33,28,4428
77,19,5521
7,7,449
58,48,21269
28,28,3709
51,28,6825
48,34,8644
55,14,2547
76,68,56020
13,5,492
15,7,567
28,28,3652
36,19,2769
10,10,607
21,7,675
82,76,71621
53,47,15998
31,19,2467
66,64,43814
65,40,15719
70,36,14367
24,11,1058
43,17,2745
45,13,1940
38,19,2914
36,15,2010
37,11,1381
50,7,970
76,53,38142
61,48,22405
32,25,3665
74,50,34338
21,16,1508
5,5,375
49,35,9251
36,10,1205
30,7,766
41,13,1783
60,28,8058
27,16,1730
10,10,623
74,53,37159
51,7,1081
26,22,2542
77,30,11778
58,38,12762
17,13,1039
83,63,54431
40,13,1857
36,26,4341
10,8,516
7,5,405
22,6,596
50,17,3095
10,6,467
40,39,8532
38,27,4827
19,15,1274
26,7,738
50,8,1104
16,8,605
8,7,448
58,50,27468
30,16,1964
6,5,307
28,16,1769
83,73,68475
67,51,32457
73,62,46857
73,42,19471
28,28,3648
7,6,344
70,58,40791
9,7,561
65,5,778
79,44,22984
49,14,2311
15,11,835
66,16,3565
44,33,7530
84,56,45170
17,13,1133
75,19,5330
65,15,3260
15,9,689
66,38,14729
81,48,29361
22,10,1011
42,27,5319
59,13,2483
75,7,1282
79,52,38104
69,18,4605
45,9,1255
12,8,586
74,71,59193
5,5,350
84,14,3599
32,32,4997
6,6,322
56,21,4723
79,46,24876
47,42,11604
12,12,756
84,12,2830
11,11,705
20,8,691
25,10,958
10,9,582
29,9,933
84,8,1536
5,5,290
41,37,8114
83,33,14911
30,6,608
37,21,3242
69,20,5320
78,17,4622
71,23,7004
73,71,58334
31,10,1198
30,18,2189
51,20,4065
13,11,746
17,10,794
58,18,3848
22,15,1432
13,7,506
58,42,14859
90,13,3406
32,25,3586
44,8,1026
76,76,66090
59,56,32579
35,6,785
11,7,540
33,33,5369
38,18,2706
29,7,729
81,31,13127
39,21,3461
49,17,3066
60,13,2430
69,68,51047
65,10,1862
54,19,3997
14,11,783
60,11,1915
58,46,17126
9,7,494
57,27,7239
66,35,12928
81,32,13705
15,13,961
21,9,779
25,16,1605
18,10,839
9,7,493
9,7,499
66,12,2297
54,49,24749
60,56,33071
75,49,33278
5,5,335
14,11,872
85,16,4460
67,23,6615
62,35,12096
66,31,10624
46,44,12020
69,27,8838
31,26,3717
57,19,4153
66,49,29549
89,37,19613
89,70,68862
48,31,7613
78,37,17000
38,34,6682
86,54,44292
75,45,22538
57,17,3515
30,24,3212
64,36,12980
48,47,13958
87,30,13363
39,5,634
76,55,40780
82,33,14794
60,7,1117
79,22,7158
30,5,570
27,9,898
90,40,22501
43,9,1196
88,27,11246
72,44,20577
5,5,287
64,15,3193
34,22,3226
27,15,1652
57,26,6819
32,16,1969
59,37,12476
61,50,28866
24,12,1207
58,58,33992
74,56,40089
8,6,473
56,26,6678
30,22,2908
29,20,2454
35,9,1053
46,27,5832
60,28,8060
56,34,10240
5,5,338
26,22,2535
64,24,6673
73,32,12275
57,53,29363
52,16,2972
31,28,4106
59,39,13592
63,55,34486
40,27,5116
48,12,1841
42,32,6774
8,7,452
29,10,1057
34,8,873
64,37,13608
37,37,7250
5,5,311
14,13,950
33,20,2739
35,30,5117
52,52,25830
32,30,4705
64,27,8190
65,23,6414
56,22,5166
79,73,65384
82,34,15590
7,7,470
80,11,2397
64,10,1766
21,12,1080
30,8,823
47,12,1766
13,12,780
81,79,75886
81,44,23638
47,47,13659
26,11,1102
83,14,3563
37,23,3751
48,8,1157
73,15,3554
10,9,556
57,9,1409
35,25,3918
88,11,2622
43,28,5725
53,5,756
37,15,2091
41,29,5753
34,12,1442
63,24,6646
80,77,71649
38,35,7042
57,26,6851
84,9,1865
72,67,52799
58,6,1001
28,25,3153
56,24,5857
33,24,3480
48,29,6777
49,23,4879
26,12,1205
88,23,8586
16,10,764
15,12,876
21,20,1835
68,38,15266
37,9,1073
85,24,8824
26,19,2105
27,25,3062
38,23,3832
5,5,307
78,78,71455
35,7,895
57,37,11953
14,9,685
57,52,28306
33,15,1977
37,21,3274
50,22,4641
35,16,2122
43,17,2731
79,52,38126
65,15,3322
46,33,7943
55,28,7393
84,80,79088
75,32,12736
21,5,481
60,44,16623
35,13,1626
27,10,1034
27,23,2766
65,13,2596
66,23,6509
50,30,7496
70,29,10078
10,6,437
76,22,6880
30,29,4165
55,9,1387
21,7,631
40,32,6362
85,42,23133
5,5,314
57,7,1062
31,27,3875
25,17,1761
59,6,917
12,12,772
70,28,9407
10,10,612
64,63,42473
36,36,6779
5,5,321
19,18,1541
7,6,353
89,81,86311
90,6,1269
81,57,45149
13,7,599
38,33,6378
52,40,12119
43,29,6061
62,55,33992
40,10,1367
13,8,637
60,42,15495
42,15,2272
24,15,1485
17,13,1035
36,31,5626
33,20,2727
7,6,356
67,5,806
54,47,16268
10,6,456
14,10,767
28,24,3025
65,36,13197
37,8,931
17,15,1159
23,17,1654
74,20,5787
54,51,26869
43,19,3293
22,22,2214
9,9,558
85,81,82736
61,59,37099
45,9,1284
37,28,4910
23,22,2293
82,28,11091
38,30,5678
15,5,454
67,25,7480
8,5,320
72,18,4668
80,27,10254
25,10,994
28,6,615
28,19,2221
61,6,935
77,9,1766
5,5,285
55,6,879
12,12,779
69,35,13535
33,30,4781
11,8,544
7,7,450
29,8,821
46,20,3681
31,23,3182
9,7,469
37,5,606
5,5,289
69,55,37502
78,49,34454
71,57,40116
64,47,20092
84,33,15107
76,36,15691
19,10,838
58,51,28516
68,38,15331
22,8,716
32,6,645
34,20,2803
16,8,607
46,22,4275
56,16,3085
57,23,5656
66,34,12277
39,9,1135
37,13,1684
19,12,993
8,6,447
79,69,59951
39,30,5843
49,42,12191
19,7,594
71,20,5471
79,32,13400
31,16,1903
31,16,1922
74,69,56081
60,5,840
71,12,2453
48,16,2708
20,9,772
45,15,2386
31,26,3740
86,41,22476
87,37,19121
81,75,70286
55,18,3781
21,10,923
65,58,38172
59,19,4379
64,34,11882
52,19,3832
77,7,1344
39,39,8334
16,11,884
77,54,39972
56,18,3822
10,7,539
69,20,5326
58,7,1073
80,38,18234
90,67,65337
53,37,11107
13,10,705
36,20,2955
29,10,1065
33,17,2181
26,14,1441
50,46,14243
8,6,405
34,25,3792
23,17,1671
5,5,296
39,8,959
18,8,710
50,32,8209
64,33,11281
32,6,635
36,27,4540
68,44,19274
12,9,633
28,13,1371
21,19,1783
12,5,437
21,19,1778
55,54,29482
76,66,54057
79,64,52296
88,77,78770
85,13,3339
67,16,3617
75,63,49500
19,13,1175
33,33,5395
76,26,9112
19,5,459
87,58,50022
5,5,352
8,8,531
63,43,17126
43,10,1351
65,55,35396
25,7,756
80,65,54763
7,6,419
51,30,7644
54,54,28797
36,27,4638
48,35,9078
26,6,622
70,44,19942
86,85,90878
23,10,1048
20,17,1510
41,38,8566
25,19,2022
23,15,1460
23,19,1909
73,47,23430
72,48,26254
71,56,38727
83,83,84494
82,18,5383
31,20,2646
34,13,1603
89,6,1162
50,25,5578
23,20,2014
64,5,765
49,48,18109
12,10,802
17,16,1254
28,27,3498
68,39,15987
13,5,442
53,15,2726
8,7,487
48,32,7828
60,51,29456
42,19,3268
38,36,7209
84,74,71185
32,30,4707
56,6,875
65,34,12074
12,6,462
22,18,1682
46,21,3982
71,54,37130
21,8,815
55,45,15572
12,7,508
60,49,27151
81,53,40440
48,28,6451
67,44,18968
43,18,3065
24,10,981
60,59,36555
13,12,923
85,39,20472
24,10,955
49,32,8024
28,7,692
85,48,30894
53,19,3989
64,31,10276
73,73,59963
90,63,58752
63,30,9635
88,37,19331
25,17,1782
53,9,1359
19,12,1000
25,11,1076
33,12,1371
52,40,12080
8,6,443
12,9,663
90,56,48133
28,21,2604
8,7,484
66,19,4730
9,8,517
9,5,375
30,30,4304
57,11,1861
25,6,621
15,9,671
35,11,1298
84,65,57426
