X,Y,time_us
30,37,3
37,89,0
71,52,2
95,49,0
85,9,0
7,28,0
90,8,0
10,73,0
54,75,1
80,81,0
97,16,1
74,95,1
24,99,0
66,46,0
56,20,0
33,13,1
12,11,1
88,82,1
14,79,0
39,69,0
83,84,1
84,56,10
80,69,0
35,41,1
22,99,0
13,5,0
48,48,1
69,19,0
100,8,1
55,100,0
28,71,0
36,21,1
63,48,1
68,32,0
35,86,0
21,79,1
66,70,1
34,83,0
25,77,0
60,29,0
24,97,0
75,72,0
57,69,1
92,71,0
65,15,0
76,7,0
85,14,0
16,62,0
50,81,0
91,60,0
52,19,10
6,9,1
84,31,11
30,49,1
78,97,0
83,27,0
19,47,0
88,51,0
84,48,0
42,16,1
58,91,0
79,73,0
21,69,1
32,14,0
94,61,0
86,83,0
20,5,0
23,16,1
17,7,1
44,59,0
45,45,1
27,61,0
92,62,0
75,33,1
31,81,0
86,24,1
51,69,1
19,11,0
80,75,1
77,16,0
60,23,1
72,72,1
6,44,0
7,54,1
15,26,0
69,21,0
12,65,0
67,73,1
15,79,1
30,38,1
31,6,0
15,45,0
28,59,0
51,89,1
58,92,11
67,65,0
41,20,10
73,56,0
69,84,10
30,35,0
65,37,0
58,56,10
32,91,0
15,71,0
22,23,0
71,19,0
68,69,1
6,32,0
18,17,0
43,15,0
61,76,1
67,44,0
9,62,0
90,51,0
27,36,1
48,78,0
64,68,1
90,75,1
76,97,1
80,31,0
64,14,0
44,45,0
54,33,0
26,31,1
47,62,0
83,10,0
14,29,0
81,96,1
84,6,0
60,10,10
69,81,0
86,34,0
60,39,1
99,96,0
81,70,1
67,57,1
8,28,1
41,36,0
20,25,0
39,8,1
57,21,0
9,42,0
68,65,0
27,31,0
50,34,1
65,99,1
99,14,1
14,92,0
76,19,0
55,18,11
43,28,0
17,45,0
58,40,11
22,35,1
11,91,1
64,67,1
17,28,0
9,32,0
77,84,1
43,51,1
88,10,0
9,9,1
65,78,0
97,91,0
100,97,1
98,88,0
6,34,1
8,68,0
77,62,11
35,93,0
79,26,1
69,18,0
66,76,0
38,73,1
87,85,10
51,46,0
28,50,1
7,35,0
26,85,0
42,34,1
22,75,1
73,65,0
78,34,0
41,60,0
62,14,0
23,77,0
48,79,1
52,77,0
97,9,0
64,84,1
10,69,1
59,33,0
56,44,0
36,95,0
30,80,0
34,13,0
67,50,0
88,6,0
76,33,1
52,85,1
68,44,0
80,66,1
14,95,0
98,50,0
21,56,0
92,7,0
53,81,0
54,94,0
59,40,1
44,68,0
58,45,0
79,63,1
49,28,1
90,32,1
19,69,0
29,26,1
21,13,0
12,45,0
89,88,0
99,87,0
18,88,0
70,83,1
71,39,1
40,81,0
80,98,0
62,40,1
15,25,1
72,11,0
69,11,0
56,46,1
37,70,1
89,35,0
12,33,0
45,57,0
34,29,11
11,57,11
93,67,0
97,29,0
26,54,1
52,36,0
85,62,10
74,67,1
6,98,0
61,30,1
82,55,0
59,70,0
9,77,0
17,60,1
78,69,1
96,44,1
57,41,1
76,29,1
77,21,0
41,57,0
40,43,0
54,39,0
85,85,1
25,78,1
71,26,1
43,57,0
38,18,0
36,61,0
88,26,0
43,33,0
92,10,0
6,19,0
6,64,1
95,14,0
87,13,0
68,46,0
79,19,0
79,68,1
60,80,0
78,97,1
92,47,0
80,93,0
56,40,0
64,40,0
61,38,0
54,43,11
71,13,1
74,13,0
5,17,1
77,31,0
14,84,1
44,22,0
80,72,0
93,9,1
99,96,0
67,87,1
39,36,1
97,88,0
43,34,0
47,93,0
100,32,10
90,39,0
81,99,1
22,77,1
60,17,0
85,74,0
70,83,11
16,58,0
78,34,0
35,67,0
31,49,0
49,6,1
66,96,1
7,99,0
22,57,0
71,15,0
86,33,1
56,94,1
55,78,0
19,8,0
77,65,0
29,44,0
53,40,1
84,86,0
29,20,1
99,27,1
20,79,0
58,20,0
23,19,0
49,95,0
38,11,1
52,13,0
34,84,11
40,33,0
78,69,0
75,84,1
14,61,0
28,88,1
77,51,0
41,61,0
12,84,0
30,48,0
65,43,0
75,73,1
92,40,1
7,32,0
20,100,0
42,63,0
7,31,0
67,73,0
20,44,0
24,56,11
90,61,0
80,89,0
21,36,1
18,70,0
33,70,0
50,87,0
19,100,0
33,96,0
60,79,0
99,78,0
8,67,0
75,42,11
99,58,1
42,99,11
74,50,1
43,58,0
15,46,0
25,16,0
53,7,0
26,25,0
73,86,0
100,5,1
89,79,0
12,18,0
78,21,1
74,37,0
61,17,1
88,53,0
5,48,0
39,19,0
28,99,1
88,65,1
16,50,0
97,95,1
78,32,0
87,11,1
18,97,0
88,67,0
95,68,0
57,54,0
65,62,0
47,99,0
75,85,1
11,78,0
58,75,1
58,71,1
44,86,10
30,93,0
42,10,1
32,94,1
76,55,11
99,88,0
41,38,0
65,47,0
16,75,0
27,44,1
7,44,1
51,15,0
9,88,0
80,32,0
96,48,11
41,58,0
66,64,1
25,70,0
56,72,1
5,41,0
54,64,0
16,89,1
55,68,1
26,34,0
7,69,0
76,32,1
22,96,0
39,90,1
65,19,0
36,94,1
18,45,0
16,61,1
63,78,0
35,41,11
45,39,0
23,13,1
93,66,1
41,5,0
67,13,0
22,5,1
35,46,0
69,75,1
83,17,1
18,29,0
48,59,1
80,42,0
91,52,0
88,23,1
25,27,1
7,73,0
7,89,10
17,91,0
41,91,0
82,87,0
39,100,1
78,31,0
51,92,0
55,44,0
22,12,0
92,70,1
6,40,1
90,41,0
83,62,1
87,24,0
75,92,1
16,95,0
60,22,1
48,91,0
9,100,0
44,66,0
55,19,1
99,89,1
78,47,0
71,59,10
24,34,0
82,71,1
8,24,1
21,48,1
27,47,0
82,50,1
83,19,0
88,74,1
61,16,0
82,32,0
31,10,1
59,81,1
81,15,1
15,13,0
42,26,0
85,85,0
23,5,10
82,76,0
89,73,0
76,27,0
37,18,0
85,79,0
14,23,1
72,20,0
43,81,1
