X,Y,time_us
56,82,3
89,86,1
52,45,1
10,46,0
65,82,0
10,46,0
31,28,1
55,13,0
77,51,1
95,29,0
61,18,1
57,33,1
12,33,1
66,19,0
83,38,5
86,46,10
13,15,0
16,8,0
49,66,0
54,56,1
29,32,0
20,33,1
59,19,0
20,33,0
22,70,0
82,60,0
21,87,0
46,17,1
33,76,0
52,52,0
68,76,0
91,67,1
5,72,1
22,42,0
8,51,1
89,63,10
65,63,0
88,28,0
28,36,1
31,12,0
28,74,0
28,82,0
80,32,0
32,63,0
9,16,1
85,15,1
20,60,0
58,38,0
7,30,0
100,86,0
59,37,1
34,73,0
34,64,0
53,96,0
40,69,0
47,25,1
35,69,0
88,66,1
63,66,0
35,74,1
49,9,0
70,40,1
98,89,1
24,68,0
52,88,0
20,85,1
89,94,1
64,69,0
95,21,0
56,56,0
67,44,0
55,28,0
32,12,0
87,13,0
5,18,0
26,28,0
65,89,0
51,11,0
82,53,0
80,18,0
10,75,0
43,40,1
84,64,0
67,46,0
55,89,11
91,33,0
26,59,1
54,19,1
84,73,0
83,71,0
27,90,0
24,61,1
31,84,0
60,9,1
86,64,0
91,38,0
79,53,0
10,63,1
29,21,0
38,28,0
79,17,1
30,69,1
25,59,1
6,13,0
87,35,0
23,10,1
85,53,0
90,24,0
85,48,1
86,68,0
87,7,0
89,59,1
14,86,0
51,87,1
55,32,0
43,45,1
36,13,1
51,95,0
8,9,0
34,34,1
72,50,1
83,80,0
100,90,11
55,55,0
60,6,0
91,96,10
45,98,1
97,88,0
32,28,1
84,62,0
96,97,1
66,95,0
73,49,1
14,70,0
21,40,0
14,56,0
52,92,1
54,30,0
69,43,0
76,86,0
27,5,0
87,34,1
33,52,1
7,30,1
85,82,0
60,61,0
55,100,0
66,60,0
10,85,0
7,70,0
7,82,0
79,5,1
60,56,0
65,97,0
58,86,0
100,40,0
30,65,0
100,6,1
27,66,1
20,31,0
98,60,0
5,78,1
87,78,0
35,93,0
31,99,0
36,44,0
61,11,0
16,22,1
59,18,0
65,80,0
18,89,1
7,32,0
83,62,0
7,40,0
11,48,0
96,6,1
94,40,0
94,73,1
51,19,0
